Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	1997	78	78	2		78	78			305	305	78	gov		R: AP	Legacy estimate.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	1998	89	89	2		89	89			303	303	89	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	1999	95	95	1		95	95	188	303	302	302	95	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2000	93	93	2		93	93	272	292	302	302	93	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2001	99	99	2		100	100			301	301	100	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2002	99	99	2	95	100	100	286	300	297	297	100	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2003	97	97	1						295	295	97	interpolated		R:	Estimate informed by interpolation between reported data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=No accepted empirical data	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2004	93	93	1				313	332	297	297	93	interpolated		R:	Estimate informed by interpolation between reported data.   Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2005	90	90	2	100	90	90	279	273	302	302	90	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Nauru	Wed Sep 06 19:00:37 2023	nru	bcg	2006	99	99	2	100	100	100	286	287	309	309	100	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 63 less than 300.   GoC=R+ D+	
