Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	1997	95	95	1						57095	57095	89	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	1998	93	93	1						55319	55319	89	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	1999	91	91	1						56895	56895	89	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2000	96	96	1	89	89	89	24490	27499	56547	56547	89	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 90.    Estimate challenged by: D-R-	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2001	96	96	1	89	89	89	24490	27499	55549	55549	89	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 90.    Estimate challenged by: D-R-	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2002	90	90	1						53590	53590	90	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2003	91	91	1						55396	55396	91	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2004	91	91	1						57363	57363	91	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2005	92	92	2		92	92			57289	57289	92	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2006	92	92	2		92	92			58800	58800	92	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2007	91	91	2		91	91			63475	63475	91	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2008	91	91	2		91	91			64003	64003	91	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2009	94	94	2		94	94			62334	62334	94	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2010	95	95	2	95	95	95	61962	65335	63355	63355	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2011	95	95	2	95	95	95	61702	64704	61271	61271	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2012	94	94	2	94	94	94	60835	64568	60979	60979	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2013	93	93	2	93	93	93	58259	62412	58360	58360	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2014	93	93	1	93	93	93	58862	63171	56737	56737	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2015	93	93	2	92	93	93	55953	60537	59977	59977	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2016	92	92	2	92	92	92	56182	60754	58476	58476	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2017	95	95	2	95	95	95	58366	61125	60564	60564	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2018	95	95	2	95	95	95	57883	61074	56905	56905	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2019	94	94	2	94	94	94	56463	60150	63079	63079	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2020	94	94	2	94	94	94	57755	61130	63130	63130	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2021	93	93	2	93	93	93	55830	59903	63557	63557	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp1	2022	94		2	94	94	94	59139	62978	64103	64103	94	gov		R:	Estimate informed by reported data.  Reported coverage derived from national immunization registry. No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	1997	86	86	2		86	86			57095	57095	86	gov		R: AP	Legacy estimate.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	1998	81	81	2		81	81			55319	55319	81	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	1999	88	88	2	88	88	88	46777	52902	56895	56895	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2000	90	90	1	90	90	90	24641	27499	56547	56547	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2001	90	90	1	90	90	90	24641	27499	55549	55549	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2002	90	90	1						53590	53590	90	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2003	90	90	1						55396	55396	90	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2004	89	89	1						57363	57363	89	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2005	89	89	2		89	89			57289	57289	89	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2006	89	89	2		89	89			58800	58800	89	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2007	88	88	2		88	88			63475	63475	88	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2008	89	89	2		89	89			64003	64003	89	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2009	92	92	2		92	92			62334	62334	92	gov		R:	Estimate informed by reported data.   GoC=R+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2010	93	93	2	93	93	93	61000	65335	63355	63355	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2011	95	95	2	95	95	95	61172	64704	61271	61271	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2012	93	93	2	93	93	93	60171	64568	60979	60979	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2013	92	92	2	92	92	92	57703	62412	58360	58360	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2014	93	93	1	93	93	93	58526	63171	56737	56737	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2015	92	92	2	92	92	92	55873	60537	59977	59977	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2016	92	92	2	92	92	92	55863	60754	58476	58476	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2017	94	94	2	94	94	94	57256	61125	60564	60564	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2018	93	93	2	93	93	93	56578	61074	56905	56905	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2019	92	92	2	92	92	92	55089	60150	63079	63079	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
New Zealand	Wed Sep 06 19:00:48 2023	nzl	dtp3	2020	92	92	2	92	92	92	56243	61130	63130	63130	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
