Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	1997	96	96	2		96	96			60495	60495	96	gov		R: AP	Legacy estimate.   GoC=R+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	1998	96	96	2		96	96			60185	60185	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	1999	98	98	2	98	98	98		47623	59876	59876	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2000	98	98	2	98	98	98		48048	58354	58354	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2001	98	98	1	98	98	98	46766	47681	57310	57310	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2002	98	98	1	98	98	98	47395	48323	56218	56218	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2003	98	98	1	98	98	98	47916	48854	55495	55495	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2004	99	99	2	99		99	48890	49384	54876	54876	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2005	98	98	2	98		98	48448	49417	53764	53764	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2006	99	99	2	99		99	50919	51428	53009	53009	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2007	99	99	2	99		99	54328	54871	53495	53495	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2008	99	99	2	104		104	58954	56527	56034	56034	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2009	99	99	2	102		102	64254	63000	60145	60145	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ D+	
Oman	Wed Sep 06 19:00:57 2023	omn	bcg	2010	99	99	2	99		99	65142	65500	64416	64416	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
