Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	1997	62	62	1		90	90			5323160	5323160	90	gov		W: AP	Estimate of 62 percent assigned by working group. Legacy estimate. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	1998	66	66	1		97	97			5391873	5391873	89	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2002 levels. . Reported data excluded. .  Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	1999	70	70	1	105	100	100	5101260	4870626	5457820	5457820	87	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2002 levels. . Reported data excluded. .  Estimate challenged by: D-R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2000	74	74	1	94	94	94	4710169	4997751	5503880	5503880	86	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2002 levels. . Survey results ignored. Sample size 0 less than 300. Reported data excluded. .  Estimate challenged by: D-R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2001	78	78	1	93	93	93	4782993	5128191	5621718	5621718	85	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2002 levels. . Reported data excluded. .  Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2002	82	82	1	86	82	82	4517865	5262048	5707878	5707878	84	interpolated		W: AP	Estimate of 82 percent assigned by working group.  Reported data supported by 2004 survey. Reported data excluded. .  Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2003	80	80	1	89	82	82	4816044	5417976	5705869	5705869	82	interpolated		W-I:	Estimate informed by interpolation between 2002 and 2004 levels. . Reported data excluded. .  Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2004	78	78	1	85	80	80	4730454	5566266	5728041	5728041	81	interpolated	78	W: AP	Estimate of 78 percent assigned by working group.  Estimate based on survey result. Reported data excluded. .  Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2005	78	78	1	89	82	82	5044017	5688724	5741665	5741665	80	interpolated		W-I:	Estimate informed by interpolation between 2004 and 2007 levels. test Pakistan Demographic and Health Survey 2006-07 results ignored by working group.  DHS 2005 survey results with sample size of 1,522 inconsistent with 2004 National Coverage survey with sample size of 72,280.Reported data excluded. .  Estimate challenged by: R-	
Pakistan	Wed Sep 06 19:01:07 2023	pak	bcg	2006	77	77	1	89	89	89	5198860	5814384	5780328	5780328	78	interpolated		W-I:	Estimate informed by interpolation between 2004 and 2007 levels. test Reported data excluded. .  Estimate challenged by: D-R-	
