Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	1997	99	99	2	113	113	113			68964	68964	99	extrapolated		R: AP	Legacy estimate. Reported data excluded because 113 percent greater than 100 percent.   GoC=R+	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	1998	99	99	2	110	110	110			69618	69618	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 110 percent greater than 100 percent.   GoC=R+	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	1999	99	99	2	108	108	108			70189	70189	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 108 percent greater than 100 percent.   GoC=R+	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2000	99	99	2	114	114	114	68620	59901	70627	70627	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 114 percent greater than 100 percent.   GoC=R+ D+	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2001	99	99	2	108	108	108			71169	71169	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 108 percent greater than 100 percent.   GoC=R+	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2002	99	99	2	108	108	108			71596	71596	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 108 percent greater than 100 percent.   GoC=R+	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2003	99	99	1	99	99	99	61358	70670	72150	72150	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2004	99	99	1	115	115	115	58618	57012	73561	73561	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 115 percent greater than 100 percent. Reported data excluded due to an increase from 99 percent to 115 percent with decrease 99 percent.   Estimate challenged by: D-	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2005	99	99	1	99	99	99	65309	65309	73788	73788	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Panama	Wed Sep 06 19:01:19 2023	pan	bcg	2006	98	98	1	108	108	108	57804	53401	73958	73958	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: D-	
