Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	1997	98	98	2		98	98			646054	646054	98	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	1998	96	96	2		96	96			640417	640417	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	1999	97	97	2	98	97	97			636064	636064	97	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2000	93	93	3	93	93	93	547622	587552	633322	633322	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2001	87	87	3	87	87	87	517947	586577	620232	620232	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2002	92	92	2	92	92	92			616261	616261	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2003	94	94	3	94	94	94	549705	584275	615508	615508	94	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 2 survey(s).    GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2004	95	95	3	91	91	91	555164	605682	623674	623674	95	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  National reported data in 2006-2008 exceed 100 percent for some antigens and are not consistent with coverage recalculated using UNPD denominators.  GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2005	95	95	3	93	93	93	559871	602739	631197	631197	95	interpolated	95	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Reported data excluded.  National reported data in 2006-2008 exceed 100 percent for some antigens and are not consistent with coverage recalculated using UNPD denominators.  GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2006	96	96	3	100	100	100	551971	550011	634801	634801	96	interpolated	96	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).  Reported data excluded.  National reported data in 2006-2008 exceed 100 percent for some antigens and are not consistent with coverage recalculated using UNPD denominators.  GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2007	96	96	1	105	105	105	526563	500748	632563	632563	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  National reported data in 2006-2008 exceed 100 percent for some antigens and are not consistent with coverage recalculated using UNPD denominators.Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: D-	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2008	97	97	1	108	108	108	540897	500672	626301	626301	97	interpolated		R:	Estimate informed by interpolation between reported data.  Peru Continuous Demographic and Health Survey 2009 results ignored by working group.  Survey results ignored. Adjustment factor for recall bias inconsistent with other surveys of similar quality and methodology.Reported data excluded.  National reported data in 2006-2008 exceed 100 percent for some antigens and are not consistent with coverage recalculated using UNPD denominators.Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: D-	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2009	97	97	3	97	97	97	578515	596227	623635	623635	97	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).    GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2010	95	95	3	95	95	95	565346	593470	617632	617632	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2011	91	91	3	91	91	91	538153	589273	613180	613180	91	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+ D+	
Peru	Wed Sep 06 19:01:34 2023	per	bcg	2012	95	95	3	95	95	95	553302	582056	602813	602813	95	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    GoC=R+ S+ D+	
