Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	1997	91	91	1		90	90			2193786	2193786	90	gov	91	W: AP	Estimate of 91 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	1998	92	92	1		87	87			2218639	2218639	87	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	1999	92	92	2					2239247	2236538	2236538	84	interpolated	92	W: AP	Estimate of 92 percent assigned by working group.  Estimate is based on survey results.   GoC=S+	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2000	92	92	1		81	81			2244864	2244864	81	gov		W-I:	Estimate informed by interpolation between 1999 and 2001 levels.  Trend in reported data not supported by trend in surveys.   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2001	92	92	1	73	73	73	1218199	2337777	2299567	2299567	73	gov	92	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 92 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2002	85	85	3	85	85	85	1758000	2403000	2311516	2311516	85	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    GoC=R+ S+ D+	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2003	86	86	1	86	86	86	174030	2459795	2324514	2324514	86	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2004	91	91	3	91	91	91	2005095	2518127	2326503	2326503	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2005	91	91	3	91	91	91	2086826	2569288	2333817	2333817	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2006	91	91	3	91	91	91	2140001	2349776	2370246	2370246	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2007	90	90	3	90	90	90	2162846	2395070	2386243	2386243	90	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+ D+	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2008	91	91	1	93	93	93	2162785	2463398	2407922	2407922	93	gov		W-I:	Estimate informed by interpolation between 2007 and 2012 levels. .   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2009	92	92	1	90	90	90	2232689	2490118	2433602	2433602	90	gov		W-I:	Estimate informed by interpolation between 2007 and 2012 levels. .   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2010	93	93	1	89	89	89	2209052	2493048	2416792	2416792	89	gov		W-I:	Estimate informed by interpolation between 2007 and 2012 levels. .   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2011	94	94	1	79	79	79	2083563	2586433	2352912	2352912	79	gov		W-I:	Estimate informed by interpolation between 2007 and 2012 levels. .   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2012	95	95	1	76	76	76	1969390	2596978	2399459	2399459	76	gov	95	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 95 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2013	92	92	1	78	78	78	2073356	2646323	2423855	2423855	78	gov		W-I:	Estimate informed by interpolation between 2012 and 2015 levels. .  Programme reports two months vaccine stockout at national level.  Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2014	88	88	1	74	74	74	1982867	2696605	2417178	2417178	74	gov		W-I:	Estimate informed by interpolation between 2012 and 2015 levels. .  Ten percent of the eligible population are served by the private sector and not included in the routine coverage monitoring system. Official government estimate includes children reached through the private sector and assumes that those estimated to be served by the private sector are all appropriately vaccinated. Whether the private sector contribution to official coverage has been included in prior years remains unclear. Programme reports a four months stockout of BCG vaccine.  Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2015	85	85	1	72	73	73	1991807	2747843	2395675	2395675	73	gov	85	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 85 percent based on 1 survey(s).    Reported administrative coverage is lower than expected given delayed reporting from 18 regions.  Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2016	90	90	1	70	70	70	1954004	2800198	2394064	2394064	70	gov	90	W: AP	Estimate of 90 percent assigned by working group.  Estimate based on survey result.   Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2017	83	83	1	65	65	65	1844706	2832883	2418897	2418897	65	gov		W-I:	Estimate informed by interpolation between 2016 and 2019 levels.  Interpolation from survey.  Country reports that official estimates apply a five percent increase to account for the private sector and underreporting. Additionally, the source of target population changed from census projections to aggregated provincial population data. Nevertheless, reported data for 2018 remains more consistent with administrative data for 2017. Programme reports one month vaccine stockout at national level.  Estimate challenged by: R-	
Philippines	Wed Sep 06 19:02:03 2023	phl	bcg	2018	77	77	1	61	61	61	1736531	2866558	2437103	2437103	61	gov		W-I:	Estimate informed by interpolation between 2016 and 2019 levels.  Interpolation from survey.  Declines in reported coverage during 2017 and 2018 may reflect public perceptions of doubt related to vaccination following the dengue vaccine issue as well as challenges with service delivery including access issues in hard-to-reach areas. Programme reports one month vaccine stockout at national level.  Estimate challenged by: R-S-	
