Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	1997	97	97	1						317	317	95	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	1998	96	96	1						294	294	95	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	1999	96	96	1						282	282	95	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2000	98	98	1	92	95	95	245	265	270	270	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: R-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2001	98	98	1						275	275	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2002	99	99	1	100		100	312	312	277	277	100	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2003	99	99	1						279	279	100	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2004	99	99	2	98	100	100	255	260	279	279	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2005	98	98	1	98	98	98	332	339	280	280	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2006	98	98	2	100	98	98	281	281	275	275	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2007	99	99	2	100	100	100	279	279	271	271	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2008	99	99	2	100	100	100	293	293	268	268	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2009	99	99	1	100		100	297	297	265	265	100	admin		R:	Estimate informed by reported administrative data.   Reported data accepted despite sudden decline.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2010	99	99	1	99	99	99	568	573	262	262	99	gov		R:	Estimate informed by reported data.  Reported data accepted despite sudden decline.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2011	99	99	2	100		100	280	280	260	260	100	admin		R:	Estimate informed by reported administrative data.   Reported data accepted despite sudden decline.  GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2012	99	99	2	100	100	100	266	266	259	259	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2013	99	99	1	99	100	100	220	223	258	258	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2014	99	99	2	100	100	100	241	241	252	252	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2015	99	99	1	100	100	100	301	301	240	240	100	gov		R:	Estimate informed by reported data.  Reported official estimate is based on data from the Palau national immunization registry.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2016	99	99	1	95	95	95	278	292	245	245	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2017	99	99	1	100	100	100	360	360	237	237	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2018	99	99	1	99	99	99	327	328	275	275	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2019	99	99	1	99	99	99	328	329	279	279	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2020	99	99	1	99	99	99	367	369	277	277	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2021	99	99	1	99	99	99	591	595	273	273	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp1	2022	99		1	99	99	99	308	310	270	270	99	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	1997	91	91	2		91	91			317	317	91	gov		R: AP	Legacy estimate.   GoC=R+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	1998	96	96	2		96	96			294	294	96	gov		R:	Estimate informed by reported data.    GoC=R+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	1999	96	96	1	96	96	96	319	332	282	282	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2000	96	96	2	96	96	96	245	254	270	270	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2001	98	98	1						275	275	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2002	99	99	1	99		99	308	312	277	277	99	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2003	99	99	1						279	279	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2004	98	98	2	98	98	98	255	260	279	279	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2005	98	98	1	98	98	98	320	327	280	280	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2006	98	98	2	96	98	98	266	273	275	275	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2007	94	94	2	94	94	94	263	279	271	271	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2008	92	92	2	92	92	92	271	293	268	268	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2009	49	49	2	49		49	147	297	265	265	49	admin		R:	Estimate informed by reported administrative data.   Reported data accepted despite sudden decline.  GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2010	69	69	1	69	69	69	394	573	262	262	69	gov		R:	Estimate informed by reported data.   Reported data accepted despite sudden decline.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2011	84	84	2	84		84	236	280	260	260	84	admin		R:	Estimate informed by reported administrative data.   Reported data accepted despite sudden decline.  GoC=R+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2012	89	89	3	89	89	89	236	266	259	259	89	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2013	99	99	1	99	99	99	220	223	258	258	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2014	95	95	3	95	95	95	230	241	252	252	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  .  GoC=R+ S+ D+	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2015	90	90	1	90	90	90	276	301	240	240	90	gov		R:	Estimate informed by reported data.  Reported official estimate is based on data from the Palau national immunization registry.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2016	98	98	1	98	98	98	388	395	245	245	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2017	97	97	1	97	97	97	348	360	237	237	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2018	95	95	1	95	95	95	314	328	275	275	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2019	97	97	1	97	97	97	322	329	279	279	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2020	96	96	1	96	96	96	354	369	277	277	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2021	95	95	1	95	95	95	567	595	273	273	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	dtp3	2022	94		1	94	94	94	291	310	270	270	94	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Palau	Wed Sep 06 19:02:21 2023	plw	hepb3	1997	90	90	2		90	90			317	317	90	gov		R: AP	Legacy estimate.   GoC=R+	
