Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	1997	88	88	2	88	88	88			171613	171613	88	gov		R: AP	Legacy estimate.   GoC=R+	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	1998	86	86	1	84	84	84			177028	177028	84	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	1999	82	82	1	77	77	77	97745	139636	182601	182601	77	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2000	88	88	1	81	81	81	38311	143803	187444	187444	81	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2001	81	81	1	73	73	73	64177	158960	192565	192565	73	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2002	84	84	1	74	74	74	99839	165622	197748	197748	74	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2003	89	89	1	76	76	76	107073	15602	202668	202668	76	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2004	89	89	1	74	74	74	87426	161900	206340	206340	74	gov		C:	Reported data calibrated to 1997 and 2005 levels.  National Immunization Coverage Survey 2005-2006, Papua New Guinea results ignored by working group.  Survey results not consistent with comparable survey data.  Estimate challenged by: D-R-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2005	90	90	1	73		73	139095	190541	210543	210543	73	admin	90	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 90 percent based on 1 survey(s).     GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2006	90	90	1	75	75	75	146877	196639	214381	214381	75	gov		C:	Reported data calibrated to 2005 and 2016 levels.    GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2007	81	81	1	67	67	67	136831	202931	218018	218018	67	gov		C:	Reported data calibrated to 2005 and 2016 levels.    GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2008	80	80	1	67	68	68	131472	209425	222227	222227	68	gov		C:	Reported data calibrated to 2005 and 2016 levels.    GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2009	89	89	1	79	80	79	166306	210941	225708	225708	79	admin		C:	Reported data calibrated to 2005 and 2016 levels.  . Public - private sector discrepancy noted by WHO and UNICEF, however, adjustment inconsistently applied across antigens.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2010	88	88	1	79	80	79	170631	216637	230148	230148	79	admin		C:	Reported data calibrated to 2005 and 2016 levels.   Public - private sector discrepancy noted by WHO and UNICEF, however, adjustment inconsistently applied across antigens.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2011	91	91	1	80	83	83	177985	222486	233837	233837	83	gov		C:	Reported data calibrated to 2005 and 2016 levels.   Administrative coverage is adjusted for vaccinations provided in the private sector. Previous surveys have consistently indicated higher coverage than administrative coverage.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2012	91	91	1	80	84	84	172724	215543	236690	236690	84	gov		C:	Reported data calibrated to 2005 and 2016 levels.    GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2013	93	93	1	86	88	88	190753	221144	239637	239637	88	gov		C:	Reported data calibrated to 2005 and 2016 levels.    GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2014	84	84	1	77	81	81	196401	255500	242361	242361	81	gov		C:	Reported data calibrated to 2005 and 2016 levels.   Target population increase of 13 percent compared to 2013. Programme reports two months stockout at national level.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2015	67	67	1	61	65	65	161060	263545	244235	244235	65	gov		C:	Reported data calibrated to 2005 and 2016 levels.   Programme reports a three months vaccine stockout at national level.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2016	72	72	1	68	72	72	185520	271843	246159	246159	72	gov	69	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 69 percent based on 1 survey(s).   Reported data reflects three quarters of expected district-level reports. Programme reports 3.5 months stockout at national level.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2017	62	62	1	57	62	62	160947	280402	247721	247721	62	gov		R:	Estimate informed by reported data.  Programme reports that persistent challenges contributed to the declines in coverage for 2017. Consistent decline in reported coverage for almost all vaccines.  GoC=Assigned by working group.  See comment in 2018.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2018	52	52	1	47	52	52	136560	289633	250029	250029	52	gov		R:	Estimate informed by reported data.  Programme reports do not include private sector providers. Programme notes administrative reporting completeness is 78 percent.  GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2019	45	52	1	45	45	45	143940	318138	251340	251340	45	gov		R:	Estimate informed by reported data.  Observed decline in reported coverage for several antigens appears to reflect unexplained seven percent increase in target population. Year to year population growth was previously around three percent. Estimate of 45 percent changed from previous revision value of 52 percent.  GoC=Assigned by working group.  Consistency with other antigens.	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2020	52	52	1	52	52	52	169711	326602	253329	253329	52	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2021	42	42	1	42	42	42	141247	335320	253720	253720	42	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	bcg	2022	48		1	48	48	48	165586	344233	254718	254718	48	gov		R:	Estimate informed by reported data.  Reported data reflect 94 percent of expected district level reports. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. Programme reports three months vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	1997	87	87	2	87	87	87			171613	171613	87	gov		R: AP	Legacy estimate.   GoC=R+	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	1998	85	85	2	85	85	85			177028	177028	85	gov		R:	Estimate informed by reported data.    GoC=R+	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	1999	82	82	2	82	82	82			182601	182601	82	gov		R:	Estimate informed by reported data.    GoC=R+	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	2000	84	84	1	84	84	84	118882	143803	187444	187444	84	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	2001	77	77	1	77	77	77	106063	158960	192565	192565	77	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	2002	81	81	1	81	81	81	118815	165622	197748	197748	81	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	2003	88	88	1	88	88	88	108522	157602	202668	202668	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Papua New Guinea	Wed Sep 06 19:02:31 2023	png	dtp1	2004	81	81	1	81	81	81	97140	161900	206340	206340	81	gov	88	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).    Estimate challenged by: D-	
