Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	1997	96	96	2	96		96			407459	407459	96	admin		R: AP	Legacy estimate.   GoC=R+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	1998	96	96	2	96		96			392641	392641	96	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	1999	96	96	2	96	96	96			377774	377774	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2000	96	96	2	96	96	96	361444	378348	379791	379791	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2001	95	95	2	95	95	95	349378	368205	374203	374203	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2002	95	95	2	95	95	95	336544	353765	360316	360316	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2003	93	93	2	93	93	93	328131	351072	356940	356940	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2004	94	94	2	94	94	94	335007	356131	361274	361274	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2005	94	94	2	94	94	94	344035	364383	369184	369184	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2006	94	94	2	94	94	94	350520	374244	380669	380669	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2007	93	93	2	93	93	93	361704	387873	393056	393056	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2008	93	93	2	93	93	93			416586	416586	93	gov		R:	Estimate informed by reported data.   GoC=R+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2009	94	94	2	94	94	94	391113	417589	420179	420179	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2010	93	93	2	93	93	93	386072	413300	422613	422613	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2011	94	94	2	94	94	94			400024	400024	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2012	94	94	2	94	94	94	362182	386257	395663	395663	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Poland	Wed Sep 06 19:02:41 2023	pol	bcg	2013	93	93	2	93	93	93	362182	386257	380533	380533	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
