Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	1997	64	64	1		99	99			437999	437999	82	extrapolated		W: AP	Estimate of 64 percent assigned by working group. Legacy estimate. Survey results ignored. Sample size 294 less than 300. Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	1998	69	69	1		64	64			430967	430967	82	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.  Reported data excluded.  Sudden unexplained temporal change.Reported data excluded due to decline in reported coverage from 99 percent to 64 percent with increase to 82 percent.   Estimate challenged by: R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	1999	73	73	1	82	82	82	757300	929200	420882	420882	82	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.  NA results ignored by working group.  MICS 2000 is not considered as results are internally inconsistent - DTP3 coverage is greater than DTP1.Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: D-R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2000	78	78	1	82	82	82	645000	430000	407494	407494	82	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.  Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: D-R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2001	82	82	2	82		82	350450	430000	398850	398850	82	admin		R: AP	 Estimate is based on the reported data.   GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2002	96	96	1	96	96	96	405300	420000	379746	379746	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2003	88	88	1	88	88	88	373116	420000	363435	363435	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2004	95	95	1	98	95	95	400124	420053	360454	360454	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2005	94	94	1	94	94	94	377126	401926	350248	350248	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2006	96	96	1	96	96	96	391315	409965	344305	344305	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2007	96	96	1	96	96	96	406440	420907	340281	340281	96	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2008	97	97	1	97	97	97	415093	427931	342178	342178	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2009	98	98	3	98	98	98	338717	345630	337334	337334	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2010	98	98	1	98	98	98	345483	352534	313576	313576	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2011	98	98	1	98	98	98	342329	350568	315488	315488	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2012	98	98	2	98	98	98	343332	350797	322522	322522	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2013	98	98	3	98	98	98	345989	352691	329886	329886	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2014	98	98	3	98	98	98	335692	342458	338014	338014	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2015	97	97	3	97	97	97	333158	344435	341947	341947	97	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 2 survey(s).    GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2016	97	97	3	97	97	97	333909	342884	343423	343423	97	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2017	98	98	3	98	98	98	335112	342774	344850	344850	98	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2018	96	96	3	96	96	96	325042	338363	345826	345826	96	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2019	96	96	2	96	96	96	311901	325605	347400	347400	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2020	99	99	2	99	99	99	306968	309981	344896	344896	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2021	95	95	2	95	95	95	294998	310743	343885	343885	95	gov		R:	Estimate informed by reported data.  Programme reports a one month vaccine stockout at national and subnational levels.  GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	bcg	2022	0		1	99	0	0	302517	305571	340407	340407	0	gov		R:	Estimate informed by reported data.  BCG vaccination did not take place in 2022, but the entire 2022 birth cohort was vaccinated during a catch-up activity in March 2023. The estimated coverage reflects vaccination occurring in 2022. Programme reports 12 months vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	1997	54	54	1		54	54			437999	437999	65	extrapolated		W: AP	Estimate of 54 percent assigned by working group. Legacy estimate. Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	1998	56	56	1		55	55			430967	430967	65	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.  Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	1999	58	58	1		62	62			420882	420882	65	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.  NA results ignored by working group.  MICS 2000 is not considered as results are internally inconsistent - DTP3 coverage is greater than DTP1.Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2000	61	61	1	86	82	82	1646190	422100	407494	407494	65	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.  Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: D-R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2001	63	63	1	91		91	391300	430000	398850	398850	65	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.  Reported data excluded.  Sudden unexplained temporal change.  Estimate challenged by: D-R-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2002	65	65	2	65	65	65	274574	419788	379746	379746	65	gov		R: AP	 Estimate is based on the reported data.   GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2003	70	70	1	70	70	70	293852	419788	363435	363435	70	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2004	75	75	1	75	75	75	313309	419801	360454	360454	75	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2005	83	83	1	83	83	83	333689	401926	350248	350248	83	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2006	91	91	1	91	91	91	373478	409965	344305	344305	91	gov		R:	Estimate informed by reported data.   DTP-HepB vaccine introduced during 2006.  Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2007	93	93	1	93	93	93	391017	420907	340281	340281	93	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2008	93	93	1	93	93	93	397442	425527	342178	342178	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2009	94	94	3	94	94	94	320973	341461	337334	337334	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2010	94	94	2	94	94	94	325677	345730	313576	313576	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2011	95	95	2	95	95	95	327133	344643	315488	315488	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2012	97	97	2	97	97	97	336355	346400	322522	322522	97	gov		R:	Estimate informed by reported data.   DTP-HepB-Hib vaccine introduced in 2012. Previous presentation was DTP-HepB.  GoC=R+ D+	
Democratic Peopleÿs Republic of Korea	Wed Sep 06 19:02:50 2023	prk	dtp1	2013	94	94	3	94	94	94	325981	348270	329886	329886	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
