Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	1997	87	87	2		87	87			112422	112422	87	gov		R: AP	Legacy estimate. Survey results ignored. Sample size 0 less than 300.   GoC=R+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	1998	88	88	2		88	88			113200	113200	88	gov		R:	Estimate informed by reported data.   GoC=R+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	1999	85	85	1						115779	115779	85	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2000	82	82	2	82		82	94521	116002	119128	119128	82	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2001	82	82	1						112935	112935	82	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2002	81	81	2				95859	114456	113599	113599	81	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2003	81	81	2	81	81	81	86227	108192	112043	112043	81	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2004	83	83	2	83	83	83	92895	112513	109322	109322	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2005	89	89	2	89	89	89	96879	109294	109248	109248	89	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2006	99	99	2	86	99	99	94350	109396	105203	105203	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2007	98	98	2	88	98	98	92468	105445	102491	102491	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2008	98	98	2	104	98	98	106243	102492	104021	104021	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2009	98	98	2	96	98	98	93602	97111	99721	99721	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2010	96	96	2	96		96			100988	100988	96	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2011	97	97	2	97	97	97			96555	96555	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Portugal	Wed Sep 06 19:02:58 2023	prt	bcg	2012	99	99	2		99	99			89960	89960	99	gov		R:	Estimate informed by reported data.   GoC=R+	
