Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	1997	83	83	1		87	87			142381	142381	87	gov		W: AP	Estimate of 83 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	1998	84	84	1		83	83			141599	141599	83	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Interpolation from 1995 survey results.   Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	1999	85	85	1	77	90	90			140614	140614	90	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Interpolation from 1995 survey results.   Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2000	85	85	1	69	79	79	108932	157927	139425	139425	79	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Interpolation from 1995 survey results.   Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2001	86	86	2	86		86			137632	137632	86	admin		R: AP	 Survey supports reported data from 2001   GoC=R+ S+	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2002	83	83	2	83	83	83			135747	135747	83	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2003	88	88	1	88	88	88	132652	150428	133956	133956	88	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    Estimate challenged by: D-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2004	97	97	1	92	92	92	138474	150428	132884	132884	92	gov		C:	Reported data calibrated to 2003 and 2007 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2005	98	98	1	88	88	88	129693	148215	132204	132204	88	gov		C:	Reported data calibrated to 2003 and 2007 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2006	99	99	1	85	85	85	126493	148356	131935	131935	85	gov		C:	Reported data calibrated to 2003 and 2007 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2007	98	98	1	78	78	78	115782	148260	131626	131626	78	gov	98	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 98 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2008	94	94	1	76	76	76	113334	148758	131433	131433	76	gov	94	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 94 percent based on 1 survey(s).     Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2009	91	91	1	73	73	73	107975	148305	131167	131167	73	gov		C:	Reported data calibrated to 2008 and 2014 levels.   An in-depth assessment of data quality suggested higher coverage than reported. Estimate of births are under review by the National Statistical Office.  Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2010	93	93	1	74	74	74	110107	148433	130699	130699	74	gov		C:	Reported data calibrated to 2008 and 2014 levels.   National coverage survey of children 12-35 years of age supports reported data. See the survey page for details.  Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2011	94	94	1	76	76	76	113048	148630	130690	130690	76	gov		C:	Reported data calibrated to 2008 and 2014 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2012	93	93	1	75	75	75	111919	148860	130920	130920	75	gov		C:	Reported data calibrated to 2008 and 2014 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2013	91	91	1	72	72	72	107892	148860	133838	133838	72	gov		C:	Reported data calibrated to 2008 and 2014 levels.    Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2014	96	96	1	77	77	77	114139	148860	136658	136658	77	gov	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2015	96	96	1	84	84	84	118218	141361	138768	138768	84	gov	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2016	94	94	1	82	82	82	115935	141538	139710	139710	82	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2017	96	96	1	84	84	84	119153	141758	139763	139763	84	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2018	91	91	1	79	79	79	112352	141841	139766	139766	79	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2019	87	87	1	75	75	75	106803	142052	139138	139138	75	gov		C:	Reported data calibrated to 2015 levels.  Beginning in late 2018, the programme notes transition to use of an online electronic nominal immunization registry. Information is not available on the percentage of health facilities with the system up and fully operational. Thus, it is possible that administrative data do not capture all facility level reports.  Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2020	84	84	1	72	72	72	102697	142104	138721	138721	72	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2021	79	79	1	67	67	67	95473	142274	138365	138365	67	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	bcg	2022	79		1	67	67	67	95772	142312	137960	137960	67	gov		C:	Reported data calibrated to 2015 levels.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	1997	91	91	1						142381	142381	73	extrapolated		W: AP	Estimate of 91 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	1998	88	88	1						141599	141599	73	extrapolated		C:	Reported data calibrated to 1997 and 2003 levels.    GoC=No accepted empirical data	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	1999	85	85	1						140614	140614	73	extrapolated		C:	Reported data calibrated to 1997 and 2003 levels.    GoC=No accepted empirical data	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2000	95	95	1	73	73	73	115979	157927	139425	139425	73	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 86.    Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2001	96	96	1	67		67			137632	137632	67	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 89.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2002	95	95	1		80	80			135747	135747	80	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 87.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2003	95	95	1	85		85	128597	150428	133956	133956	85	admin	95	RMF:	DTP1 coverage estimated based on DTP3 coverage of 86.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2004	94	94	1	88	88	88	133046	150428	132884	132884	88	gov		C:	Reported data calibrated to 2003 and 2007 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2005	97	97	1	87	87	87	128413	148215	132204	132204	87	gov		C:	Reported data calibrated to 2003 and 2007 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2006	99	99	1	86	84	84	126900	148356	131935	131935	84	gov		C:	Reported data calibrated to 2003 and 2007 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2007	99	99	1	78	78	78	115451	148260	131626	131626	78	gov	99	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 99 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2008	96	96	1	76	76	76	113172	148758	131433	131433	76	gov	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).     Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2009	94	94	1	74	74	74	109802	148305	131167	131167	74	gov		C:	Reported data calibrated to 2008 and 2014 levels.   An in-depth assessment of data quality suggested higher coverage than reported. Estimate of births are under review by the National Statistical Office.  Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2010	95	95	1	76	76	76	113030	148433	130699	130699	76	gov		C:	Reported data calibrated to 2008 and 2014 levels.   National coverage survey of children 12-35 years of age supports reported data. See the survey page for details.  Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2011	95	95	1	76	76	76	113640	148630	130690	130690	76	gov		C:	Reported data calibrated to 2008 and 2014 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2012	94	94	1	76	76	76	113753	148860	130920	130920	76	gov		C:	Reported data calibrated to 2008 and 2014 levels.    Estimate challenged by: R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2013	97	97	1	73	73	73	109136	148860	133838	133838	73	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 91.    Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2014	95	95	1	78	78	78	115779	148860	136658	136658	78	gov	95	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 95 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2015	96	96	1	84	84	84	118939	141361	138768	138768	84	gov	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).    Programme reports one month national level stockout of DTP containing vaccine.  Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2016	94	94	1	82	82	82	116653	141538	139710	139710	82	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2017	95	95	1	83	83	83	117847	141758	139763	139763	83	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: D-R-	
Paraguay	Wed Sep 06 19:03:06 2023	pry	dtp1	2018	91	91	1	79	79	79	112212	141841	139766	139766	79	gov		C:	Reported data calibrated to 2015 levels.   Estimate challenged by: D-R-	
