Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	1997	89	89	2	89	89	89			115215	115215	89	gov		R: AP	Legacy estimate.   GoC=R+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	1998	92	92	2	92	92	92			117858	117858	92	gov		R:	Estimate informed by reported data.    GoC=R+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	1999	91	91	2	91	91	91			119571	119571	91	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2000	92	92	1	92	92	92	92781	98693	120965	120965	92	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2001	97	97	2	97	97	97			122380	122380	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2002	96	96	2	96	96	96			123287	123287	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2003	99	99	2	99	99	99			122824	122824	99	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2004	98	98	2	100	98	98			124062	124062	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2005	99	99	2	100	105	105			125005	125005	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 105 percent greater than 100 percent.   GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2006	99	99	2	100	100	100			125496	125496	100	gov		R:	Estimate informed by reported data.    GoC=R+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2007	99	99	2	104	104	104			125407	125407	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2008	99	99	2	100	102	102			127841	127841	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2009	99	99	2	106		106			130738	130738	99	interpolated	98	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).  Reported data excluded because 106 percent greater than 100 percent.   GoC=R+ S+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2010	98	98	3	108		108	127508	118000	135156	135156	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 108 percent greater than 100 percent.   GoC=R+ S+ D+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2011	98	98	3	98		98	121745	124225	136931	136931	98	admin	99	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2012	98	98	3	98	98	98	123512	126033	138097	138097	98	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2013	99	99	1	100		100	119414	119107	139711	139711	100	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2014	99	99	1	102		102	125995	123508	142747	142747	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: D-	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2015	99	99	1	101	100	100	126081	124492	147200	147200	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
State of Palestine	Wed Sep 06 19:03:16 2023	pse	bcg	2016	99	99	3	103	100	100	132487	128853	147006	147006	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
