Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	1997	99	99	2	99	99	99			10505	10505	99	gov	96	R: AP	Legacy estimate.   GoC=R+ S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	1998	99	99	2	100	100	100			10886	10886	100	gov		R:	Estimate informed by reported data.   GoC=R+ S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	1999	99	99	2	100	100	100			11481	11481	100	gov		R:	Estimate informed by reported data.   GoC=R+ S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2000	99	99	2	100	100	100	10992	10344	12183	12183	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2001	99	99	2	99	99	99	12038	12110	12838	12838	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2002	99	99	2	100	100	100	12204	12100	13016	13016	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2003	99	99	2	100	100	100	12821	12777	13138	13138	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2004	99	99	2	100	100	100	13181	13026	13016	13016	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2005	99	99	2	100	100	100	13483	13524	12728	12728	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2006	99	99	2	100	100	100	14378	13820	13145	13145	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2007	96	96	2	96	96	96	14815	15407	14391	14391	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2008	97	97	1						15503	15503	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2009	98	98	1	98	98	98	17945	18265	16522	16522	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2010	99	99	2	99	99	99	18913	19165	18161	18161	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2011	97	97	2	97	97	97	19803	20347	20036	20036	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2012	97	97	2	97	97	97	22038	22800	20938	20938	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2013	98	98	2	98	98	98	22761	23100	22097	22097	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2014	90	90	2	90	90	90	22786	25443	23038	23038	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2015	97	97	1	97	97	97	25887	26560	24016	24016	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2016	97	97	2	97	97	97	26279	27000	25480	25480	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2017	99	99	2	99	99	99	28407	28850	27496	27496	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2018	99	99	2	99	99	99	27643	28037	29263	29263	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2019	99	99	2	99		99	28154	28528	30078	30078	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2020	98	98	2	98	98	98	28421	29014	30968	30968	98	gov		R:	Estimate informed by reported data.  Decline in reported coverage for most vaccine doses is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2021	99	99	2	99	99	99	26012	26308	26529	26529	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	bcg	2022	99		2	99	99	99	26625	26929	24497	24497	99	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF are aware of a planned MICS and national immunization coverage survey and await the final results.  GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	1997	97	97	2						10505	10505	92	extrapolated	95	W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	1998	95	95	2						10886	10886	92	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	1999	94	94	2						11481	11481	92	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2000	92	92	1	91	92	92	9432	10344	12183	12183	92	gov		R: AP	 Estimate is based on reported data.   Estimate challenged by: D-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2001	95	95	2	95	95	95	11363	11998	12838	12838	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2002	96	96	2	96	96	96	11554	12100	13016	13016	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2003	96	96	2	95	96	96	12077	12777	13138	13138	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2004	99	99	2	99	99	99	12786	12913	13016	13016	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2005	99	99	2	100	100	100	13671	13524	12728	12728	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2006	99	99	2	100	100	100	14244	13713	13145	13145	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2007	96	96	2	96	96	96	15004	15337	14391	14391	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2008	97	97	1						15503	15503	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2009	99	99	1	98	98	98	17968	18136	16522	16522	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2010	98	98	2	98	98	98	18685	19032	18161	18161	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2011	94	94	2	94	94	94	19133	20283	20036	20036	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2012	95	95	2	95	95	95	21394	22635	20938	20938	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2013	99	99	2	100	100	100	23018	22930	22097	22097	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2014	99	99	1	104	100	100	26555	25319	23038	23038	100	gov		R:	Estimate informed by reported data.  Unexplained decrease in reported coverage due in part to an unexplained sudden increase in the reported target population from 2013 to 2014.  Estimate challenged by: D-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2015	99	99	1	95	95	95	25219	26430	24016	24016	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2016	99	99	1	115	100	100	30875	26900	25480	25480	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2017	98	98	2	98	98	98	28319	28772	27496	27496	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2018	99	99	2	99	99	99	27558	27890	29263	29263	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2019	99	99	1	99		99	28115	28438	30078	30078	99	admin		W:	 Estimate is based on data reported in 2018 and in line with coverage trend observed for vaccine doses with data reported for 2019.   Estimate challenged by: R-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2020	96	96	1	82	82	82	23552	28894	30968	30968	82	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 89.   Programme reports vaccine stockout of unspecified duration. Decline in reported coverage for most vaccine doses is unexplained by country but aligns with COVID-19 pandemic service disruptions.  Estimate challenged by: D-R-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2021	99	99	2	99	99	99	25850	26197	26529	26529	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp1	2022	99		2	99	99	99	26469	26789	24497	24497	99	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF are aware of a planned MICS and national immunization coverage survey and await the final results.  GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	1997	92	92	2	92	92	92			10505	10505	92	gov	90	R: AP	Legacy estimate.   GoC=R+ S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	1998	94	94	2	94	94	94			10886	10886	94	gov		R:	Estimate informed by reported data.   GoC=R+ S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	1999	92	92	2	92	92	92			11481	11481	92	gov		R:	Estimate informed by reported data.   GoC=R+ S+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2000	80	80	2	80	80	80	8872	10344	12183	12183	80	gov		R:	Estimate informed by reported data.  Decline confirmed by Ministry of Health.  GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2001	93	93	2	93	93	93	11249	11998	12838	12838	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2002	96	96	2	96	96	96	11558	12100	13016	13016	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2003	92	92	2	92	92	92	11760	12777	13138	13138	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2004	96	96	2	96	96	96	12333	12913	13016	13016	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2005	97	97	2	97	97	97	12865	13524	12728	12728	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2006	96	96	2	96	96	96	13128	13713	13145	13145	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2007	94	94	2	94	94	94	14444	15337	14391	14391	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2008	97	97	1						15503	15503	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2009	99	99	1	99	99	99	18099	18136	16522	16522	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2010	97	97	2	97	97	97	18404	19032	18161	18161	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2011	93	93	2	93	93	93	18803	20283	20036	20036	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Qatar	Wed Sep 06 19:03:29 2023	qat	dtp3	2012	92	92	2	93	92	92	20984	22635	20938	20938	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
