Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	1997	99	99	1		100	100			232883	232883	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	1998	99	99	2		100	100			231633	231633	100	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	1999	99	99	2		100	100			227612	227612	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2000	99	99	2	100		100	235406	236053	225350	225350	100	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2001	99	99	1	100	100	100	21437	222327	217705	217705	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2002	99	99	2	99	100	100	212994	215146	215525	215525	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2003	99	99	2	99		99	212897	215048	218206	218206	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2004	99	99	2	99	99	99	219688	222357	219594	219594	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2005	98	98	2	98	98	98	214909	218182	228346	228346	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2006	99	99	2	99	99	99	208992	210678	226734	226734	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2007	99	99	2	99	99	99	203321	205678	228316	228316	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2008	99	99	1	100	99	99	207268	208310	243018	243018	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Romania	Wed Sep 06 19:03:40 2023	rou	bcg	2009	99	99	1	99	99	99	209448	211564	243676	243676	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
