Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	1997	94	94	2		94	94			1308640	1308640	94	gov		R: AP	Legacy estimate.   GoC=R+	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	1998	95	95	2		95	95			1297957	1297957	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	1999	96	96	1	96		96	1035198	1080467	1261130	1261130	96	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2000	96	96	1	96	96	96	1037386	1077958	1302106	1302106	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2001	96	96	1	96	96	96	1129145	1169463	1355720	1355720	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2002	97	97	1	97	97	97	1203901	1245631	1432163	1432163	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2003	97	97	1	97		97	1271023	1313010	1492210	1492210	97	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2004	96	96	1	96	96	96	1288185	1340855	1525677	1525677	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2005	97	97	1	97	97	97	1270819	1314403	1510891	1510891	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2006	97	97	1	97	97	97	1286993	1331040	1542646	1542646	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2007	97	97	1	97	97	97	1382414	1445732	1635348	1635348	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2008	96	96	1	96	96	96	1468686	1526003	1726919	1726919	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2009	96	96	1	96	96	96	1512142	1573653	1784892	1784892	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2010	96	96	1	96	96	96	1533202	1601621	1822528	1822528	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2011	95	95	1	95	95	95	1524373	1603086	1861060	1861060	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2012	96	96	1	96	96	96	1612284	1679070	1933629	1933629	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2013	96	96	1	96	96	96	1603469	1676553	1946217	1946217	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2014	96	96	1	96	96	96	1635237	1710770	1956041	1956041	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2015	96	96	1	96	96	96	1635418	1707893	1941554	1941554	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2016	96	96	1	96	96	96	1594862	1668218	1889864	1889864	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2017	95	95	2	95	95	95	1451121	1519611	1688766	1688766	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2018	95	95	1	95	95	95	1351171	1417976	1605282	1605282	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2019	96	96	1	96	96	96	1271910	1331757	1486730	1486730	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2020	95	95	1	95	95	95	1200425	1267767	1437461	1437461	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2021	95	95	1	95	95	95	1179862	1237125	1397456	1397456	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	bcg	2022	96		1	96	96	96	1091045	1139186	1375808	1375808	96	gov		R:	Estimate informed by reported data.  Decline in the number of infants vaccinated over the last 7 years. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	1997	96	96	1						1308640	1308640	97	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	1998	96	96	1						1297957	1297957	97	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	1999	97	97	1						1261130	1261130	97	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2000	97	97	1	97		97	1087758	1124486	1302106	1302106	97	admin		R: AP	 Estimate is based on reported data.   Estimate challenged by: D-	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2001	97	97	1						1355720	1355720	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2002	97	97	1						1432163	1432163	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2003	97	97	1						1492210	1492210	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2004	97	97	1						1525677	1525677	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2005	99	99	1						1510891	1510891	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2006	99	99	1						1542646	1542646	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2007	99	99	1						1635348	1635348	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2008	99	99	1						1726919	1726919	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2009	99	99	1						1784892	1784892	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2010	97	97	1						1822528	1822528	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2011	97	97	1						1861060	1861060	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2012	97	97	1						1933629	1933629	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2013	97	97	1						1946217	1946217	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Russian Federation	Wed Sep 06 19:03:52 2023	rus	dtp1	2014	97	97	1						1956041	1956041	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
