Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	1997	96	96	1		79	79			309910	309910	79	gov		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	1998	95	95	2						327949	327949	87	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Survey results ignored. Sample size 0 less than 300.   GoC=S+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	1999	94	94	1	61	94	94	215191	350449	331224	331224	94	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 2 survey(s).    Estimate challenged by: D-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2000	81	81	1	57	81	81	200175	353333	333954	333954	81	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2001	74	74	1	74	74	74	243482	327931	337170	337170	74	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2002	81	81	1	101	101	101	337911	336171	339099	339099	81	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent. Reported data excluded due to an increase from 74 percent to 101 percent with decrease 88 percent.   Estimate challenged by: D-S-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2003	88	88	3	88	88	88	312287	353722	344262	344262	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2004	86	86	1	86	86	86	312347	363913	351121	351121	86	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: S-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2005	91	91	3	91	91	91	337476	372811	356713	356713	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2006	98	98	3	98	98	98	353653	360299	360379	360379	98	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2007	89	89	3	89	89	89	325394	365981	362335	362335	89	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2008	93	93	3	93	93	93	353877	379280	362102	362102	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2009	99	99	3	85	99	99	333439	390905	361265	361265	99	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).   Official government estimates of coverage from 2009-2011 are based on the 2010 DHS results of coverage among children 12-23 months of age vaccinated by 12 months of age documented by card or caretaker recall.  GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2010	99	99	1	75	99	99	299041	401068	359331	359331	99	gov		R:	Estimate informed by reported data.   Official government estimates of coverage from 2009-2011 are based on the 2010 DHS results of coverage among children 12-23 months of age vaccinated by 12 months of age documented by card or caretaker recall.  Estimate challenged by: D-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2011	99	99	3	82	99	99	338552	411496	356113	356113	99	gov		R:	Estimate informed by reported data.   Official government estimates of coverage from 2009-2011 are based on the 2010 DHS results of coverage among children 12-23 months of age vaccinated by 12 months of age documented by card or caretaker recall.  GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2012	99	99	2	99	99	99	327855	331167	356053	356053	99	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).   The number of children vaccinated with BCG was used as the proxy of target populations for all other antigens. This measure is temporary pending the availability of the 2012 census results.  GoC=Assigned by working group. .	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2013	99	99	3	100	100	100	333837	335147	360066	360066	100	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2014	99	99	3	101	99	99	348629	345966	365060	365060	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2015	99	99	3	102	102	102	354780	347443	370930	370930	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2016	99	99	3	105	99	99	374018	354734	377835	377835	99	gov		R:	Estimate informed by reported data.   The final results of the 2012 Census were released by the National Institute of Statistics of Rwanda in April 2014. WHO and UNICEF recommend a revision of the reported coverage time series using updated population estimates.  GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2017	98	98	3	102	102	102	369095	362030	384173	384173	98	interpolated	99	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2018	97	97	3	97	97	97	358173	369272	390707	390707	97	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2019	98	98	3	98	98	98	368469	376494	395247	395247	98	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2020	89	89	3	89	98	89	343590	384072	398512	398512	89	admin		R:	Estimate informed by reported administrative data.   Official estimate based on previous year WHO UNICEF estimated coverage.  GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2021	89	89	2	89	89	89	349114	391360	403681	403681	89	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	bcg	2022	98		1	100		100	368354	367309	406214	406214	89	extrapolated		W:	 Estimate informed by estimated coverage for 2019 following a review of administrative data which suggests similar number of administered doses in 2022 compared to 2019, though estimated coverage for 2022 may overestimate actual coverage. Reported administrative coverage reflects increases in doses administered as well as a 10 percent decline in the target population compared to 2021 based on updated projections from the 2012 census. Reported data excluded due to sudden change in coverage from 89 level to 100 percent.   Estimate challenged by: R-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	1997	90	90	2						309910	309910	93	extrapolated		W: AP	Estimate of 90 percent assigned by working group. Legacy estimate.   GoC=S+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	1998	92	92	2						327949	327949	93	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.  Survey results ignored. Sample size 0 less than 300.   GoC=S+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	1999	93	93	2						331224	331224	93	extrapolated	93	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 93 percent based on 2 survey(s).    GoC=S+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2000	93	93	1	65	93	93	227800	348033	333954	333954	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2001	94	94	1	76	76	76	247902	327931	337170	337170	94	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 93 percent to 76 percent with increase to 95 percent.   Estimate challenged by: D-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2002	95	95	3	95	95	95	313633	331676	339099	339099	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2003	97	97	3	97	97	97	307034	315874	344262	344262	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2004	94	94	3	94	94	94	304472	324974	351121	351121	94	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2005	95	95	3	96	95	95	328053	340749	356713	356713	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2006	99	99	1	104	104	104	342804	329313	360379	360379	96	interpolated	99	RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2007	99	99	1	96	96	96	320948	334506	362335	362335	96	gov	95	RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    Estimate challenged by: D-R-	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2008	97	97	3	102	102	102	354214	346661	362102	362102	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ S+ D+	
Rwanda	Wed Sep 06 19:03:59 2023	rwa	dtp1	2009	98	98	3	90	98	98	329285	366669	361265	361265	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).   Official government estimates of coverage from 2009-2011 are based on the 2010 DHS results of coverage among children 12-23 months of age vaccinated by 12 months of age documented by card or caretaker recall.  GoC=R+ S+ D+	
