Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	1997	91	91	2	91	91	91			575713	575713	91	gov		R: AP	Legacy estimate.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	1998	92	92	2	91	92	92			582075	582075	92	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	1999	92	92	2	92	92	92			588360	588360	92	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2000	94	94	2	94	94	94			595746	595746	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2001	94	94	2	94	94	94			592858	592858	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2002	98	98	2	98	98	98			585563	585563	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2003	94	94	2	94	94	94			573744	573744	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2004	95	95	2	95	95	95			562975	562975	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2005	96	96	2	96	96	96			556955	556955	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2006	95	95	2	95	95	95			581232	581232	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2007	96	96	2	96	96	96			608075	608075	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2008	98	98	2	98	98	98			618625	618625	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2009	98	98	2	98	98	98			629970	629970	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2010	98	98	2	98	98	98			641461	641461	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2011	98	98	2	98	98	98			651336	651336	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2012	99	99	2	99	99	99			653880	653880	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2013	99	99	2	99	99	99			652558	652558	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2014	98	98	2	98	98	98			646971	646971	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2015	98	98	2	98	98	98			638755	638755	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2016	98	98	2	98	98	98		521200	632305	632305	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2017	97	97	1	97	97	97	527308	543616	643748	643748	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2018	98	98	1	98	98	98	541853	556395	652649	652649	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2019	52	52	1	52	52	52	239659	456931	658884	658884	52	gov		R:	Estimate informed by reported data.  Programme notes that the dose of BCG vaccine at birth was stopped as of August 2019 alongside a new recommendation of BCG administration at 6 months of age.  Estimate challenged by: D-	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2020	95	95	1	95	95	95	446899	469925	665930	665930	95	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
Saudi Arabia	Wed Sep 06 19:04:17 2023	sau	bcg	2021	94	94	1	94	94	94	456748	485386	629339	629339	94	gov		R:	Estimate informed by reported data.  Programme notes a change in source of information for newborns from forecasted value to data from electronic registration. Programme reports a one month vaccine stockout at both national and subnational levels.  Estimate challenged by: D-	
