Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	1997	70	70	1		90	90			1253595	1253595	90	gov		W: AP	Estimate of 70 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	1998	61	61	1		80	80			1266678	1266678	80	gov		W:	 The estimated BCG coverage is based on the estimated DPT3 coverage adjusted for 15 percent drop out observed in the 1990 survey.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	1999	66	66	1	102	92	92	801466	788313	1290307	1290307	73	interpolated	66	W:	 1999 estimate is based on MICS 2000 results including both northern and southern sections of the country. Reported data excluded due to an increase from 80 percent to 92 percent with decrease 66 percent.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2000	56	56	1	66	66	66	659604	995624	1316268	1316268	66	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2001	67	67	1	71	71	71	809427	1143185	1345712	1345712	71	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.  Estimates from 2000 onward are based on data reported by the Ministry of Health, Sudan supplemented with information on coverage levels in southern Sudan.  Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2002	65	65	1	68	68	68	802176	1173660	1363657	1363657	68	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2003	69	69	1	73	73	73	882525	1204973	1373528	1373528	73	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2004	66	66	1	71	71	71	864386	1213240	1379735	1379735	71	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2005	72	72	1	77	77	77	962447	1243259	1392274	1392274	77	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health. Sudan Household Health Survey 2006 results ignored by working group.  2005 survey results are not considered; sample size of children 12-23 months of age not reported.  Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2006	77	77	1	78	78	78	907204	1167795	1438261	1438261	78	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2007	83	83	1	85	85	85	1022835	1199389	1498739	1498739	85	gov		W:	 See explanation for the previous year.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2008	88	88	1	85	85	85	1068122	1253861	1559997	1559997	85	gov		W:	 See explanation for the previous year.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2009	82	82	1	86	86	86	1135210	1320785	1610497	1610497	86	gov		W:	 Southern Sudan revised target population. Estimates are based on combined reports from national authorities from southern and northern Sudan. Sudan Household Health Survey - Second Round SHHS2 2010 results ignored by working group.  While survey results reflect coverage for the Republic of Sudan, prior to 2011 WHO and UNICEF estimates of coverage were based on the combined coverage for the Republic of Sudan and Republic of South Sudan.  Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2010	90	90	1	91	91	91	1211787	1332171	1656167	1656167	91	gov		W:	 Estimates are based on combined reports from national authorities from southern and northern Sudan.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2011	92	92	3	92	92	92	1267704	1383807	1276787	1276787	92	gov		R:	Estimate informed by reported data.   Prior to 2011, estimates are based on combined reports from national authorities from southern and northern Sudan.  GoC=R+ S+ D+	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2012	92	92	1	92	92	92	1321918	1438651	1281007	1281007	92	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2013	93	93	1	93	93	93	1384593	1486285	1311188	1311188	93	gov	85	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 85 percent based on 1 survey(s).    Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2014	95	95	1	95	95	95	1445191	1526116	1343895	1343895	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2015	88	88	1	88	88	88	1378850	1570018	1389533	1389533	88	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2016	96	96	1	96	96	96	1572782	1641751	1417640	1417640	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2017	97	97	1	97	97	97	1649537	1701623	1447974	1447974	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2018	88	88	1	88	88	88	1561174	1773635	1478916	1478916	88	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2019	92	92	1	92	92	92	1676084	1831434	1506276	1506276	92	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2020	92	92	1	92	92	92	1730199	1884466	1521188	1521188	92	gov		R:	Estimate informed by reported data.  Programme reports vaccine stockout at subnational level.  Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2021	80	80	1	80		80	1560204	1959991	1534332	1534332	80	admin		R:	Estimate informed by reported administrative data.  .  Estimate challenged by: D-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	bcg	2022	80		1						1548473	1548473	80	extrapolated		R:	Estimate based on extrapolation from data reported by national government.   WHO and UNICEF are aware of the 2023 Multiple Indicator Cluster Survey and await results.  GoC=No accepted empirical data	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	1997	78	78	1						1253595	1253595	70	extrapolated		W: AP	Estimate of 78 percent assigned by working group. Legacy estimate.   Estimate challenged by: S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	1998	71	71	2						1266678	1266678	70	extrapolated		W:	 The estimates are derived from the WHO UNICEF estimates of DTP3 and the relationship between the levels of DTP3 coverage and the dropout between DTP1 and DTP3.   GoC=S+	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	1999	66	66	2						1290307	1290307	70	extrapolated	66	W:	 1999 estimate is based on MICS 2000 results including both northern and southern sections of the country.   GoC=S+	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2000	75	75	1	79	70	70	783876	995624	1316268	1316268	70	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2001	79	79	1	85	85	85	851799	1001431	1345712	1345712	85	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan.  Estimated number of children vaccinated is based on reports by the Ministry of Health.  Estimates from 2000 onward are based on data reported by the Ministry of Health, Sudan supplemented with information on coverage levels in southern Sudan.  Estimate challenged by: D-R-S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2002	75	75	1	80	80	80	820260	1028126	1363657	1363657	80	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan.  Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2003	83	83	1	89	89	89	941686	1055557	1373528	1373528	89	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan.  Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2004	82	82	1	88	88	88	952937	1082988	1379735	1379735	88	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan.  Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2005	88	88	1	95	95	95	1050620	1109481	1392274	1392274	95	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health. Sudan Household Health Survey 2006 results ignored by working group.  2005 survey results are not considered; sample size of children 12-23 months of age not reported.  Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2006	91	91	1	95	95	95	992958	1044415	1438261	1438261	95	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2007	95	95	1	100	100	100	1076432	1072712	1498739	1498739	100	gov		W:	 Estimates of the target population are based on data from the United Nations Fund for Population Activities (UNFPA) and the Central Bureau of Statistics Sudan. Estimated number of children vaccinated is based on reports by the Ministry of Health.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2008	96	96	1	101	101	101	1129330	1121278	1559997	1559997	99	interpolated		W:	 Estimates are based on combined reports from national authorities from southern and northern Sudan. Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2009	92	92	1	98	98	98	1157312	1180075	1610497	1610497	98	gov		W:	 Southern Sudan revised target population. Estimates are based on combined reports from national authorities from southern and northern Sudan. Sudan Household Health Survey - Second Round SHHS2 2010 results ignored by working group.  While survey results reflect coverage for the Republic of Sudan, prior to 2011 WHO and UNICEF estimates of coverage were based on the combined coverage for the Republic of Sudan and Republic of South Sudan.  Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2010	99	99	1	103	103	103	1217657	1181885	1656167	1656167	99	interpolated		W:	 Estimates are based on combined reports from national authorities from southern and northern Sudan. Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2011	97	97	1	101	101	101	1246771	1235714	1276787	1276787	99	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.  Reported data excluded because 101 percent greater than 100 percent.  Prior to 2011, estimates are based on combined reports from national authorities from southern and northern Sudan.  Estimate challenged by: R-S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2012	97	97	1	100	100	100	1278884	1284722	1281007	1281007	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    Estimate challenged by: R-S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2013	97	97	1	100	100	100	1327997	1327318	1311188	1311188	100	gov	85	RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: R-S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2014	98	98	1	101	101	101	1373630	1363795	1343895	1343895	99	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2015	97	97	1	98	98	98	1377537	1402510	1389533	1389533	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: R-S-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2016	97	97	1	99	99	99	1448578	1466741	1417640	1417640	99	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2017	98	98	1	101	101	101	1534575	1520161	1447974	1447974	99	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2018	97	97	1	99	99	99	1573565	1584415	1478916	1478916	99	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2019	97	97	1	100	100	100	1629570	1635788	1506276	1506276	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2020	96	96	1	98	98	98	1642466	1684151	1521188	1521188	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 90.   Programme reports vaccine stockout at subnational level.  Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2021	94	94	1	93		93	1626027	1753839	1534332	1534332	93	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 84.    Estimate challenged by: D-R-	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp1	2022	94		1						1548473	1548473	93	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 84.   WHO and UNICEF are aware of the 2023 Multiple Indicator Cluster Survey and await results.  GoC=No accepted empirical data	
Sudan	Wed Sep 06 19:04:24 2023	sdn	dtp3	1997	55	55	1		78	78			1253595	1253595	78	gov		W: AP	Estimate of 55 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
