Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	1997	81	81	2		81	81			356266	356266	81	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	1998	81	81	2		81	81			363901	363901	81	gov	88	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).    GoC=R+ S+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	1999	90	90	1	39	90	90	59911	133152	374758	374758	90	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).    Estimate challenged by: D-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2000	89	89	1		89	89	45009	408090	381017	381017	89	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2001	89	89	1	50	89	89	267267	449832	387416	387416	89	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2002	70	70	1	71	70	70	331327	461544	394576	394576	70	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2003	77	77	1	77	77	77	365774	472049	403780	403780	77	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2004	95	95	3	95	95	95	352534	372834	411222	411222	95	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2005	92	92	3	92	92	92	351975	384166	422547	422547	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2006	94	94	3	104	104	104	404214	389981	436406	436406	94	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2007	96	96	3	107	107	107	439576	411470	442235	442235	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 107 percent greater than 100 percent.   GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2008	98	98	3	98	98	98	446865	456805	450758	450758	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2009	97	97	3	97	97	97	446854	462693	465658	465658	97	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 2 survey(s).   Between 2009 and 2012 health facilities did not report service statistics. In 2013 reporting recommenced and reached seventy-six percent completeness.  GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2010	97	97	1	40	80	80	193197	488150	473819	473819	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 97 percent to 80 percent with increase to 95 percent.  Between 2009 and 2012 health facilities did not report service statistics. In 2013 reporting recommenced and reached seventy-six percent completeness.  Estimate challenged by: D-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2011	97	97	2		95	95		499279	483824	483824	97	interpolated	97	R: AP	 Estimates are based on final 2011 DHS results. Reported data excluded.  Nationally reported data based on preliminary 2011 DHS results. Between 2009 and 2012 health facilities did not report service statistics. In 2013 reporting recommenced and reached seventy-six percent completeness.  GoC=R+ S+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2012	97	97	2		94	94			493250	493250	97	interpolated	96	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).  Reported data excluded.  Nationally reported data based on preliminary 2011 DHS results. Between 2009 and 2012 health facilities did not report service statistics. In 2013 reporting recommenced and reached seventy-six percent completeness.  GoC=R+ S+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2013	97	97	1	80	97	97	425110	529434	501507	501507	97	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Between 2009 and 2012 health facilities did not report service statistics. In 2013 reporting recommenced and reached seventy-six percent completeness. Official government estimates are based on 2013 survey results.  Estimate challenged by: D-	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2014	95	95	3	88	95	95	483271	549731	508203	508203	95	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2015	95	95	3	89	95	95	497107	556729	508147	508147	95	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 3 survey(s).   Programme reports one month national level stockout.  GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2016	97	97	3	97	97	97	509649	523809	511960	511960	97	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 2 survey(s).   Since 2014, the reported target population declined 7 percent. These declines are unexplained and are inconsistent with information on target population in the Recensement General de la Population et de l Habitat de l Agriculture et de l Elevage (RGPHAE 2013) du Senegal (available at www.andsn.sn) which suggests births are increasing between 2013 and 2016.  GoC=R+ S+ D+	
Senegal	Wed Sep 06 19:04:36 2023	sen	bcg	2017	99	99	3	93	99	99	506221	543126	519212	519212	99	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Programme reports four months stockout at national level.  GoC=R+ S+ D+	
