Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	1997	98	98	2	98	98	98			54586	54586	98	gov		R: AP	Legacy estimate.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	1998	98	98	2	98	98	98			45118	45118	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	1999	99	99	2	99	99	99	42301	43193	44255	44255	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2000	99	99	2	98	99	99			54411	54411	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2001	98	98	2	99	98	98	45587	46997	42989	42989	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2002	98	98	2	99	98	98	46926	47640	47426	47426	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2003	99	99	2	99	99	99			44625	44625	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2004	99	99	1	99	99	99	38257	38633	44010	44010	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2005	98	98	1	98	98	98	34396	35403	44182	44182	98	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2006	98	98	1	98	98	98	32885	33448	45554	45554	98	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2007	99	99	1	99	99	99	34034	34588	47126	47126	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2008	99	99	1	99	99	99	32685	32886	48154	48154	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2009	99	99	1	99	99	99	31778	31952	47513	47513	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2010	99	99	1	99	99	99	35388	35624	46601	46601	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2011	99	99	1	100	100	100	33454	33836	49085	49085	100	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2012	99	99	1	99	99	99	29546	29771	52502	52502	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2013	99	99	1	99	99	99	30496	30716	49683	49683	99	gov		R:	Estimate informed by reported data.  Coverage is based on notification of vaccination services maintained by the National Immunization Registry.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2014	99	99	1	99	99	99	32635	33087	52219	52219	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2015	99	99	1	99	99	99	30623	30828	51891	51891	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2016	99	99	1	99	99	99			42370	42370	99	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2017	99	99	1	98	99	99	33530	33749	40318	40318	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2018	99	98	1	99	98	99	33071	33729	39753	39753	99	admin		R:	Estimate informed by reported administrative data.   No explanation provided for official estimate compared to admin data for this particular year. Estimate of 99 percent changed from previous revision value of 98 percent.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2019	98	98	2	98		98			40247	40247	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2020	98	98	2	98		98			41375	41375	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2021	98	98	2	98		98			42215	42215	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	bcg	2022	98		1	98		98	30438	31040	42333	42333	98	admin		R:	Estimate informed by reported administrative data.   No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  Estimate challenged by: D-	
Singapore	Wed Sep 06 19:05:15 2023	sgp	dtp1	1997	98	98	2	95	98	98			54586	54586	98	gov		R: AP	Legacy estimate.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	dtp1	1998	98	98	2	95	98	98			45118	45118	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	dtp1	1999	98	98	2	96	98	98			44255	44255	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	dtp1	2000	98	98	2	96	98	98			54411	54411	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Singapore	Wed Sep 06 19:05:15 2023	sgp	dtp1	2001	98	98	1	96	95	95			42989	42989	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: R-	
