Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	1997	73	73	2		73	73			14391	14391	73	gov		R: AP	Legacy estimate.   GoC=R+	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	1998	74	74	1		72	72			14686	14686	72	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	1999	99	99	1		99	99			14967	14967	99	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2000	99	99	1						15207	15207	92	interpolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2001	94	94	1	85	85	85	12156	14377	15457	15457	85	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2002	87	87	1	79	76	76	11131	14680	15672	15672	76	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2003	93	93	1				11888	15091	15914	15914	80	interpolated		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2004	99	99	1	82	84	84	12724	15515	16146	16146	84	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2005	96	96	1	78		78	12357	15948	16400	16400	78	admin	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2006	99	99	1	84		84	15531	16395	16834	16834	84	admin		C:	Reported data calibrated to 2005 and 2013 levels.    Estimate challenged by: R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2007	98	98	1	84	84	84	14211	16854	17123	17123	84	gov		C:	Reported data calibrated to 2005 and 2013 levels.    Estimate challenged by: D-R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2008	92	92	1	81	81	81	14095	17326	17424	17424	81	gov		C:	Reported data calibrated to 2005 and 2013 levels.    Estimate challenged by: D-R-	
Solomon Islands	Wed Sep 06 19:05:23 2023	slb	bcg	2009	92	92	1	58	58	58	10378	17811	17763	17763	83	interpolated		C:	Reported data calibrated to 2005 and 2013 levels.  Reported data excluded due to decline in reported coverage from 81 percent to 58 percent with increase to 85 percent.  Decline attributed to incomplete data entry in health information system.  Estimate challenged by: D-R-	
