Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	1999	73	73	1	55	55	55			204162	204162	55	gov	73	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 73 percent based on 1 survey(s).     Estimate challenged by: R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2000	74	74	1	39	39	39	114688	292013	204408	204408	59	interpolated	74	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 74 percent based on 1 survey(s).   Reported data excluded due to decline in reported coverage from 55 percent to 39 percent with increase to 63 percent.   Estimate challenged by: D-R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2001	63	63	1	63	63	63	131259	209006	212085	212085	63	gov		R: AP	 Estimate is based on the reported data.   Estimate challenged by: S-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2002	76	76	1	75	75	75	159393	213854	226053	226053	75	gov		C:	Reported data calibrated to 2001 and 2004 levels.    Estimate challenged by: R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2003	89	89	1	87	87	87	190780	218816	231198	231198	87	gov		C:	Reported data calibrated to 2001 and 2004 levels.    Estimate challenged by: R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2004	86	86	1	83	83	83	180585	217438	233391	233391	83	gov	86	W: AP	Estimate of 86 percent assigned by working group.  Estimate is based on survey results.   Estimate challenged by: R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2005	85	85	1	82	82	82	188422	229088	237115	237115	82	gov		W-I:	Estimate informed by interpolation between 2004 and 2007 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2006	83	83	1	86	86	86	178679	207119	241433	241433	86	gov		W-I:	Estimate informed by interpolation between 2004 and 2007 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2007	82	82	1	90	90	90	191638	213729	242437	242437	90	gov	82	W: AP	Estimate of 82 percent assigned by working group.  Estimate is based on survey results.   Estimate challenged by: R-S-	
Sierra Leone	Wed Sep 06 19:05:33 2023	sle	bcg	2008	91	91	1	96	96	96	209545	218941	245614	245614	96	gov		C:	Reported data calibrated to 2007 and 2009 levels.    Estimate challenged by: R-	
