Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	1997	95	95	3	95	95	95	152795	161386	173320	173320	95	gov	96	R: AP	Legacy estimate.   GoC=R+ S+ D+	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	1998	99	99	3	100	100	100	161972	157970	174063	174063	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	1999	99	99	1	72	72	72	115994	153973	170366	170366	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 100 percent to 72 percent with increase to 99 percent.   Estimate challenged by: D-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2000	99	99	3	99	99	99	161168	149522	165106	165106	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2001	92	92	3	92	92	92	149690	143861	156957	156957	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2002	92	92	3	92	92	92	149597	136906	148356	148356	92	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2003	91	91	1	91	91	91	146561	129789	141275	141275	91	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2004	94	94	1	94	94	94	152581	123643	134314	134314	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2005	84	84	1	84	84	84	136068	162107	129364	129364	84	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2006	93	93	1	93	93	93	149663	161320	125812	125812	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2007	99	99	3	100	100	100	121500	118772	122579	122579	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2008	99	99	1	99	99	99	119382	120410	120773	120773	99	gov		C:	Reported data calibrated to 2007 and 2009 levels.    Estimate challenged by: R-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2009	99	99	1	88	88	88	107333	122233	119840	119840	88	gov	99	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 99 percent based on 1 survey(s).    Two months shortage of BCG vaccine reported.  Estimate challenged by: R-	
El Salvador	Wed Sep 06 19:06:06 2023	slv	bcg	2010	96	96	1	89	89	89	109170	123401	119321	119321	89	gov		C:	Reported data calibrated to 2009 and 2012 levels.    Estimate challenged by: R-	
