Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	1997	99	99	1						310	310	98	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	1998	99	99	1						318	318	98	extrapolated		W:	 Reported data calibrated to 1997 and 1999 levels.   GoC=No accepted empirical data	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	1999	99	99	1						322	322	98	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.    GoC=No accepted empirical data	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2000	98	98	2				302	310	311	311	98	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.    GoC=D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2001	98	98	1						345	345	98	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.    GoC=No accepted empirical data	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2002	98	98	1	97	98	98	287	295	336	336	98	gov		R: AP	Based on reported data   Estimate challenged by: D-	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2003	97	97	1	96	97	97	288	300	337	337	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2004	96	96	1	93	96	96	284	306	337	337	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2005	97	97	2	95	97	97	271	284	287	287	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2006	93	93	2	90	93	93	273	302	299	299	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2007	92	92	2	93	92	92	272	292	307	307	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2008	91	91	2	89	91	91	309	349	357	357	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2009	91	91	2	94	91	91	288	306	305	305	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2010	91	91	2	85	91	91	285	334	324	324	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2011	94	94	2	89	94	94	288	325	324	324	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2012	91	91	2	85	91	91	248	292	290	290	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2013	88	88	2	83	88	88	266	320	326	326	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2014	87	87	2	83	87	87	245	296	277	277	87	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2015	87	87	2	83	87	87	222	269	253	253	87	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2016	93	93	2	88	93	93	231	262	231	231	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2017	88	88	2	82	88	88	187	228	209	209	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
San Marino	Wed Sep 06 19:06:14 2023	smr	dtp1	2018	94	94	1	94	94	94	255	271	210	210	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
