Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	1997	37	37	1		37	37			388239	388239	37	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	1998	54	54	1		57	57			403112	403112	48	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Reported data excluded due to an increase from 37 percent to 57 percent with decrease 39 percent.   Estimate challenged by: R-S-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	1999	71	71	1	39	39	39	22993	58000	418943	418943	58	interpolated	71	W: AP	Estimate of 71 percent assigned by working group.  Estimate is based on survey results. Reported data excluded due to decline in reported coverage from 57 percent to 39 percent with increase to 69 percent.   Estimate challenged by: D-R-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2000	69	69	1	26	69	69	78153	297200	433978	433978	69	gov		R: AP	 Estimate is based on the reported data.   Estimate challenged by: D-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2001	70	70	1	35	70	70	109885	311229	450098	450098	70	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2002	60	60	1	47	60	60	130666	280000	467423	467423	60	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2003	65	65	1	50	65	65	150132	298982	481788	481788	65	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2004	50	50	1	46	50	50	137970	298981	497780	497780	50	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2005	50	50	1	42	50	50	125461	298981	512853	512853	50	gov		R:	Estimate informed by reported data.  Somalia Multiple Indicator Cluster Survey 2006 results ignored by working group. Ninety-two percent of survey results were based on maternal recall.  Estimate challenged by: D-	
Somalia	Wed Sep 06 19:06:23 2023	som	bcg	2006	40	40	1	40	40	40	124538	309108	527402	527402	40	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
