Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	1997	96	96	2		96	96			94306	94306	96	gov		R: AP	Legacy estimate.   GoC=R+	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	1998	89	89	1						74526	74526	89	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	1999	82	82	2	95	82	82	68851	72783	77993	77993	82	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2000	85	85	1	98	100	100	50336	51103	85487	85487	85	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to an increase from 82 percent to 100 percent with decrease 67 percent.   Estimate challenged by: D-	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2001	88	88	1	70	67	67	48388	69284	91628	91628	88	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 100 percent to 67 percent with increase to 95 percent.   Estimate challenged by: D-	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2002	91	91	1	93	95	95	117051	126051	91239	91239	91	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to an increase from 67 percent to 95 percent with decrease 74 percent.   Estimate challenged by: D-	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2003	94	94	1	94	74	74	52657	56319	89941	89941	94	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 95 percent to 74 percent with increase to 97 percent.   Estimate challenged by: D-	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2004	97	97	1	97		97	109598	11303	80946	80946	97	admin		R:	Estimate informed by reported administrative data.  Serbia Multiple Indicator Cluster Survey 2005 results ignored by working group.  Survey results for BCG not consistent with results from other antigens.  Estimate challenged by: D-	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2005	98	98	2	98	98	98	69106	70667	76735	76735	98	gov		R:	Estimate informed by reported data.   Estimates do not include Montenegro and Kosovo.  GoC=R+ D+	
Serbia	Wed Sep 06 19:06:34 2023	srb	bcg	2006	99	99	2	99	99	99	68935	69736	64881	64881	99	gov		R:	Estimate informed by reported data.   Estimates do not include Kosovo.  GoC=R+ D+	
