Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	1997	70	70	2		70	70			5350	5350	70	gov		R: AP	Legacy estimate.   GoC=R+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	1998	80	80	2		80	80			5462	5462	80	gov		R:	Estimate informed by reported data.    GoC=R+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	1999	81	81	1						5585	5585	81	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2000	81	81	2	81	81	81	4904	6028	5725	5725	81	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2001	92	92	2	92		92	4994	5442	5877	5877	92	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2002	96	96	1	104		104	5076	4888	5988	5988	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2003	99	99	1	100	100	100	4933	4958	6114	6114	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2004	99	99	1	99	99	99	4980	5028	6236	6236	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2005	98	98	1	98	98	98	5151	5236	6342	6342	98	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2006	98	98	1	99	98	98	5344	5413	6434	6434	98	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 220 less than 300.   Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2007	98	98	3	98	98	98	5828	5994	6520	6520	98	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2008	99	99	1	100	100	100	5373	5381	6605	6605	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2009	99	99	1	99	99	99	5464	5482	6680	6680	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2010	99	99	1	99	99	99	5511	5569	6751	6751	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2011	99	99	1	99	99	99	5627	5669	6854	6854	99	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2012	99	99	1	99	99	99	5715	5783	6906	6906	99	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2013	97	97	1	97	97	97	5709	5898	6843	6843	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2014	95	95	1	95	95	95	5707	6005	6751	6751	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2015	97	97	1	95	97	97	5399	5695	6616	6616	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2016	92	92	3	92	92	92	5342	5830	6494	6494	92	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2017	94	94	3	95	94	94	5426	5931	6352	6352	94	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2018	96	96	3	96	96	96	5436	5651	6268	6268	96	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2019	95	95	1	95	95	95	5032	5767	6230	6230	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2020	94	94	1						6218	6218	94	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=Assigned by working group.  No reported data.	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2021	93	93	2	93	93	93	5561	6009	6318	6318	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	bcg	2022	93		1						6370	6370	93	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	1997	90	90	1						5350	5350	88	extrapolated		W: AP	Estimate of 90 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	1998	89	89	1						5462	5462	88	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	1999	90	90	1						5585	5585	88	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2000	89	89	1					6028	5725	5725	88	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2001	97	97	1	88		88	4814	5442	5877	5877	88	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    Estimate challenged by: D-R-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2002	94	94	1	94		94	4578	4888	5988	5988	94	admin		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2003	98	98	1	97	97	97	4827	4958	6114	6114	97	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2004	99	99	1	103	103	103	4937	4788	6236	6236	99	interpolated		C:	Reported data calibrated to 1997 and 2005 levels.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: D-R-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2005	99	99	1	100	100	100	5158	5158	6342	6342	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2006	99	99	1	104	104	104	5551	5334	6434	6434	100	interpolated		R:	Estimate informed by interpolation between reported data.  Survey results ignored. Sample size 220 less than 300. Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2007	99	99	1	101	100	100	5829	5797	6520	6520	100	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2008	99	99	1	99	99	99	5234	5284	6605	6605	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2009	99	99	1	90	90	90	4855	5383	6680	6680	90	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2010	98	98	1	98	98	98	5318	5405	6751	6751	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2011	98	98	1	98	98	98	5413	5502	6854	6854	98	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2012	98	98	1	98	98	98	5610	5633	6906	6906	98	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2013	99	99	1	100	100	100	5727	5725	6843	6843	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2014	98	98	1	98	98	98	5695	5817	6751	6751	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2015	98	98	1	98	98	98	5344	5505	6616	6616	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2016	97	97	1	97	97	97	5457	5618	6494	6494	97	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2017	96	96	3	96	96	96	5510	5734	6352	6352	96	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+ D+	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2018	97	97	1	97	97	97	5307	5448	6268	6268	97	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
São Tomé and Principe	Wed Sep 06 19:06:51 2023	stp	dtp1	2019	97	97	1	97	97	97	5384	5561	6230	6230	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
