Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	1997	95	95	2						11728	11728	90	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=S+	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	1998	93	93	2						11629	11629	90	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	1999	90	90	2						11575	11575	90	extrapolated	89	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 89 percent based on 1 survey(s).    GoC=S+	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2000	88	88	2						11582	11582	90	extrapolated		RMF	Estimate based on DTP3 coverage of 71.    GoC=S+	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2001	90	90	1	73	90	90	7824	9804	11622	11622	90	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2002	86	86	1						11635	11635	86	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2003	81	81	1	81		81	8245	10188	11619	11619	81	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2004	92	92	2		92	92			11598	11598	92	gov		R:	Estimate informed by reported data.    GoC=R+	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2005	93	93	1	107	107	107	9251	8657	11514	11514	93	interpolated		R:	Estimate informed by interpolation between reported data.  Suriname Multiple Indicator Cluster Survey 2006 results ignored by working group.  Survey conducted for year of pentavalent introduction.Reported data excluded because 107 percent greater than 100 percent. Reported data excluded due to an increase from 92 percent to 107 percent with decrease 94 percent.   Estimate challenged by: D-	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2006	94	94	1	94	94	94	8282	8778	11438	11438	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Suriname	Wed Sep 06 19:07:00 2023	sur	dtp1	2007	96	96	1	96	96	96	9363	9713	11352	11352	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
