Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	1997	95	95	2		95	95			58716	58716	95	gov		R: AP	Legacy estimate.   GoC=R+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	1998	93	93	2		93	93			57211	57211	93	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	1999	96	96	2	96	96	96			55735	55735	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2000	94	94	2	94	94	94	50637	53869	54803	54803	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2001	93	93	2	93	93	93	49392	53053	51368	51368	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2002	98	98	2	98	98	98	49524	50506	50883	50883	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2003	98	98	2	98	98	98	48648	49687	51953	51953	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2004	98	98	2	98	98	98	49414	50294	53708	53708	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2005	98	98	2	98	98	98	50497	51693	54633	54633	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2006	98	98	2	98	98	98	51318	52388	54274	54274	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2007	98	98	2	98	98	98	50256	51238	54691	54691	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2008	98	98	2	98	98	98	50723	51757	57495	57495	98	gov		R:	Estimate informed by reported data.  A national review of health care provider records supports reported high levels of coverage.  GoC=R+ D+	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2009	97	97	1	97	97	97	52182	53796	61047	61047	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Slovakia	Wed Sep 06 19:07:08 2023	svk	bcg	2010	98	98	2	98	98	98	55017	56374	60599	60599	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
