Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	1997	97	97	2		97	97			18382	18382	97	gov		R: AP	Legacy estimate.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	1998	98	98	2		98	98			18028	18028	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	1999	96	96	2	96	96	96			17762	17762	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	2000	98	98	2		98	98			18198	18198	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	2001	98	98	2	98		98	17229	17664	17613	17613	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	2002	97	97	2		97	97		17821	17548	17548	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	2003	97	97	2		97	97		17416	17418	17418	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	bcg	2004	96	96	2		96	96			18079	18079	96	gov		R:	Estimate informed by reported data.  As of 2005 BCG is recommended only for high risk groups.  GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	1997	97	97	1						18382	18382	96	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	1998	97	97	1						18028	18028	96	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	1999	96	96	1						17762	17762	96	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	2000	96	96	2		96	96			18198	18198	96	gov		R: AP	 Estimate is based on reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	2001	96	96	2	96		96	17330	17664	17613	17613	96	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	2002	96	96	2		96	96		17821	17548	17548	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	2003	98	98	1		92	92		17572	17418	17418	92	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    Estimate challenged by: R-	
Slovenia	Wed Sep 06 19:07:16 2023	svn	dtp1	2004	98	98	1						18079	18079	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.    GoC=No accepted empirical data	
