Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	1997	15	15	2		15	15			89877	89877	15	gov		R: AP	Legacy estimate.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	1998	16	16	2		16	16			88535	88535	16	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	1999	16	16	2		16	16			87994	87994	16	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2000	16	16	2		16	16			90146	90146	16	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2001	16	16	2		16	16			91450	91450	16	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2002	16	16	2		16	16			95571	95571	16	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2003	17	17	2		17	17			98766	98766	17	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2004	18	18	2		18	18			100654	100654	18	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2005	20	20	2		20	20			101619	101619	20	gov		R:	Estimate informed by reported data.   GoC=R+	
Sweden	Wed Sep 06 19:07:24 2023	swe	bcg	2006	21	21	2		21	21			105746	105746	21	gov		R:	Estimate informed by reported data.   GoC=R+	
