Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	1997	85	85	2		85	85			32374	32374	85	gov		R: AP	Legacy estimate.   GoC=R+	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	1998	86	86	2		99	99			32410	32410	86	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  GoC=R+	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	1999	87	87	1	94	97	97	24161	25790	33079	33079	87	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2000	88	88	1	90	90	90	25286	28027	33251	33251	88	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2001	89	89	2		95	95			33231	33231	89	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  GoC=R+	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2002	90	90	1	93	95	95	25937	27828	33100	33100	90	interpolated		R:	Estimate informed by interpolation between reported data.  Survey results ignored. Sample size 209 less than 300. Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2003	91	91	1	68	97	97	19705	29042	33409	33409	91	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2004	92	92	1	84	84	84	25062	29916	33834	33834	92	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2005	93	93	3	85	84	84	31350	41281	33988	33988	93	interpolated	99	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 99 percent based on 2 survey(s).  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting. Unexplained temporal change in numerator and denominator levels.  GoC=R+ S+ D+	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2006	94	94	3	70	78	78	29540	41997	33784	33784	94	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting.  GoC=R+ S+ D+	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2007	95	95	1	68	68	68	26511	42367	33999	33999	95	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2008	96	96	1	70	70	70	26811	37500	34355	34355	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2009	97	97	1	56	57	57	21831	38822	34100	34100	97	interpolated	98	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).  Reported data excluded.  Fluctuating and inconsistent data suggest poor reporting.Reported data excluded due to decline in reported coverage from 70 percent to 57 percent with increase to 98 percent.   Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2010	98	98	1	57	98	98	21611	37826	33241	33241	98	gov		R: AP	 Estimate is based on nationally reported data.   Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2011	98	98	1	78	98	98	24233	31040	32948	32948	98	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2012	99	99	1	68	68	68	26555	38393	32715	32715	99	interpolated	95	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Reported data excluded due to decline in reported coverage from 98 percent to 68 percent with increase to 99 percent.   Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2013	99	99	1	96	99	99	37509	39243	32608	32608	99	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2014	99	99	1	75	99	99	24598	32996	32147	32147	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2015	98	98	1	72	98	98	23994	33296	31594	31594	98	gov		R:	Estimate informed by reported data.  Reported official coverage levels based on preliminary results from the 2014 MICS.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2016	97	97	1	71	97	97	24347	34145	31104	31104	97	gov		R:	Estimate informed by reported data.  Reported official coverage levels based on preliminary results from the 2014 MICS. Programme reports five month vaccine stockout at national and district levels.  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2017	98	98	1	75	98	98	24680	32798	30535	30535	98	gov		R:	Estimate informed by reported data.  Reported official coverage levels based on preliminary results from the 2014 MICS. Programme reports three months vaccine stockout at national level  Estimate challenged by: D-	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2018	98	98	2	77	92	92	26647	34778	29969	29969	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Reported decline in administrative coverage appears to be due to an increase in the reported target population. Number of children vaccinated increased between 2017 and 2018. Programme reports one month vaccine stockout at national level.  GoC=R+ D+	
Eswatini	Wed Sep 06 19:07:32 2023	swz	bcg	2019	98	98	2	94	98	98	30532	32553	29498	29498	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
