Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	1997	99	99	1		100	100			1433	1433	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	1998	99	99	1		100	100			1409	1409	100	gov		C:	Reported data calibrated to 1997 and 2001 levels.    Estimate challenged by: R-	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	1999	99	99	1	100	100	100	3302	3304	1429	1429	100	gov		C:	Reported data calibrated to 1997 and 2001 levels.    Estimate challenged by: D-R-	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2000	99	99	1						1461	1461	100	interpolated		C:	Reported data calibrated to 1997 and 2001 levels.    GoC=No accepted empirical data	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2001	99	99	2	100	99	99	1440	1440	1411	1411	99	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2002	99	99	2	99	100	100	1449	1457	1454	1454	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2003	99	99	2	100	100	100	1425	1426	1475	1475	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2004	99	99	2	100	100	100	1394	1394	1470	1470	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2005	99	99	2	100	100	100	1536	1536	1583	1583	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2006	99	99	2	100	100	100	1373	1373	1523	1523	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2007	99	99	2	101	100	100	1537	1518	1610	1610	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2008	99	99	1	100	100	100	1439	1439	1674	1674	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2009	96	96	2	99	96	96	1562	1580	1708	1708	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2010	99	99	2	99	99	99	1504	1517	1584	1584	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2011	99	99	2	100	100	100	1627	1610	1710	1710	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2012	99	99	2	99	99	99	1651	1664	1742	1742	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2013	99	99	2	98	99	99	1555	1578	1650	1650	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2014	98	98	2	98	98	98	1504	1540	1641	1641	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2015	99	99	2	99	100	100	1580	1592	1684	1684	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2016	99	99	2	101	100	100	1669	1645	1746	1746	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2017	99	99	2	100	100	100	1651	1651	1764	1764	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2018	97	97	2	99	97	97	1631	1650	1735	1735	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2019	98	98	2	98	98	98	1577	1605	1704	1704	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2020	99	99	2	100	100	100	1554	1554	1668	1668	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2021	99	99	2	99	99	99	1660	1679	1642	1642	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	bcg	2022	99		2	100	100	100	1569	1569	1611	1611	100	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Seychelles	Wed Sep 06 19:07:43 2023	syc	dtp1	1997	98	98	1						1433	1433	99	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Seychelles	Wed Sep 06 19:07:43 2023	syc	dtp1	1998	99	99	1						1409	1409	99	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Seychelles	Wed Sep 06 19:07:43 2023	syc	dtp1	1999	99	99	1						1429	1429	99	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.    GoC=No accepted empirical data	
Seychelles	Wed Sep 06 19:07:43 2023	syc	dtp1	2000	99	99	1						1461	1461	99	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.    GoC=No accepted empirical data	
