Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	1997	91	91	1		100	100			480549	480549	100	gov		W: AP	Estimate of 91 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	1998	91	91	1		100	100			486596	486596	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	1999	91	91	1	100	100	100	485055	486898	493179	493179	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2000	91	91	1	100	100	100	510140	509786	500107	500107	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2001	91	91	1	100	100	100	521638	524734	518925	518925	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2002	90	90	1	100	100	100	488912	490243	529444	529444	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2003	90	90	1	100	100	100	568684	531500	540892	540892	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2004	90	90	1	100	100	100	533683	536139	553008	553008	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2005	90	90	1	100	100	100	546325	548692	566757	566757	100	gov	90	W: AP	Estimate of 90 percent assigned by working group.  Estimate is based on survey results for all antigens.  Estimates for other vaccines referenced to survey data point. Estimate for BCG based on survey results.  Estimate challenged by: R-	
Syrian Arab Republic	Wed Sep 06 19:07:51 2023	syr	bcg	2006	91	91	1	100	100	100	593542	596220	578729	578729	100	gov		C:	Reported data calibrated to 2005 and 2011 levels.    Estimate challenged by: D-R-	
