Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	1997	45	45	2		45	45			390282	390282	45	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	1998	45	45	1		43	43			402606	402606	43	gov		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  The decline in coverage across antigens is unexplained.   Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	1999	45	45	1	56	56	56	148252	262162	412518	412518	56	gov	45	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 45 percent based on 1 survey(s).     Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2000	49	49	1	50	50	50	130783	268904	424082	424082	50	gov		W-I:	Estimate informed by interpolation between 1999 and 2001 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2001	52	52	1	44		44	124802	280890	436167	436167	59	interpolated	52	W: AP	Estimate of 52 percent assigned by working group.  Estimate based on survey results. Reported data inconsistent with survey results. Reported data excluded.  Estimate based on survey results to maintain consistency with other vaccines.  Estimate challenged by: D-R-S-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2002	46	46	1	67	67	67	189212	282320	444184	444184	67	gov		W-I:	Estimate informed by interpolation between 2001 and 2003 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2003	40	40	1	72	72	72	213270	294964	456819	456819	72	gov	40	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 40 percent based on 1 survey(s).     Estimate challenged by: R-S-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2004	41	41	1	38	38	38	115823	302339	480865	480865	72	interpolated		C:	Reported data calibrated to 2003 and 2009 levels.  Reported data excluded due to decline in reported coverage from 72 percent to 38 percent with increase to 71 percent.   Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2005	41	41	1	71	71	71	250290	352937	503107	503107	71	gov		C:	Reported data calibrated to 2003 and 2009 levels.    Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2006	57	56	1	85	85	85	306762	361797	517022	517022	85	gov		C:	Reported data calibrated to 2003 and 2009 levels.   Estimate follows reported data. Estimate of 57 percent changed from previous revision value of 56 percent.  Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2007	45	44	1	72	72	72	265875	370803	533450	533450	72	gov		C:	Reported data calibrated to 2003 and 2009 levels.   Estimate follows reported data. Estimate of 45 percent changed from previous revision value of 44 percent.  Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2008	31	30	1	57	57	57	236378	416727	545645	545645	57	gov		C:	Reported data calibrated to 2003 and 2009 levels.   Apparent decline in coverage partially attributable to increase in national estimate of the target population. Estimate follows reported data. Estimate of 31 percent changed from previous revision value of 30 percent.  Estimate challenged by: D-R-S-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2009	47	46	1	72	72	72	311468	434489	562333	562333	72	gov	47	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 47 percent based on 1 survey(s).    Estimate follows reported data. Estimate of 47 percent changed from previous revision value of 46 percent.  Estimate challenged by: R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2010	58	58	1	84	84	84	399949	478879	579936	579936	84	gov		C:	Reported data calibrated to 2009 and 2013 levels.   Estimate follows reported data.  Estimate challenged by: D-R-S-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2011	53	52	1	79	79	79	392188	496117	595079	595079	79	gov		C:	Reported data calibrated to 2009 and 2013 levels.  Chad Vaccination Coverage Survey 2012 results ignored by working group.  BCG card only coverage of 57 percent is inconsistent with card retention rate of 41 percent.. Estimate of 53 percent changed from previous revision value of 52 percent.  Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2012	62	62	1	89	79	89	465115	521460	612411	612411	89	admin		C:	Reported data calibrated to 2009 and 2013 levels.   Government official estimate reflects an adjustment based on survey results.  Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2013	60	60	1	88	75	88	494276	564556	626171	626171	88	admin	60	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 60 percent based on 1 survey(s).    Programme reports stockouts for all antigens at the district level (duration unknown and number of districts unknown). Government official estimate reflects an adjustment based on a preliminary sub-national coverage survey results.  Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2014	58	58	1	85	85	85	457989	537588	643412	643412	85	gov		C:	Reported data calibrated to 2013 and 2016 levels.   In conjunction with intensification of supportive supervision and outreach activities, the programme has established a system of monthly monitoring of performance indicators backed by regular monitoring through additional supportive supervisory visits. A National programme reports two months stockout at national level.  Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2015	70	70	1	96	96	96	532952	556404	656908	656908	96	gov		C:	Reported data calibrated to 2013 and 2016 levels.   Recovery from prior year stockout.  Estimate challenged by: D-R-S-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2016	59	59	1	84	75	84	484845	580249	662902	662902	84	admin	59	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 59 percent based on 1 survey(s).    Programme reports two months national vaccine stockout. Reported official estimates inconsistent with administrative data.  Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2017	59	59	1	66	60	60	497913	756102	675766	675766	60	gov		W: AP	Estimate of 59 percent assigned by working group.  Estimate is based on survey result.  Decline in reported coverage is due in part to 25 percent increase in target population between 2016 and 2017. Programme reports a five months vaccine stockout.  Estimate challenged by: D-R-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2018	26	26	1	51	51	51	402326	782565	691482	691482	51	gov		W:	 Estimate is based on the difference between reported DTP1 and BCG coverage applied to DTP1 estimates. Programme reports a 2.5 month vaccine stockout at national level.   Estimate challenged by: D-R-S-	
Chad	Wed Sep 06 19:08:02 2023	tcd	bcg	2019	51	51	1	76	76	76	626534	834683	713707	713707	76	gov		W:	 Estimate is based on the difference between reported DTP1 and BCG coverage applied to DTP1 estimates. Reported data suggests recovery following vaccine supply disruption in 2018 in spite of reported national and district level vaccine stockout of less than one month duration during 2019.  Reported coverage levels continue to suggest challenges within the administrative recording and reporting system. Programme notes that health center managers are insufficiently trained in data verification and analysis and that data review and validation meetings are not systematically held at all levels. WHO and UNICEF encourage continued efforts to improve recording and monitoring while also increasing coverage.  Estimate challenged by: D-R-	
