Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	1997	76	76	1		63	63			178197	178197	63	gov	76	W: AP	Estimate of 76 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	1998	70	70	1		54	54			183381	183381	54	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	1999	81	81	1	63	63	63	122471	193059	188902	188902	63	gov	81	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 81 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2000	84	84	1	66	83	83	131460	199443	193599	193599	69	interpolated	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).   Reported data excluded due to an increase from 63 percent to 83 percent with decrease 59 percent.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2001	83	83	1	59	59	59	11183	189604	198491	198491	75	interpolated		C:	Reported data calibrated to 2000 and 2002 levels.  Reported data excluded due to decline in reported coverage from 83 percent to 59 percent with increase to 81 percent.  The decline in coverage is unexplained.  Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2002	81	81	3	81	81	81	157269	194075	203080	203080	81	gov		R: AP	 Estimates since 2002 are based on national estimates. A 2004 data quality audit confirms accuracy of national reporting system.   GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2003	79	79	3	79	79	79	177239	223919	206902	206902	79	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2004	91	91	3	91	91	91	184635	203600	209626	209626	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2005	96	96	3	96	96	96	199173	208480	214777	214777	96	gov	88	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2006	96	96	3	96	96	96	213045	220952	220538	220538	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2007	91	91	3	91	91	91	224006	245925	228714	228714	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2008	92	92	3	92	92	92	232930	251820	233499	233499	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2009	91	91	3	91	91	91	235181	257895	239906	239906	91	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2010	97	97	1	94	94	94	249426	264060	245561	245561	94	gov		C:	Reported data calibrated to 2009 and 2011 levels.    Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2011	97	97	1	90	90	90	243939	270405	247271	247271	90	gov	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate is based on survey results for the 2011 birth cohort.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2012	97	97	1	92	97	97	268308	291294	248343	248343	97	gov		R: AP	 Estimate is based on official government estimate reflecting survey results for the 2011 birth cohort.   Estimate challenged by: D-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2013	97	97	1	84	97	97	249816	297639	250969	250969	97	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Official government estimate is based on results from a coverage survey reflecting the 2011 birth cohort.  GoC=Assigned by working group.  Consistency with neighbouring years.	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2014	82	82	1	79	79	79	243361	306405	253898	253898	79	gov		C:	Reported data calibrated to 2013 and 2015 levels.   Programme reports stockout of syringes impacting delivery of vaccine.  Estimate challenged by: D-R-S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2015	93	93	1	86	86	86	270506	313840	257088	257088	86	gov	93	W: AP	Estimate of 93 percent assigned by working group.  Survey results supports the reported coverage for some, but not all, antigens. In the absence of evidence that the recording and reporting system performs differently across antigens, estimated coverage is based on survey results.  Programme reports stockout of syringes impacting delivery of vaccine.  Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2016	93	93	1	79	79	79	251142	319141	261322	261322	79	gov	93	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 93 percent based on 1 survey(s).    Programme reports two months vaccine stockout at national and district levels.  Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2017	89	89	1	75	75	75	244695	326938	264363	264363	75	gov		C:	Reported data calibrated to 2016 levels.  Programme reports two months vaccine stockout at national and district levels.  Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2018	97	97	1	83	83	83	277212	334816	267100	267100	83	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2019	98	98	1	84	84	84	288686	343602	270073	270073	84	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2020	96	96	1	82	82	82	287388	350826	272757	272757	82	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2021	98	98	1	84	84	84	302695	358783	275435	275435	84	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	bcg	2022	91		1	77	77	77	281251	367183	278618	278618	77	gov		C:	Reported data calibrated to 2016 levels.  Country notes monthly data validation activities that support the recent reported higher coverage levels compared to the last survey which is being used by WHO and UNICEF to adjust the time-series. Country also notes that 2022 census suggests a smaller total population than that from which target population estimates were derived in the past. WHO and UNICEF are aware of a planned EPI programme review and coverage survey during 2023 and await the final results to validate higher reported coverage levels. Programme reports a two months vaccine stockout at national and subnational levels.  Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	1997	67	67	1						178197	178197	66	extrapolated	67	W: AP	Estimate of 67 percent assigned by working group. Legacy estimate.   Estimate challenged by: S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	1998	74	74	2						183381	183381	66	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	1999	81	81	1						188902	188902	66	extrapolated	81	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 81 percent based on 1 survey(s).     Estimate challenged by: S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2000	80	80	1	72	66	66	143734	199443	193599	193599	66	gov	80	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 80 percent based on 1 survey(s).     Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2001	63	63	1	56	56	56	105569		198491	198491	56	gov		C:	Reported data calibrated to 2000 and 2002 levels.   The decline in coverage is unexplained.  Estimate challenged by: R-S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2002	75	75	3	75	75	75	145927	194075	203080	203080	75	gov		R: AP	 Estimates since 2002 are based on national estimates. A 2004 data quality audit confirms accuracy of national reporting system.   GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2003	83	83	3	83	83	83	171816	206113	206902	206902	83	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2004	83	83	3	83	83	83	169864	203600	209626	209626	83	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2005	91	91	3	91	91	91	188817	208480	214777	214777	91	gov	85	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 85 percent based on 1 survey(s).    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2006	91	91	3	91	91	91	201791	220952	220538	220538	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2007	94	94	3	94	94	94	212555	226251	228714	228714	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2008	92	92	3	92	92	92	220109	239783	233499	233499	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2009	93	93	3	93	93	93	228814	245568	239906	239906	93	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2010	97	97	1	97	97	97	242683	251438	245561	245561	97	gov		C:	Reported data calibrated to 2009 and 2011 levels.    Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2011	94	94	1	95	95	95	243623	257480	247271	247271	95	gov	94	W: AP	Estimate of 94 percent assigned by working group.  Estimate is based on survey results for the 2011 birth cohort.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2012	94	94	3	95	94	94	256110	268573	248343	248343	94	gov		R: AP	 Estimate is based on official government estimate reflecting survey results for the 2011 birth cohort.   GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2013	94	94	1	89	94	94	245587	274489	250969	250969	94	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).   Official government estimate is based on results from a coverage survey reflecting the 2011 birth cohort.  GoC=Assigned by working group.  Consistency with neighbouring years.	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2014	89	89	1	91	91	91	256195	282574	253898	253898	91	gov		C:	Reported data calibrated to 2013 and 2015 levels.    Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2015	88	88	1	92	92	92	265934	289430	257088	257088	92	gov	88	W: AP	Estimate of 88 percent assigned by working group.  Survey results supports the reported coverage for some, but not all, antigens. In the absence of evidence that the recording and reporting system performs differently across antigens, estimated coverage is based on survey results.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2016	89	89	1	93	93	93	272992	294319	261322	261322	93	gov	89	W: AP	Estimate of 89 percent assigned by working group.  Survey results supports the reported coverage for some, but not all, antigens. In the absence of evidence that the recording and reporting system performs differently across antigens, estimated coverage is based on survey results.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2017	88	88	1	92	92	92	278259	301509	264363	264363	92	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2018	88	88	1	92	92	92	285299	308775	267100	267100	92	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2019	90	90	1	94	94	94	296899	316877	270073	270073	94	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2020	87	87	1	91	91	91	295966	323540	272757	272757	91	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2021	88	88	1	92	92	92	304771	330878	275435	275435	92	gov		C:	Reported data calibrated to 2016 levels.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp1	2022	88		1	92	92	92	312751	338624	278618	278618	92	gov		C:	Reported data calibrated to 2016 levels.  Country notes monthly data validation activities that support the recent reported higher coverage levels compared to the last survey which is being used by WHO and UNICEF to adjust the time-series. Country also notes that 2022 census suggests a smaller total population than that from which target population estimates were derived in the past. WHO and UNICEF are aware of a planned EPI programme review and coverage survey during 2023 and await the final results to validate higher reported coverage levels.  Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	1997	42	42	1		40	40			178197	178197	40	gov	49	W: AP	Estimate of 42 percent assigned by working group. Legacy estimate. Togo Demographic and Health Survey 1998 card or history results of 42 percent modifed for recall bias to 49 percent based on 1st dose card or history coverage of 67 percent, 1st dose card only coverage of 52 percent and 3rd dose card only coverage of 38 percent.   Estimate challenged by: R-S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	1998	42	42	1		36	36			183381	183381	36	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	1999	57	57	1	48	48	48	92509	193059	188902	188902	48	gov	57	W: AP	Estimate of 57 percent assigned by working group.  Estimate is based on survey results.   Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2000	64	64	1	55	50	50	109434	199443	193599	193599	50	gov	64	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 64 percent based on 1 survey(s).     Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2001	50	50	1	43	43	43	81348	189604	198491	198491	43	gov		C:	Reported data calibrated to 2000 and 2002 levels.   The decline in coverage is unexplained.  Estimate challenged by: R-S-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2002	59	59	3	59	59	59	114428	194075	203080	203080	59	gov		R: AP	 Estimates since 2002 are based on national estimates. A 2004 data quality audit confirms accuracy of national reporting system.   GoC=R+ S+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2003	72	72	2	72	72	72	149062	206113	206902	206902	72	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2004	71	71	2	71	71	71	145145	203600	209626	209626	71	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2005	82	82	2	82	82	82	171779	208480	214777	214777	82	gov		R: AP	 Estimate is based on reported data to maintain consistency across vaccines. Togo Multiple Indicator Cluster Survey, 2006 results ignored by working group.  Survey results inconsistent with other data. Lower DTP3 results may be reflect vaccine stockout in early 2004 with delayed catch-up.Togo Multiple Indicator Cluster Survey, 2006 card or history results of 65 percent modifed for recall bias to 73 percent based on 1st dose card or history coverage of 85 percent, 1st dose card only coverage of 68 percent and 3rd dose card only coverage of 58 percent.   GoC=R+ D+	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2006	84	84	1	87	87	87	192042	220952	220538	220538	87	gov		C:	Reported data calibrated to 2005 and 2009 levels.    Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2007	82	82	1	88	88	88	199649	226251	228714	228714	88	gov		C:	Reported data calibrated to 2005 and 2009 levels.    Estimate challenged by: R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2008	81	81	1	89	89	89	213006	239783	233499	233499	89	gov		C:	Reported data calibrated to 2005 and 2009 levels.    Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2009	78	78	1	89	89	89	219126	245568	239906	239906	89	gov	78	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 78 percent based on 1 survey(s).   Togo Multiple Indicators Cluster Survey 2010 card or history results of 72 percent modifed for recall bias to 78 percent based on 1st dose card or history coverage of 87 percent, 1st dose card only coverage of 71 percent and 3rd dose card only coverage of 64 percent.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2010	83	83	1	92	92	92	231954	251438	245561	245561	92	gov		C:	Reported data calibrated to 2009 and 2011 levels.    Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2011	85	85	1	92	92	92	236205	257480	247271	247271	92	gov	85	W: AP	Estimate of 85 percent assigned by working group.  Estimate is based on survey results for the 2011 birth cohort, adjusted for recall bias. Togo EPI Review 2012 card or history results of 84 percent modifed for recall bias to 85 percent based on 1st dose card or history coverage of 94 percent, 1st dose card only coverage of 71 percent and 3rd dose card only coverage of 64 percent.   Estimate challenged by: D-R-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2012	84	84	1	91	84	84	245044	268573	248343	248343	84	gov		R: AP	 Estimate is based on official government estimate reflecting survey results for the 2011 birth cohort.   Estimate challenged by: D-	
Togo	Wed Sep 06 19:08:19 2023	tgo	dtp3	2013	84	84	1	87	84	84	237567	274489	250969	250969	84	gov	86	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 86 percent based on 1 survey(s).  Togo Demographic and Health Survey 2013-2014 card or history results of 83 percent modifed for recall bias to 86 percent based on 1st dose card or history coverage of 93 percent, 1st dose card only coverage of 68 percent and 3rd dose card only coverage of 63 percent.  Official government estimate is based on results from a coverage survey reflecting the 2011 birth cohort.  GoC=Assigned by working group.  Consistency with neighbouring years.	
