Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	1997	99	99	2		99	99			1015218	1015218	99	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	1998	99	99	2						960890	960890	99	interpolated	99	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	1999	98	98	1		98	98	971075	1007862	887602	887602	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2000	99	99	1		99	99	1041351	1109000	852143	852143	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2001	99	99	1		99	99	924418	955965	837664	837664	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2002	99	99	2		99	99			828622	828622	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2003	99	99	2		99	99			830429	830429	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2004	99	99	2		100	100			828479	828479	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2005	99	99	2		100	100			837077	837077	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2006	99	99	2		100	100			826617	826617	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2007	99	99	2		100	100			827113	827113	100	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2008	99	99	2		100	100			824123	824123	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2009	99	99	2						813367	813367	100	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2010	99	99	2		100	100			813828	813828	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2011	99	99	2		100	100			820730	820730	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2012	99	99	2		100	100			812420	812420	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 2 survey(s).    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2013	99	99	2		100	100			790888	790888	100	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2014	99	99	2		100	100			769461	769461	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2015	99	99	2		100	100			745375	745375	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2016	99	99	2	95	100	100			723924	723924	100	gov		R:	Estimate informed by reported data.   Reported official coverage is based on a 2013 cluster coverage survey.  GoC=R+ S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2017	99	99	1	100	100	100	431043	431043	707256	707256	100	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).   Reported official coverage is based on a 2013 cluster coverage survey.  Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2018	99	99	1	95	100	100	400765	421063	687154	687154	100	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).   Reported official coverage is based on a 2018 cluster coverage survey.  Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2019	99	99	1	97	100	100	378902	389125	668571	668571	100	gov		R:	Estimate informed by reported data.  Reported official coverage is based on a 2018 cluster coverage survey.  Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2020	99	99	1	97	100	100	356781	366921	656102	656102	100	gov		R:	Estimate informed by reported data.  Reported denominator is likely an underestimate. Country reports that denominator is based on count of children residing in the area of responsibility of each health facility. Bangkok seems not to be included in the data reporting system.  Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2021	99	99	1	96		96	339445	353424	644325	644325	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Estimated coverage levels may overestimate actual coverage levels based on patterns signalling declines in the reported number of doses administered. Reported denominator is likely an underestimate. Country reports that denominator is based on count of children residing in the area of responsibility of each health facility. Data for Bangkok are not included in the data reporting system.  Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	bcg	2022	99		1	96	96	96	295930	309455	631239	631239	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Estimated coverage levels may overestimate actual coverage levels based on patterns signalling declines in the reported number of doses administered. Reported denominator is likely an underestimate. Country reports that denominator is based on count of children residing in the area of responsibility of each health facility. Data for Bangkok are not included in the data reporting system. WHO and UNICEF are aware of an ongoing 2022 Multiple Indicator Cluster Survey and await the final results.  Estimate challenged by: D-	
Thailand	Wed Sep 06 19:08:27 2023	tha	dtp1	1997	98	98	2						1015218	1015218	98	extrapolated		R: AP	Legacy estimate.   GoC=S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	dtp1	1998	98	98	2						960890	960890	98	extrapolated	98	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=S+	
Thailand	Wed Sep 06 19:08:27 2023	tha	dtp1	1999	99	99	2						887602	887602	98	extrapolated		RMF	Estimate based on DTP3 coverage of 97.    GoC=S+	
