Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	1997	99	99	2		99	99			207800	207800	99	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	1998	98	98	2		98	98			207491	207491	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	1999	98	98	1	98	98	98	154935	158180	201960	201960	98	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    Estimate challenged by: D-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2000	98	98	1	99	99	99	153589	155283	199562	199562	99	gov		C:	Reported data calibrated to 1999 and 2004 levels.    Estimate challenged by: D-R-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2001	96	96	1	97	97	97	148411	153428	198914	198914	97	gov		C:	Reported data calibrated to 1999 and 2004 levels.    Estimate challenged by: D-R-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2002	97	97	1	99	98	98	154357	156361	197647	197647	98	gov		C:	Reported data calibrated to 1999 and 2004 levels.    Estimate challenged by: D-R-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2003	98	98	1	99	99	99	143813	145802	194718	194718	99	gov		C:	Reported data calibrated to 1999 and 2004 levels.    Estimate challenged by: D-R-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2004	95	95	1	97	97	97	144801	149546	196475	196475	97	gov	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate based on survey results   Estimate challenged by: D-R-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2005	97	97	1	98	98	98	155347	158371	197754	197754	98	gov		C:	Reported data calibrated to 2004 and 2007 levels.    Estimate challenged by: D-R-	
Tajikistan	Wed Sep 06 19:08:37 2023	tjk	bcg	2006	93	93	1	94		94	152710	161534	201954	201954	94	admin		C:	Reported data calibrated to 2004 and 2007 levels.  Tajikistan Living Standards Measurement Survey 2007 results ignored by working group.  Survey ignored; results and methodology are inconsistent with previous surveys; sample size equals the size of the target population with only 4860 households surveyed.  Estimate challenged by: D-R-	
