Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	1997	97	97	2		97	97			115670	115670	97	gov		R: AP	Legacy estimate.   GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	1998	98	98	2		98	98			112624	112624	98	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	1999	99	99	1	99	99	99	95530	96679	110412	110412	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2000	99	99	1	99	99	99	91104	92098	108433	108433	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2001	99	99	1	99	99	99	84008	85039	105975	105975	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2002	99	99	1	99	99	99	84885	85568	103949	103949	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2003	99	99	1	99	99	99	85424	86462	105144	105144	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2004	99	99	1	99	99	99	89125	89934	106355	106355	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2005	99	99	1	99	99	99	89454	90369	109238	109238	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2006	99	99	1	99	99	99	96903	97685	112310	112310	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2007	99	99	2	99	99	99			115904	115904	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2008	99	99	2	99	99	99			120896	120896	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2009	99	99	2	99	99	99			126882	126882	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2010	99	99	2	99	99	99			133314	133314	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2011	98	98	2	99	98	98			139393	139393	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2012	99	99	2	99	99	99			144565	144565	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2013	98	98	2	98	98	98			148207	148207	98	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2014	99	99	2	99	99	99			150232	150232	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2015	99	99	2	99	99	99			150465	150465	99	gov		R:	Estimate informed by reported data.   GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2016	98	98	2	98	98	98			149315	149315	98	gov		R:	Estimate informed by reported data.   GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2017	98	98	2	98	98	98			147211	147211	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2018	98	98	2	98	98	98			144719	144719	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2019	98	98	2	98	98	98			142072	142072	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2020	98	98	2	98	98	98			139380	139380	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2021	98	98	2	98	98	98			136968	136968	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	bcg	2022	98		2	98	98	98			133491	133491	98	gov		R:	Estimate informed by reported data.  No nationally representative household survey inclusive of vaccination coverage assessment within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	1997	98	98	1						115670	115670	97	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	1998	99	99	1						112624	112624	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	1999	99	99	1						110412	110412	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2000	97	97	1	97	97	97	92417	95054	108433	108433	97	gov		R: AP	 Estimate is based on reported data.   Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2001	96	96	1	96	96	96	85952	89795	105975	105975	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2002	99	99	1	99	99	99	82219	83186	103949	103949	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2003	96	96	1	96	96	96	81981	85011	105144	105144	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2004	98	98	1	98	98	98	87160	88758	106355	106355	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2005	99	99	1	99	99	99	86965	87816	109238	109238	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2006	99	99	1	99	99	99	89809	90406	112310	112310	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2007	99	99	2	99	99	99			115904	115904	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2008	98	98	2	98	98	98			120896	120896	98	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2009	98	98	2	98	98	98			126882	126882	98	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2010	99	99	2	99	99	99			133314	133314	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2011	98	98	2	98	98	98			139393	139393	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2012	98	98	2	98	98	98			144565	144565	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Turkmenistan	Wed Sep 06 19:08:46 2023	tkm	dtp1	2013	99	99	2	99	99	99			148207	148207	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+	
