Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2002	75	75	1	83		83	20746	24896	35639	35639	83	admin	75	W: AP	Estimate of 75 percent assigned by working group.  Subsequent revision of denominator based on 2005 census.   Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2003	72	72	1	89	80	80	22077	24896	35684	35684	80	gov	72	W: AP	Estimate of 72 percent assigned by working group.  Subsequent revision of denominator based on 2005 census.   Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2004	72	72	3	92	72	72	22941	24897	35680	35680	72	gov		R: AP	 Subsequent revision of denominator based on 2005 census.   GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2005	70	70	3	63	70	70	24350	38651	35380	35380	70	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2006	74	74	3	74	74	74	29512	41099	35183	35183	74	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2007	74	74	1	74	74	74	30075	40584	34880	34880	74	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2008	85	85	3	85	85	85	32859	38467	34655	34655	85	gov	77	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 77 percent based on 1 survey(s).   Trends in coverage from 2007 to 2009 consistent with trends in other antigens.  GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2009	74	74	1	71	71	71	33075	41796	34510	34510	71	gov		C:	Reported data calibrated to 2008 and 2012 levels.   Trends in coverage from 2007 to 2009 consistent with trends in other antigens.  Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2010	79	79	1	71	71	71	29770	42188	34209	34209	71	gov		C:	Reported data calibrated to 2008 and 2012 levels.    Estimate challenged by: R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2011	79	79	1	68	68	68	28671	42188	34139	34139	68	gov		C:	Reported data calibrated to 2008 and 2012 levels.    Estimate challenged by: R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2012	86	86	1	71	71	71	29989	42114	33937	33937	71	gov	86	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 86 percent based on 1 survey(s).     Estimate challenged by: R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2013	86	86	1	82	82	82	32452	39497	33878	33878	82	gov		W: AP	Estimate of 86 percent assigned by working group.  Estimate is based on survey result for 2012.  Programme reports three months stockout at national level and in two districts..  Estimate challenged by: R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2014	79	79	1	79	79	79	31726	40351	33714	33714	79	gov	77	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 77 percent based on 1 survey(s).    GoC=Assigned by working group.  Consistency across vaccines.	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2015	79	79	1	79	90	79	33297	42222	33482	33482	79	admin	80	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 80 percent based on 1 survey(s).   WHO and UNICEF are aware of two sub-national surveys conducted during 2015 reflecting coverage for the 2013-14 birth cohorts and encourages efforts to appropriately re-weight the survey results to produce national level coverage results. Official government reported data based on two subnational surveys conducted during 2015.  GoC=Assigned by working group.  Consistency across vaccines.	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2016	86	86	1	110	95	95	36794	33547	33157	33157	84	interpolated		C:	Reported data calibrated to 2015 and 2017 levels.  Reported data excluded.  Adjustment to reported official estimates is unexplained. The reported number of children vaccinated includes children beyond one-year of age but the proportion above one-year is unknown. The reported target population estimates for 2016 are lower than those for 2015 due in part to a change from use of projections from 2010 census to 2015 census.  Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2017	95	95	1	106	96	96	36806	34631	33001	33001	90	interpolated	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate is based on survey result. Reported data excluded.  Adjustment to reported official estimates is unexplained.  Estimate challenged by: D-R-S-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2018	95	95	2	78	95	95	34932	45040	32777	32777	95	gov		R: AP	 Estimate is based on survey result.  Exceptional relative increase of 35 percent in reported target population from 2017 to 2018 is explained by a reversion to projections from 2010 census. Apparent decline in reported administrative data likely an artefact resulting from change in reported target. Reported official coverage based on survey results.  GoC=Assigned by working group.  Consistency with other antigens.	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2019	95	95	1	91	95	95	41011	44981	32733	32733	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2020	88	88	1	119	88	88	38062	31905	32882	32882	88	gov		R:	Estimate informed by reported data.  No vital registration system in place in the country. The 2015 census was used as the basis for the denominator used for the reported administrative coverage. These census projections are under discussion by different institutions. WHO and UNICEF recommend a historical series revision once official denominators have been defined.  Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2021	88	88	2	101	101	101	31950	31679	32976	32976	88	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  The country notes data quality issues and indicates work is needed to improve recording and reporting. For several antigens, reported number of doses administered decreases while coverage increases relative to prior years. WHO and UNICEF recommend a revision of reported coverage time series.Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	bcg	2022	88		1	109	109	109	34601	31832	33074	33074	88	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  The country notes data quality issues and indicates work is needed to improve recording and reporting. For several antigens, reported number of doses administered decreases while coverage increases relative to prior years. Reported doses administered in 2021-2022 are meaningfully lower than that for the prior five year period. WHO and UNICEF recommend a revision of reported coverage time series.Reported data excluded because 109 percent greater than 100 percent.  WHO and UNICEF are aware that the country is conducting an EPI coverage survey in 2023 and await the final results.  Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2002	68	68	1	79		79	19721	24896	35639	35639	79	admin	68	W: AP	Estimate of 68 percent assigned by working group.  Subsequent revision of denominator based on 2005 census.   Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2003	65	65	1	83	80	80	20727	24896	35684	35684	80	gov	65	W: AP	Estimate of 65 percent assigned by working group.  Subsequent revision of denominator based on 2005 census.   Estimate challenged by: R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2004	65	65	3	86	65	65	21377	24897	35680	35680	65	gov		R: AP	 Subsequent revision of denominator based on 2005 census.   GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2005	64	64	3	64	64	64	22784	35599	35380	35380	64	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2006	71	71	3	71	71	71	28352	37858	35183	35183	71	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2007	76	76	1	76	76	76	30641	40584	34880	34880	76	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2008	85	85	3	85	85	85	32579	38467	34655	34655	85	gov	75	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 75 percent based on 1 survey(s).    GoC=R+ S+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2009	77	77	1	76	76	76	33585	41796	34510	34510	76	gov		C:	Reported data calibrated to 2008 and 2012 levels.    Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2010	76	76	1	75	75	75	31582	42188	34209	34209	75	gov		C:	Reported data calibrated to 2008 and 2012 levels.    Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2011	70	70	1	69	69	69	28921	42188	34139	34139	69	gov		C:	Reported data calibrated to 2008 and 2012 levels.    Estimate challenged by: D-R-S-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2012	84	84	1	82	82	82	31994	38915	33937	33937	82	gov	84	W: AP	Estimate of 84 percent assigned by working group.  Estimate is based on the survey coverage which supports the reported coverage level.   Estimate challenged by: D-R-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2013	87	87	1	86	86	86	33841	39497	33878	33878	86	gov		C:	Reported data calibrated to 2012 and 2014 levels.    Estimate challenged by: D-R-S-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2014	81	81	1	81	81	81	32619	40351	33714	33714	81	gov	75	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 75 percent based on 1 survey(s).    GoC=Assigned by working group.  Consistency across vaccines.	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2015	80	80	1	80	90	80	33889	42222	33482	33482	80	admin	78	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 78 percent based on 1 survey(s).   WHO and UNICEF are aware of two sub-national surveys conducted during 2015 reflecting coverage for the 2013-14 birth cohorts and encourages efforts to appropriately re-weight the survey results to produce national level coverage results. Official government reported data based on two subnational surveys conducted during 2015.  GoC=Assigned by working group.  Consistency across vaccines.	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2016	86	86	1	108	95	95	36225	33547	33157	33157	84	interpolated		C:	Reported data calibrated to 2015 and 2017 levels.  Reported data excluded.  Adjustment to reported official estimates is unexplained. The reported number of children vaccinated includes children beyond one-year of age but the proportion above one-year is unknown. The reported target population estimates for 2016 are lower than those for 2015 due in part to a change from use of projections from 2010 census to 2015 census.  Estimate challenged by: D-R-S-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2017	92	92	1	110	94	94	38161	33391	33001	33001	88	interpolated	92	W: AP	Estimate of 92 percent assigned by working group.  Estimate is based on survey result. Reported data excluded.  Adjustment to reported official estimates is unexplained.  Estimate challenged by: D-R-S-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2018	92	92	1	85	92	92	38344	45040	32777	32777	92	gov		R: AP	 Estimate is based on reported data.  Exceptional relative increase of 35 percent in reported target population from 2017 to 2018 is explained by a reversion to projections from 2010 census. Apparent decline in reported administrative data likely an artefact resulting from change in reported target. Reported official coverage based on survey results..  Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2019	90	90	1	88	90	90	39645	44981	32733	32733	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2020	87	87	1	120	87	87	38352	31905	32882	32882	87	gov		R:	Estimate informed by reported data.  No vital registration system in place in the country. The 2015 census was used as the basis for the denominator used for the reported administrative coverage. These census projections are under discussion by different institutions. WHO and UNICEF recommend a historical series revision once official denominators have been defined.  Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2021	87	87	2	99	99	99	31282	31679	32976	32976	87	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  The country notes data quality issues and indicates work is needed to improve recording and reporting. For several antigens, reported number of doses administered decreases while coverage increases relative to prior years. WHO and UNICEF recommend a revision of reported coverage time series.  GoC=R+ D+	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp1	2022	87		1	106	106	106	33803	31832	33074	33074	87	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  The country notes data quality issues and indicates work is needed to improve recording and reporting. For several antigens, reported number of doses administered decreases while coverage increases relative to prior years. Reported doses administered in 2021-2022 are meaningfully lower than that for the prior five year period. WHO and UNICEF recommend a revision of reported coverage time series.Reported data excluded because 106 percent greater than 100 percent.  WHO and UNICEF are aware that the country is conducting an EPI coverage survey in 2023 and await the final results.  Estimate challenged by: D-	
Timor-Leste	Wed Sep 06 19:08:54 2023	tls	dtp3	2002	54	54	1	57		57	14179	24896	35639	35639	57	admin	38	W: AP	Estimate of 54 percent assigned by working group.  Subsequent revision of denominator based on 2005 census.   Estimate challenged by: D-R-S-	
