Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	1997	99	99	1		100	100			2972	2972	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	1998	99	99	2		100	100			2999	2999	100	gov		R: AP	 Estimate is based on reported data.   GoC=R+	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	1999	99	99	1	100	100	100	2412	2424	2969	2969	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2000	99	99	2	99	99	99	2711	2733	2935	2935	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2001	91	91	2	91	91	91	2520	2763	2940	2940	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2002	95	95	2				2663	2691	3006	3006	95	interpolated		R:	Estimate informed by interpolation between reported data.  Survey results ignored. Sample size 114 less than 300.   GoC=D+	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2003	99	99	2	99	99	99	2897	2910	3081	3081	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2004	99	99	1	100	100	100	2651	2662	3110	3110	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2005	99	99	1	99	99	99	2697	2717	3104	3104	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tonga	Wed Sep 06 19:09:06 2023	ton	bcg	2006	99	99	1	100	100	100	2695	2697	3078	3078	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
