Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	1997	96	96	1						20307	20307	90	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	1998	94	94	1						20169	20169	90	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	1999	92	92	1						20283	20283	90	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.  Survey results ignored. Sample size 187 less than 300.   GoC=No accepted empirical data	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2000	90	90	1	90	90	90	16154	17956	20304	20304	90	gov		R: AP	 Estimate is based on the reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2001	91	91	1	91	91	91	16221	17929	20308	20308	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2002	98	98	1		90	90			20246	20246	90	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2003	93	93	1	93	93	93	15574	16819	20325	20325	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2004	98	98	1		91	91			20297	20297	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.  Survey results ignored. Sample size 215 less than 300.   Estimate challenged by: R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2005	98	98	1		94	94	15515		20431	20431	94	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    Estimate challenged by: D-R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2006	93	93	1	93	93	93	15850	17021	20803	20803	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2007	90	90	1	90	90	90	16136	17940	21113	21113	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2008	91	91	1	91		91	16661	18367	21186	21186	91	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2009	95	95	2	95	95	95	18320	19361	20870	20870	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2010	96	96	1	89	89	89	16715	18747	20949	20949	89	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 90.    Estimate challenged by: D-R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2011	96	96	1	89	89	89	16715	18747	21001	21001	89	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 90.    Estimate challenged by: D-R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2012	97	97	1	92	87	87	16491	17855	20850	20850	87	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    Estimate challenged by: D-R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2013	94	94	1	94	94	94	16457	17571	20582	20582	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2014	93	93	1	93	93	93	16437	17727	20253	20253	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2015	98	98	1	91	91	91	16223	17798	19866	19866	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: D-R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2016	97	97	1	97	97	97	15991	16567	19529	19529	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2017	96	96	1	87	87	87	14249	16360	19076	19076	87	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 89.    Estimate challenged by: D-R-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2018	99	99	1	100	100	100	15264	15286	18670	18670	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Trinidad and Tobago	Wed Sep 06 19:09:17 2023	tto	dtp1	2019	97	97	1	91	91	91	14786	16186	18904	18904	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: D-R-	
