Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	1997	89	89	1		73	73			1438219	1438219	73	gov	88	W: AP	Estimate of 89 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	1998	91	91	1		76	76			1431246	1431246	76	gov		C:	Reported data calibrated to 1997 and 2003 levels.    Estimate challenged by: R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	1999	93	93	1		78	78			1407858	1407858	78	gov		C:	Reported data calibrated to 1997 and 2003 levels.    Estimate challenged by: R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2000	96	96	1	77	82	82	977663	1353997	1374955	1374955	82	gov		C:	Reported data calibrated to 1997 and 2003 levels.    Estimate challenged by: D-R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2001	95	95	1	82	82	82	1109041	1359272	1405366	1405366	82	gov		C:	Reported data calibrated to 1997 and 2003 levels.    Estimate challenged by: D-R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2002	89	89	1	77	77	77	1050688	1360037	1306998	1306998	77	gov		C:	Reported data calibrated to 1997 and 2003 levels.    Estimate challenged by: R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2003	88	88	1	76	76	76	1026956	1360037	1269951	1269951	76	gov	88	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 88 percent based on 1 survey(s).     Estimate challenged by: R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2004	85	85	1	79	79	79	1064090	1354824	1282596	1282596	79	gov		C:	Reported data calibrated to 2003 and 2005 levels.    Estimate challenged by: R-	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2005	88	88	3	88	88	88	1173717	1341033	1298921	1298921	88	gov		R: AP	 From 2005 onward survey results support reported data.   GoC=R+ S+ D+	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2006	88	88	3	88		88	1175360	1341033	1316064	1316064	88	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2007	94	94	3	94	94	94	1234250	1317432	1307964	1307964	94	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2008	96	96	3	96	96	96	1263357	1317432	1306949	1306949	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Türkiye	Wed Sep 06 19:09:33 2023	tur	bcg	2009	96	96	3	96	96	96	1249923	1306970	1304121	1304121	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
