Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	1997	99	99	1	100	100	100			274	274	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	1998	99	99	1	100	100	100			267	267	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	1999	99	99	1	100	100	100	215	215	259	259	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2000	99	99	1	99	100	100	313		251	251	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2001	99	99	1	100	100	100	231	231	244	244	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2002	99	99	1	100	100	100	204	204	237	237	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2003	99	99	1	100	100	100			231	231	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2004	99	99	1	100	100	100	253	253	228	228	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2005	99	99	1	100	100	100	294	294	228	228	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2006	99	99	1	100	100	100	224	224	235	235	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.  Survey results ignored. Sample size 80 less than 300.   Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2007	99	99	1	100	100	100	299	299	229	229	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2008	99	99	1	100	100	100	281	281	229	229	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2009	99	99	1	100	100	100	265	265	231	231	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2010	99	99	1	100	100	100	241	241	235	235	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2011	99	99	1	100	100	100	244	244	240	240	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2012	99	99	1	100	100	100	233	233	246	246	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2013	99	99	1	100	100	100	250	250	245	245	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2014	99	99	1	100	100	100	258	258	244	244	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2015	99	99	1	100	100	100	228	228	245	245	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2016	99	99	2	99	99	99	232	234	248	248	99	gov		R: AP	 Estimate based on reported data supported by survey results for following year cohort.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2017	99	99	2	99	100	100	230	233	251	251	100	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 99 less than 300.  Survey results support reported coverage.  GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2018	99	99	2	100	100	100	250	250	256	256	100	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 112 less than 300.  Survey results support reported coverage.  GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2019	99	99	2	100	100	100	267	267	259	259	100	gov		R:	Estimate informed by reported data.  Programme reports one-half month vaccine stockout.  GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2020	99	99	1	100	100	100	327	327	262	262	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2021	99	99	2	100	100	100	281	281	263	263	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	bcg	2022	99		2	100	100	100	285	285	265	265	100	gov		R:	Estimate informed by reported data.  Programme reports a planned coverage survey during 2023-24. WHO and UNICEF await the final results.  GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	1997	91	91	1						274	274	80	extrapolated		W: AP	Estimate of 91 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	1998	98	98	1						267	267	80	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.    GoC=No accepted empirical data	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	1999	84	84	1						259	259	80	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2000	93	93	1	82	80	80	215		251	251	80	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 82.    Estimate challenged by: R-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2001	99	99	2	100	100	100	231	231	244	244	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2002	99	99	1	100	100	100	204	204	237	237	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2003	99	99	2		100	100			231	231	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2004	99	99	1	100	100	100	253	253	228	228	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2005	99	99	1	100	100	100	294	294	228	228	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2006	99	99	2	99	99	99	218	221	235	235	99	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 80 less than 300.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2007	99	99	1	100	100	100	299	299	229	229	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2008	99	99	1	100	100	100	281	281	229	229	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2009	97	97	1	97	97	97	257	262	231	231	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2010	99	99	1	100	100	100	280	280	235	235	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2011	99	99	1	100	100	100	285	285	240	240	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2012	99	99	1	100	100	100	277	277	246	246	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2013	99	99	1	100	100	100	285	285	245	245	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2014	99	99	1	100	100	100	283	283	244	244	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2015	99	99	2	100	100	100	265	265	245	245	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2016	99	99	2	99	99	99	270	272	248	248	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2017	99	99	1	100	100	100	280	280	251	251	100	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 99 less than 300.  Survey results support reported coverage.  Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2018	99	99	1	99	100	100	287	289	256	256	100	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 112 less than 300.  Survey results support reported coverage.  Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2019	99	99	1	100	100	100	307	307	259	259	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2020	99	99	1	100	100	100	336	336	262	262	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2021	99	99	2	99	99	99	283	286	263	263	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp1	2022	99		2	100	100	100	290	290	265	265	100	gov		R:	Estimate informed by reported data.  Programme reports a planned coverage survey during 2023-24. WHO and UNICEF await the final results.  GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	1997	77	77	2	77	77	77			274	274	77	gov		R: AP	Legacy estimate.   GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	1998	94	94	2	100	94	94			267	267	94	gov		R:	Estimate informed by reported data.  .  GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	1999	83	83	1	90	83	83	181	215	259	259	83	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2000	82	82	2	75	82	82	181		251	251	82	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2001	96	96	2	96	96	96	222	231	244	244	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2002	98	98	1	98	98	98	200	204	237	237	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2003	93	93	2	93	93	93			231	231	93	gov		R:	Estimate informed by reported data.    GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2004	98	98	1	98	98	98	247	253	228	228	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2005	93	93	1	93	93	93	273	294	228	228	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2006	97	97	2	97	97	97	215	221	235	235	97	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 80 less than 300. Tuvalu Demographic and Health Survey 2007 card or history results of 62 percent modifed for recall bias to 78 percent based on 1st dose card or history coverage of 78 percent, 1st dose card only coverage of 33 percent and 3rd dose card only coverage of 33 percent.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2007	97	97	1	97	97	97	292	299	229	229	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2008	99	99	1	99	99	99	278	280	229	229	99	gov		R: AP	.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2009	88	88	1	88	88	88	232	262	231	231	88	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2010	89	89	1	89	89	89	250	280	235	235	89	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2011	96	96	1	96	96	96	274	285	240	240	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2012	97	97	1	97	97	97	268	277	246	246	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2013	90	90	1	90	90	90	257	285	245	245	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2014	89	89	1	89	89	89	252	282	244	244	89	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2015	96	96	2	96	96	96	255	265	245	245	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2016	94	94	2	94	94	94	257	272	248	248	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2017	96	96	1	96	96	96	268	280	251	251	96	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 99 less than 300. Tuvalu Multiple Indicator Cluster Survey 2019-2020 card or history results of 71 percent modifed for recall bias to 96 percent based on 1st dose card or history coverage of 96 percent, 1st dose card only coverage of 36 percent and 3rd dose card only coverage of 36 percent.  Survey results support reported coverage.  Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2018	89	89	1	89	89	89	258	289	256	256	89	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 112 less than 300. Tuvalu Multiple Indicator Cluster Survey 2019-2020 card or history results of 80 percent modifed for recall bias to 99 percent based on 1st dose card or history coverage of 97 percent, 1st dose card only coverage of 53 percent and 3rd dose card only coverage of 54 percent.  Survey results support reported coverage.  Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2019	92	92	1	92	92	92	283	307	259	259	92	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2020	95	95	1	95	95	95	319	336	262	262	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2021	94	94	2	94	94	94	269	286	263	263	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	dtp3	2022	91		2	91	91	91	263	290	265	265	91	gov		R:	Estimate informed by reported data.  Programme reports a planned coverage survey during 2023-24. WHO and UNICEF await the final results.  GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	1997	88	88	2	88	88	88			274	274	88	gov		R: AP	Legacy estimate.   GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	1998	96	96	2	80	96	96			267	267	96	gov		R:	Estimate informed by reported data.    GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	1999	93	93	1	92	93	93	95	102	259	259	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2000	81	81	1	81	81	81	116		251	251	81	gov		R:	Estimate informed by reported data.  .  Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2001	99	99	1	99	99	99	118	119	244	244	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2002	99	99	1	99	99	99	135	136	237	237	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2003	95	95	2	95	95	95			231	231	95	gov		R:	Estimate informed by reported data.    GoC=R+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2004	98	98	1	98	98	98	125	127	228	228	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2005	79	79	1	79	79	79	232	294	228	228	79	gov		R:	Estimate informed by reported data.  .  Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2006	97	97	2	97	97	97	215	221	235	235	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2007	97	97	1	97	97	97	292	299	229	229	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2008	99	99	1	99	99	99	278	280	229	229	99	gov		R: AP	.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2009	91	91	1	91	91	91	242	262	231	231	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2010	89	89	1	89	89	89	250	280	235	235	89	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2011	96	96	1	96	96	96	274	285	240	240	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2012	97	97	1	97	97	97	268	277	246	246	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2013	90	90	1	90	90	90	257	285	245	245	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Tuvalu	Wed Sep 06 19:09:40 2023	tuv	hepb3	2014	89	89	1	89	89	89	252	282	244	244	89	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
