Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	1997	85	85	2		85	85			1352536	1352536	85	gov		R: AP	Legacy estimate.   GoC=R+ S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	1998	83	83	2		83	83			1385824	1385824	83	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    GoC=R+ S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	1999	87	87	3	87	87	87	1115059	1279401	1414954	1414954	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2000	86	86	3	86	86	86	1144678	1335631	1452563	1452563	86	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2001	91	91	3	91	91	91	1258791	1376975	1494650	1494650	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2002	88	88	3	88	88	88	1214868	1378502	1524918	1524918	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2003	91	91	3	92	91	91	1350228	1466792	1565008	1565008	91	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2004	91	91	3	91	91	91	1369596	1502309	1612717	1612717	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2005	91	91	3	91	91	91	1359702	1491512	1662377	1662377	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2006	90	90	2	90	102	102	1496132	1661085	1696385	1696385	90	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent. Reported data excluded due to an increase from 91 percent to 102 percent with decrease 89 percent.   GoC=R+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2007	89	89	3	89	89	89	1519586	1715446	1719201	1719201	89	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2008	89	89	3	90	89	89	1573510	1753373	1747574	1747574	89	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2009	93	93	3	93	93	93	1665664	1787982	1773179	1773179	93	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2010	99	99	3	99	99	99	1798279	1822119	1794888	1794888	99	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2011	99	99	3	103	101	101	1917732	1859227	1815651	1815651	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2012	99	99	3	104	104	104	1957800	1890118	1832779	1832779	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2013	99	99	3	107	104	104	1983405	1862337	1907976	1907976	99	interpolated	97	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 97 percent based on 2 survey(s).  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2014	99	99	1	121	99	99	2264702	1871868	1977547	1977547	99	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).   Increases in reported coverage due in part to reported lower target population estimates for 2014 compared to 2013.  Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2015	97	97	1	119	99	99	2326943	1949962	2032307	2032307	99	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2016	95	95	1	123	99	99	2516037	2043675	2086160	2086160	99	gov		C:	Reported data calibrated to 2014 and 2018 levels.   Programme reports a one month vaccine stockout.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2017	93	93	1	131	99	99	2736792	2084583	2140107	2140107	99	gov		C:	Reported data calibrated to 2014 and 2018 levels.   Reported number of BCG doses since 2014 are significantly higher than other reported vaccine doses.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2018	91	91	1	122	99	99	2651838	2165518	2181403	2181403	99	gov	91	W: AP	Estimate of 91 percent assigned by working group.  Estimate is based on survey results. Survey results do not support reported data at such high levels of coverage.   Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2019	91	91	1	121	99	99	2699462	2229015	2223809	2223809	99	gov		C:	Reported data calibrated to 2018 levels.  Country notes a transition from use of the DVDMT to the Vaccine Information Management System (VIMS) for recording and reporting routine immunization data.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2020	87	87	1	119	95	95	2730924	2289295	2262300	2262300	95	gov		C:	Reported data calibrated to 2018 levels.  Programme reports a two months vaccine stockout at national and subnational levels.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2021	83	75	1	107	99	107	2508959	2355127	2303114	2303114	97	interpolated		W:	 Estimate is exceptionally based on estimated DTP1 coverage. Reported data excluded because 107 percent greater than 100 percent.  Programme reports a one month vaccine stockout at national and subnational levels. Decline in doses administered for most vaccines between 2020 and 2021 is not reflected in reported official coverage. Estimate of 83 percent changed from previous revision value of 75 percent.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	bcg	2022	90		1	131	98	98	3143743	2396935	2346821	2346821	98	gov		C:	Reported data calibrated to 2018 levels.  WHO and UNICEF are aware of an ongoing Demographic and Health Survey (DHS) and await the final results.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	1997	92	92	2						1352536	1352536	96	extrapolated		W: AP	Estimate of 92 percent assigned by working group. Legacy estimate.   GoC=S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	1998	96	96	2						1385824	1385824	96	extrapolated	92	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	1999	90	90	2						1414954	1414954	96	extrapolated		RMF	Estimate based on DTP3 coverage of 76.    GoC=S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2000	92	92	2						1452563	1452563	96	extrapolated		RMF	Estimate based on DTP3 coverage of 79.    GoC=S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2001	95	95	2						1494650	1494650	96	extrapolated		RMF	Estimate based on DTP3 coverage of 87.    GoC=S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2002	96	96	3	96	96	96	1318341	1378502	1524918	1524918	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2003	99	99	1	100	100	100	1320551	1322555	1565008	1565008	100	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2004	99	99	1	100	100	100	1353752	1356054	1612717	1612717	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2005	95	95	1	95	95	95	1322400	1392679	1662377	1662377	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2006	94	94	1	92	94	94	1422332	1547465	1696385	1696385	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2007	89	89	3	89	89	89	1405044	1571643	1719201	1719201	89	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2008	88	88	3	88	88	88	1420998	1607398	1747574	1747574	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2009	90	90	3	90	90	90	1476983	1642516	1773179	1773179	90	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2010	98	98	3	98	98	98	1637458	1677100	1794888	1794888	98	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2011	96	96	3	98	96	96	1681691	1714246	1815651	1815651	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2012	99	99	3	99	99	99	1724612	1743414	1832779	1832779	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2013	99	99	3	100	100	100	1767088	1767358	1907976	1907976	100	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 2 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2014	99	99	3	108	99	99	1878480	1733967	1977547	1977547	99	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).   Increases in reported coverage due in part to reported lower target population estimates for 2014 compared to 2013.  GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2015	97	97	1	105	99	99	1898957	1810396	2032307	2032307	99	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2016	95	95	1	103	99	99	1965016	1921328	2086160	2086160	99	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2017	93	93	1	106	99	99	2053783	1929690	2140107	2140107	99	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2018	91	91	1	105	99	99	2105650	2013744	2181403	2181403	99	gov	91	W: AP	Estimate of 91 percent assigned by working group.  Estimate is based on survey results. Survey results do not support reported data at such high levels of coverage.   Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2019	91	91	1	109	99	99	2240633	2061343	2223809	2223809	99	gov		C:	Reported data calibrated to 2018 levels.  Country notes a transition from use of the DVDMT to the Vaccine Information Management System (VIMS) for recording and reporting routine immunization data.  Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2020	88	88	1	107	96	96	2257222	2116379	2262300	2262300	96	gov		C:	Reported data calibrated to 2018 levels.   Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2021	83	82	1	101	99	101	2200358	2176804	2303114	2303114	98	interpolated		W:	 The 2021 coverage estimate is based on the relative difference in administrative coverage between 2020 and 2021 applied to the 2020 estimated coverage. Reported data excluded because 101 percent greater than 100 percent.  Decline in doses administered for most vaccines between 2020 and 2021 is not reflected in reported official coverage. Estimate of 83 percent changed from previous revision value of 82 percent.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp1	2022	91		1	110	99	99	2445177	2213094	2346821	2346821	99	gov		C:	Reported data calibrated to 2018 levels.  WHO and UNICEF are aware of an ongoing Demographic and Health Survey (DHS) and await the final results.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	1997	79	79	2		79	79			1352536	1352536	79	gov		R: AP	Legacy estimate.   GoC=R+ S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	1998	79	79	2		79	79			1385824	1385824	79	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).  Tanzania Reproductive and Child Health Survey 1999, 2000 card or history results of 81 percent modifed for recall bias to 87 percent based on 1st dose card or history coverage of 92 percent, 1st dose card only coverage of 73 percent and 3rd dose card only coverage of 69 percent.   GoC=R+ S+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	1999	76	76	1	76	76	76	978722	1279401	1414954	1414954	76	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2000	79	79	3	79	79	79	1056603	1335631	1452563	1452563	79	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2001	87	87	3	87	87	87	1192180	1376975	1494650	1494650	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2002	89	89	3	89	89	89	1227059	1378502	1524918	1524918	89	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2003	95	95	1	95	95	95	1256211	1322555	1565008	1565008	95	gov	88	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).  Tanzania Demographic and Health Survey 2004-2005 card or history results of 86 percent modifed for recall bias to 88 percent based on 1st dose card or history coverage of 93 percent, 1st dose card only coverage of 77 percent and 3rd dose card only coverage of 73 percent.   Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2004	95	95	1	95	95	95	1282278	1356054	1612717	1612717	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2005	90	90	1	90	90	90	1249388	1392679	1662377	1662377	90	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2006	90	90	1	87	90	90	1352386	1547465	1696385	1696385	90	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2007	83	83	3	83	83	83	1306307	1571643	1719201	1719201	83	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2008	86	86	3	86	86	86	1379790	1607398	1747574	1747574	86	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2009	85	85	3	85	85	85	1398578	1642516	1773179	1773179	85	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).  Tanzania Demographic and Health Survey 2010 card or history results of 88 percent modifed for recall bias to 90 percent based on 1st dose card or history coverage of 96 percent, 1st dose card only coverage of 83 percent and 3rd dose card only coverage of 78 percent.   GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2010	91	91	3	91	91	91	1523657	1677100	1794888	1794888	91	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2011	90	90	3	92	90	90	1579593	1714246	1815651	1815651	90	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2012	92	92	3	92	92	92	1608487	1743414	1832779	1832779	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2013	91	91	3	91	91	91	1615750	1767358	1907976	1907976	91	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 2 survey(s).  Post Integrated Measles Rubella Campaign Evaluation and Routine Immunization Coverage Survey 2014 card or history results of 96 percent modifed for recall bias to 97 percent based on 1st dose card or history coverage of 98 percent, 1st dose card only coverage of 84 percent and 3rd dose card only coverage of 83 percent. Tanzania Demographic and Health and Malaria Indicator Survey 2015-16 card or history results of 88 percent modifed for recall bias to 93 percent based on 1st dose card or history coverage of 96 percent, 1st dose card only coverage of 70 percent and 3rd dose card only coverage of 68 percent.   GoC=R+ S+ D+	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2014	97	97	1	97	97	97	1682015	1733967	1977547	1977547	97	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).  Tanzania Demographic and Health and Malaria Indicator Survey 2015-16 card or history results of 89 percent modifed for recall bias to 90 percent based on 1st dose card or history coverage of 97 percent, 1st dose card only coverage of 84 percent and 3rd dose card only coverage of 78 percent.  Increases in reported coverage due in part to reported lower target population estimates for 2014 compared to 2013.  Estimate challenged by: D-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2015	96	96	1	98	98	98	1766612	1810396	2032307	2032307	98	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2016	92	92	1	97	97	97	1856206	1921328	2086160	2086160	97	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2017	90	90	1	99	97	97	1906787	1929690	2140107	2140107	97	gov		C:	Reported data calibrated to 2014 and 2018 levels.    Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2018	89	89	1	99	98	98	1984510	2013744	2181403	2181403	98	gov	89	W: AP	Estimate of 89 percent assigned by working group.  Estimate is based on survey results. Survey results do not support reported data at such high levels of coverage.   Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2019	89	89	1	105	98	98	2161097	2061343	2223809	2223809	98	gov		C:	Reported data calibrated to 2018 levels.  Country notes a transition from use of the DVDMT to the Vaccine Information Management System (VIMS) for recording and reporting routine immunization data.  Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2020	86	86	1	102	95	95	2152769	2116379	2262300	2262300	95	gov		C:	Reported data calibrated to 2018 levels.   Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2021	81	81	1	96	96	96	2093412	2176804	2303114	2303114	96	admin		W:	 The 2021 coverage estimate is based on the relative difference in administrative coverage between 2020 and 2021 applied to the 2020 estimated coverage.  Decline in doses administered for most vaccines between 2020 and 2021 is not reflected in reported official coverage.  Estimate challenged by: R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	dtp3	2022	88		1	107	97	97	2362340	2213094	2346821	2346821	97	gov		C:	Reported data calibrated to 2018 levels.  WHO and UNICEF are aware of an ongoing Demographic and Health Survey (DHS) and await the final results.  Estimate challenged by: D-R-	
United Republic of Tanzania	Wed Sep 06 19:09:48 2023	tza	hepb3	2002	89	89	3	89	89	89	1227059	1378502	1524918	1524918	89	gov		R:	Estimate informed by reported data.   Hepatitis B vaccine introduced in 2002. DTP-HepB-Hib pentavalent combination vaccine introduced in 2009.  GoC=R+ S+ D+	
