Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	1997	82	82	1		88	88			1096039	1096039	88	gov	82	W: AP	Estimate of 82 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	1998	75	75	1		85	85			1111927	1111927	85	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	1999	80	80	1	77	93	93	744907	968154	1143842	1143842	93	gov	79	W: AP	Estimate of 80 percent assigned by working group.  Nationally reported data may overestimate coverage due to an underestimate of size of the target population.   Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2000	82	82	1	83	83	83	770787	1101294	1168768	1168768	83	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2001	83	83	1	92	92	92	918566	1128104	1197462	1197462	92	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2002	85	85	1	96	96	96	1174514	1227551	1221495	1221495	96	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2003	87	87	1	96	96	96	1155037	1203000	1244217	1244217	96	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2004	88	88	1	100	100	100	1280066	1275662	1270682	1270682	100	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Survey results ignored. Sample size 232 less than 300.   Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2005	90	90	1	93	92	92	1225884	1319569	1288922	1288922	92	gov	90	W: AP	Estimate of 90 percent assigned by working group.  Data Quality Self Assessment identified significant reporting problems. Nationally reported data may overestimate coverage due to an underestimate of size of the target population.   Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2006	83	83	1	85	85	85	1143110	1343877	1309017	1309017	85	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2007	87	87	1	89	89	89	1225349	1369994	1327782	1327782	89	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2008	86	86	1	86	86	86	1229936	1435246	1344132	1344132	86	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2009	90	90	1	90	90	90	1328228	1473474	1371749	1371749	90	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2010	86	86	1	86	86	86	1320165	1541558	1396863	1396863	86	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: S-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2011	97	97	1	86	86	86	1367582	1597580	1416842	1416842	86	gov	97	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 97 percent based on 1 survey(s).     Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2012	95	95	1	82	82	82	1349713		1434633	1434633	82	gov		W-I:	Estimate informed by interpolation between 2011 and 2014 levels.  Estimate based on interpolation survey to survey.   Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2013	93	93	1	94	94	94	1608116	1706689	1448034	1448034	86	interpolated		W-I:	Estimate informed by interpolation between 2011 and 2014 levels.  Estimate based on interpolation survey to survey. Reported data excluded.  A national web based health management information system was implemented in all districts. A DQS conducted in 2013 suggests problems in reporting and monitoring and shows that data were being over reported. The programme plans to address this and other monitoring issues during 2014.  Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2014	91	91	1	90	90	90	1580461	1757890	1461116	1461116	91	interpolated	95	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Reported data excluded.  Implementation of the Uganda 2012-14 EPI revitalization plan resulted in marked increase in administrative coverage and the number of children vaccinated between 2012 and 2014. It is, however, unclear whether these rapid increases represent true gains or are an artifact of reported activity around improved data recording and monitoring.  Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2015	95	95	1	95	95	95	1652627	1745707	1478913	1478913	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 2 survey(s).    Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2016	94	94	1	94	94	94	1681583	1786875	1497776	1497776	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2017	89	89	2	85	85	85	1561704	1827179	1537283	1537283	85	gov		W:	 Programme reports a 2-month vaccine stockout.   GoC=Assigned by working group.  Consistency with information available in neighbouring years.	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2018	88	88	1	88	96	88	1650489	1882920	1579525	1579525	88	admin		R:	Estimate informed by reported administrative data.   Reported official estimates are based on 2016 DHS survey results.  Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2019	88	88	1	88	94	88	1725863	1954937	1616222	1616222	88	admin		R:	Estimate informed by reported administrative data.   Reported official estimates are derived from the 2017 Uganda National Immunization Survey. For vaccines not included in the survey, administrative data are used. Reported adjustments from administrative data are inconsistent across antigens. WHO and UNICEF encourage a comprehensive review and revision of the historical time-series of reported coverage data.  Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2020	91	91	1	91	91	91	1833793	2016805	1653818	1653818	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2021	83	83	1	83	83	83	1726775	2076216	1686795	1686795	83	gov		R:	Estimate informed by reported data.  Programme reports one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	bcg	2022	82		1	82	82	82	1764862	2141488	1713605	1713605	82	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	1997	79	79	2						1096039	1096039	72	extrapolated	78	W: AP	Estimate of 79 percent assigned by working group. Legacy estimate.   GoC=S+	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	1998	79	79	2						1111927	1111927	72	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	1999	78	78	2						1143842	1143842	72	extrapolated	77	W: AP	Estimate of 78 percent assigned by working group.  Nationally reported data may overestimate coverage due to an underestimate of size of the target population.   GoC=S+	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	2000	80	80	1	72	72	72	719732	994469	1168768	1168768	72	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	2001	82	82	1	82	82	82	841556	1028354	1197462	1197462	82	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	2002	84	84	1	91	91	91	1047555	1153898	1221495	1221495	91	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	2003	86	86	1	96	96	96	1053821	1093481	1244217	1244217	96	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.  Shortage of DTP-HepB-Hib combination vaccine. DTP trivalent vaccine available.  Estimate challenged by: R-	
Uganda	Wed Sep 06 19:09:58 2023	uga	dtp1	2004	88	88	1	101	100	100	1146716	1130999	1270682	1270682	100	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Survey results ignored. Sample size 232 less than 300.   Estimate challenged by: R-	
