Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	1997	97	97	2		97	97			443015	443015	97	gov		R: AP	Legacy estimate.   GoC=R+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	1998	97	97	2		97	97			418883	418883	97	gov		R:	Estimate informed by reported data.    GoC=R+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	1999	99	99	2	96	99	99	368368	382463	389461	389461	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2000	98	98	2	98	98	98	379279	385079	383403	383403	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2001	98	98	2	98	98	98	361541	368670	377465	377465	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2002	98	98	2	98	98	98	375916	382192	391643	391643	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2003	98	98	2	98	98	98	387066	394490	409817	409817	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2004	98	98	2	96	98	98	411286	427259	427185	427185	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2005	96	96	2	96	96	96	410212	426085	430819	430819	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2006	97	97	2	97	97	97	444441	460368	459408	459408	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2007	98	98	2	98		98	457632	464602	474804	474804	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2008	95	95	2	96	95	95	460158	482169	508773	508773	95	gov		R:	Estimate informed by reported data.   A 2011 external review of Ukraineÿs National Immunization Programme reports that programme performance in Ukraine begin to decline in previous years due to vaccine stockouts, excessive medicalization of vaccine delivery, and the loss in public confidence in immunization.  GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2009	94	94	1						515556	515556	94	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2010	92	92	2	92	92	92	453832	495992	499466	499466	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2011	90	90	2	90	90	90	446555	496516	507397	507397	90	gov		R:	Estimate informed by reported data.  Ukraine Multiple Indicator Cluster Survey 2012 results ignored by working group.  Survey results for children aged 18-29 months reflect late vaccination. Survey coverage by 12 months support reported coverage levels.  GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2012	95	95	2	95	95	95	481611	506620	517911	517911	95	gov		R: AP	 Estimate based on reported BCG coverage for 2012.   GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2013	95	95	1						506446	506446	76	interpolated		W: AP	Estimate of 95 percent assigned by working group.  Estimate based on reported BCG coverage for 2012.   GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2014	39	39	1						494253	494253	58	interpolated		W: AP	Estimate of 39 percent assigned by working group.  Estimate based on reported BCG coverage for 2015.  Reduced coverage may be explained by a combination of vaccine shortages and an erosion in public confidence in vaccination, coinciding with civil unrest.  GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2015	39	39	2	39	39	39	183036	465893	482958	482958	39	gov		R: AP	 Estimate based on reported BCG coverage for 2015.  Programme reports 5-month stockout at the national level.  GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2016	75	75	2	75	75	75	310209	411747	459407	459407	75	gov		R:	Estimate informed by reported data.  Programme reports 9 month national stockout..  GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2017	84	84	2	84	84	84	335372	400103	419297	419297	84	gov		R:	Estimate informed by reported data.  Programme recovering from vaccine shortages..  GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2018	90	90	1	90	90	90	302457	335874	385479	385479	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2019	84	84	2	89	84	84	281594	317920	353538	353538	84	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2020	93	93	1	89	93	93	270067	304140	338972	338972	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2021	86	86	1	82	86	86	233658	285671	336096	336096	86	gov		R:	Estimate informed by reported data.  Programme reports a one month vaccine stockout.  Estimate challenged by: D-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	bcg	2022	71		1	71	71	71	179002	252275	329618	329618	71	gov		R:	Estimate informed by reported data.  Programme reports one month vaccine stockout at national and subnational level. Declines in reported coverage reflect disruptions to immunization service and primary healthcare delivery systems due to intense hostilities which began in February 2022. Programme also notes an accelerated decline in reported target population due in part to population displacement in conflict-affected areas.  Estimate challenged by: D-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	1997	99	99	1						443015	443015	96	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	1998	98	98	1						418883	418883	96	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.    GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	1999	99	99	1						389461	389461	96	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	2000	99	99	1						383403	383403	96	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	2001	99	99	1	96	96	96	359544	372771	377465	377465	96	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	2002	99	99	1	97	97	97	354388	365838	391643	391643	97	gov		C:	Reported data calibrated to 2001 and 2012 levels.    Estimate challenged by: R-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	2003	99	99	1						409817	409817	97	interpolated		C:	Reported data calibrated to 2001 and 2012 levels.    GoC=No accepted empirical data	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	2004	99	99	1	96		96	407669	423233	427185	427185	96	admin		C:	Reported data calibrated to 2001 and 2012 levels.    Estimate challenged by: D-R-	
Ukraine	Wed Sep 06 19:10:16 2023	ukr	dtp1	2005	99	99	1	95	95	95	402506	421826	430819	430819	95	gov		C:	Reported data calibrated to 2001 and 2012 levels.    Estimate challenged by: D-R-	
