Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	1997	99	99	2		99	99			55406	55406	99	gov		R: AP	Legacy estimate.   GoC=R+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	1998	99	99	2		99	99			53997	53997	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	1999	99	99	2	93	99	99			53211	53211	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2000	99	99	2	99	99	99	55720	56281	51993	51993	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2001	99	99	2	100		100	54592	54881	51342	51342	100	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2002	99	99	2	99	99	99			51531	51531	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2003	99	99	2	99	99	99	52882	53256	50454	50454	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2004	99	99	2	99	99	99	51499	52257	50074	50074	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2005	99	99	2	100	100	100	51379	51603	50231	50231	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2006	99	99	2	99	99	99	47819	48103	49387	49387	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2007	99	99	2	99	99	99	48005	48328	48735	48735	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2008	99	99	2	99	99	99	47336	47836	48292	48292	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2009	99	99	2	99	99	99	47336	47836	48015	48015	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2010	99	99	2	99	99	99	46868	47261	47877	47877	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2011	99	99	2	99	99	99	46740	47141	47862	47862	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2012	99	99	2	100	99	99		46720	47904	47904	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2013	98	98	2	98	98	98	49021	49928	48044	48044	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2014	99	99	2	98	99	99	48236	49266	47796	47796	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2015	98	98	2	98	98	98	47247	48384	48408	48408	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2016	98	98	2	98	98	98	47743	48718	46580	46580	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2017	98	98	1						43050	43050	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2018	98	98	2	98	98	98	39439	40120	39773	39773	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2019	99	99	2	99	99	99	37137	37468	37107	37107	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2020	99	99	2	100	100	100	35699	35866	35457	35457	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2021	99	99	2	99	99	99	34153	34603	35892	35892	99	gov		R:	Estimate informed by reported data.  Programme highlights declines in fertility. Reported numerator and denominator values have declined since 2018. It is unclear whether the decline reflects actual changes in population dynamics and programme performance or is an artefact of a transition to a new registry and challenges with incomplete registry data.  GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	bcg	2022	97		2	97	97	97	31642	32492	35668	35668	97	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Uruguay	Wed Sep 06 19:10:41 2023	ury	dtp1	1997	97	97	1						55406	55406	92	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Uruguay	Wed Sep 06 19:10:41 2023	ury	dtp1	1998	95	95	1						53997	53997	92	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Uruguay	Wed Sep 06 19:10:41 2023	ury	dtp1	1999	94	94	1						53211	53211	92	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
