Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	1997	98	98	1						3888133	3888133	100	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	1998	98	98	1						3945474	3945474	100	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	1999	99	99	1						3981083	3981083	100	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2000	99	99	1		100	100			4074588	4074588	100	gov		W: AP	Estimate of 99 percent assigned by working group.  Estimate is based on reported data.   Estimate challenged by: R-	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2001	98	98	1						4047723	4047723	99	interpolated		C:	Reported data calibrated to 2000 and 2002 levels.    GoC=No accepted empirical data	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2002	97	97	2		97	97			4044209	4044209	97	gov		R: AP	 Estimate is based on reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2003	99	99	2		99	99			4103255	4103255	99	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2004	99	99	2		99	99			4127653	4127653	99	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2005	99	99	2		99	99			4165894	4165894	99	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2006	99	99	2		99	99			4277082	4277082	99	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2007	99	99	2		99	99			4324121	4324121	99	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2008	99	99	2		99	99			4264295	4264295	99	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2009	98	98	2		98	98			4150728	4150728	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2010	98	98	2		98	98			4036757	4036757	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2011	98	98	2		98	98			3986301	3986301	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2012	97	97	2		97	97			3982539	3982539	97	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2013	98	98	2		98	98			3966458	3966458	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2014	98	98	2		98	98			4003811	4003811	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2015	98	98	2		98	98			3995991	3995991	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2016	98	98	2		98	98			3957371	3957371	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2017	97	97	2		97	97			3869955	3869955	97	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2018	97	97	2		97	97			3801511	3801511	97	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2019	97	97	2		97	97			3756830	3756830	97	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children 19-35 months of age. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2019 reflect estimates obtained from children born in 2015 and 2016. Kaplan Meier analysis was used to estimate vaccination coverage by age 24 months, except for rotavirus and Hepatitis A. This approach to data analysis represents a change from prior reporting, which was done by survey year.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2020	97	97	2		97	97			3670490	3670490	97	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2020 reflect estimates of coverage by age 24 months, except for rotavirus that it is by eight months, obtained from children born in 2016 and 2017. See: MMWR October 23, 2020 69 pp. 1505ÿ1511. Reported data for 2020 does not include disruptions related to COVID-19. Thus, WUENIC estimates for 2020 are likely an overestimate. Several reports from various jurisdictions in the United States suggest disruptions to the immunization program. For example, for 10 jurisdictions, declines were close to 15 percent for some vaccines in March-May 2020 compared to the same period 2018-2019. MMWR June 11, 2021 70 pp. 840ÿ845.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2021	97	97	2		97	97			3722822	3722822	97	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children 19-35 months of age. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2021 reflect estimates obtained from children born in 2017 and 2018. Kaplan Meier analysis was used to estimate vaccination coverage by age 24 months, except for rotavirus and Hepatitis A. See: MMWR January, 2023.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp1	2022	98		2		98	98			3726867	3726867	98	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children 19-35 months of age. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2022 reflect estimates obtained from children born in 2018 and 2019. Kaplan Meier analysis was used to estimate vaccination coverage by age 24 months, except for rotavirus and Hepatitis A.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	1997	96	96	2		96	96			3888133	3888133	96	gov		R: AP	Legacy estimate.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	1998	96	96	2		96	96			3945474	3945474	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	1999	96	96	2		96	96			3981083	3981083	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2000	94	94	2		94	94			4074588	4074588	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2001	94	94	2		94	94			4047723	4047723	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2002	94	94	2		94	94			4044209	4044209	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2003	96	96	2		96	96			4103255	4103255	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2004	96	96	2		96	96			4127653	4127653	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2005	96	96	2		96	96			4165894	4165894	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2006	96	96	2		96	96			4277082	4277082	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2007	96	96	2		96	96			4324121	4324121	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2008	96	96	2		96	96			4264295	4264295	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2009	95	95	2		95	95			4150728	4150728	95	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2010	95	95	2		95	95			4036757	4036757	95	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2011	96	96	2		96	96			3986301	3986301	96	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2012	94	94	2		94	94			3982539	3982539	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2013	94	94	2		94	94			3966458	3966458	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2014	95	95	2		95	95			4003811	4003811	95	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2015	95	95	2		95	95			3995991	3995991	95	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2016	95	95	2		95	95			3957371	3957371	95	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2017	94	94	2		94	94			3869955	3869955	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2018	94	94	2		94	94			3801511	3801511	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2019	94	94	2		94	94			3756830	3756830	94	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children 19-35 months of age. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2019 reflect estimates obtained from children born in 2015 and 2016. Kaplan Meier analysis was used to estimate vaccination coverage by age 24 months, except for rotavirus and Hepatitis A. This approach to data analysis represents a change from prior reporting, which was done by survey year.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2020	93	93	2		93	93			3670490	3670490	93	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2020 reflect estimates of coverage by age 24 months, except for rotavirus that it is by eight months, obtained from children born in 2016 and 2017. See: MMWR October 23, 2020 69 pp. 1505ÿ1511. Reported data for 2020 does not include disruptions related to COVID-19. Thus, WUENIC estimates for 2020 are likely an overestimate. Several reports from various jurisdictions in the United States suggest disruptions to the immunization program. For example, for 10 jurisdictions, declines were close to 15 percent for some vaccines in March-May 2020 compared to the same period 2018-2019. MMWR June 11, 2021 70 pp. 840ÿ845.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2021	94	93	2		94	94			3722822	3722822	94	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children 19-35 months of age. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2021 reflect estimates obtained from children born in 2017 and 2018. Kaplan Meier analysis was used to estimate vaccination coverage by age 24 months, except for rotavirus and Hepatitis A. See: MMWR January, 2023. Estimate of 94 percent changed from previous revision value of 93 percent.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	dtp3	2022	94		2		94	94			3726867	3726867	94	gov		R:	Estimate informed by reported data.  Reported coverage is derived from the National Immunization Survey-Child, an annual survey of children 19-35 months of age. The NIS-Child is a list-assisted random digit-dialled telephone survey followed by mailed survey to immunization providers. Reported data for 2022 reflect estimates obtained from children born in 2018 and 2019. Kaplan Meier analysis was used to estimate vaccination coverage by age 24 months, except for rotavirus and Hepatitis A.  GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	hepb3	1997	84	84	2		84	84			3888133	3888133	84	gov		R: AP	Legacy estimate.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	hepb3	1998	87	87	2		87	87			3945474	3945474	87	gov		R:	Estimate informed by reported data.   GoC=R+	
United States of America	Wed Sep 06 19:10:50 2023	usa	hepb3	1999	88	88	2		88	88			3981083	3981083	88	gov		R:	Estimate informed by reported data.   GoC=R+	
