Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	1997	97	97	2	97	97	97			621977	621977	97	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	1998	97	97	2	97	97	97			586185	586185	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	1999	98	98	2	98	98	98			564733	564733	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2000	98	98	3	98	98	98	526185	526185	554015	554015	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2001	98	98	1	98	98	98	477700	488159	550458	550458	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2002	99	99	2	99	99	99	519795	529929	548757	548757	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2003	99	99	3	99	99	99	495883	504254	536210	536210	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2004	99	99	3	99	99	99	513915	520292	544459	544459	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2005	93	93	3	93	93	93	493009	528166	550525	550525	93	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2006	99	99	3	99	99	99	532275	541514	570624	570624	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2007	99	99	3	99	99	99	589527	593508	605190	605190	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2008	96	96	1	96	96	96	6153986	637345	635702	635702	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2009	99	99	2	99	99	99	636696	643198	651193	651193	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2010	99	99	2	99		99	619806	625335	648000	648000	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2011	99	99	2	100	100	100	612282	614472	644737	644737	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2012	99	99	2	100	100	100	613335	615206	654496	654496	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2013	99	99	2	100	100	100	648318	648861	680263	680263	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2014	99	99	2	100	100	100	691269	691852	706753	706753	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2015	99	99	2	100	100	100	718177	718834	723124	723124	100	gov		R:	Estimate informed by reported data.   Programme reports five month national level stockout.  GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2016	99	99	3	100	100	100	713662	714761	726814	726814	100	gov		R:	Estimate informed by reported data.   Programme reports two months vaccine stockout at national level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2017	99	99	3	100	100	100	683925	685058	729145	729145	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2018	96	96	3	96	96	96	740708	768316	779886	779886	96	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).   Programme reports one month vaccine stockout at national and district level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2019	99	99	3	100	99	99	793269	795627	802857	802857	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2020	99	99	3	100	100	100	831351	834521	832060	832060	100	gov		R:	Estimate informed by reported data.  Programme reports three months vaccine stockout at national level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2021	99	99	1	99	99	99	881085	889564	802875	802875	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	bcg	2022	99		1	100	100	100	912061	915961	776815	776815	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	1997	98	98	2						621977	621977	97	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	1998	99	99	2						586185	586185	97	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	1999	99	99	2						564733	564733	97	extrapolated	98	RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2000	99	99	1	97		97	499055	516086	554015	554015	97	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2001	99	99	1	97	97	97	467319	480922	550458	550458	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: D-R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2002	99	99	1	97	94	94	512663	520475	548757	548757	94	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2003	99	99	3	99	99	99	495909	499446	536210	536210	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2004	99	99	3	99	99	99	511430	516075	544459	544459	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2005	99	99	3	99	99	99	516780	522468	550525	550525	99	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2006	96	96	3	96	96	96	518741	535544	570624	570624	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2007	98	98	1	94	94	94	549971	583733	605190	605190	94	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2008	99	99	1	96	96	96	600016	624360	635702	635702	96	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2009	99	99	1	97	97	97	585964	603461	651193	651193	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2010	99	99	2	99	99	99	618467	618880	648000	648000	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2011	99	99	2	99	99	99	592464	600304	644737	644737	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2012	99	99	2	100	100	100	599979	603156	654496	654496	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2013	99	99	2	100	100	100	627854	630029	680263	680263	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2014	99	99	2	100	100	100	665689	667297	706753	706753	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2015	99	99	2	99	99	99	680246	689430	723124	723124	99	gov		R:	Estimate informed by reported data.   Programme reports two months national level stockout.  GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2016	99	99	3	100	100	100	680627	684235	726814	726814	100	gov		R:	Estimate informed by reported data.   Programme reports four months vaccine stockout at national level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2017	99	99	3	100	100	100	666528	669889	729145	729145	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2018	99	99	1	97	97	97	694531	714713	779886	779886	97	gov	98	RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2019	96	96	3	96	96	96	733828	766029	802857	802857	96	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2020	96	96	3	96	96	96	767612	803700	832060	832060	96	gov		R:	Estimate informed by reported data.  Programme reports five month vaccine stockout at the national level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2021	99	99	1	97	97	97	774630	795737	802875	802875	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp1	2022	99		1	99	99	99	858718	865550	776815	776815	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	1997	96	96	2	96	96	96			621977	621977	96	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	1998	99	99	2		99	99			586185	586185	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	1999	99	99	1	99	99	99	502421	509419	564733	564733	99	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).  Multiple Indicator Cluster Survey, Uzbekistan 2000 card or history results of 96 percent modifed for recall bias to 96 percent based on 1st dose card or history coverage of 98 percent, 1st dose card only coverage of 95 percent and 3rd dose card only coverage of 93 percent.   Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2000	99	99	1	99	99	99	492862	516086	554015	554015	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2001	99	99	1	99	99	99	465276	480343	550458	550458	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2002	99	99	2	99	99	99	508301	520475	548757	548757	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2003	98	98	3	98	98	98	490953	499446	536210	536210	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2004	99	99	3	99	99	99	510406	516075	544459	544459	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2005	99	99	3	99	99	99	516875	522468	550525	550525	99	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2006	96	96	3	96	96	96	516387	535544	570624	570624	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2007	96	96	3	96	96	96	553031	583733	605190	605190	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2008	98	98	2	98	98	98	612273	624360	635702	635702	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2009	98	98	1	98	98	98	539985	603461	651193	651193	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2010	99	99	2	98	99	99	613167	618880	648000	648000	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2011	99	99	2	99	99	99	596086	600304	644737	644737	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2012	99	99	2	99	99	99	598360	603156	654496	654496	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2013	99	99	2	99	99	99	622981	630029	680263	680263	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2014	99	99	2	100	100	100	666287	667297	706753	706753	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2015	99	99	2	99	99	99	679496	689430	723124	723124	99	gov		R:	Estimate informed by reported data.   Programme reports two months national level stockout.  GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2016	99	99	3	100	100	100	665309	666147	726814	726814	100	gov		R:	Estimate informed by reported data.   Programme reports four months vaccine stockout at national level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2017	99	99	3	100	100	100	713696	715344	729145	729145	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2018	98	98	3	98	98	98	699853	714713	779886	779886	98	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Uzbekistan Multiple Indicator Cluster Survey 2021 card or history results of 96 percent modifed for recall bias to 95 percent based on 1st dose card or history coverage of 98 percent, 1st dose card only coverage of 95 percent and 3rd dose card only coverage of 93 percent.   GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2019	96	96	3	96	96	96	732708	766029	802857	802857	96	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Uzbekistan Multiple Indicator Cluster Survey 2021 card or history results of 96 percent modifed for recall bias to 95 percent based on 1st dose card or history coverage of 99 percent, 1st dose card only coverage of 95 percent and 3rd dose card only coverage of 92 percent.   GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2020	95	95	3	95	95	95	765558	803700	832060	832060	95	gov		R:	Estimate informed by reported data.  Programme reports five month vaccine stockout at the national level.  GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2021	98	98	3	98	98	98	774208	790698	802875	802875	98	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	dtp3	2022	99		1	99	99	99	860381	867403	776815	776815	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2002	62	62	2	62	62	62	322751	520475	548757	548757	62	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2003	99	99	2		99	99			536210	536210	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2004	99	99	3	99	99	99	512085	516075	544459	544459	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2005	99	99	3	99	99	99	519094	522468	550525	550525	99	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2006	98	98	3	98	98	98	527525	535544	570624	570624	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2007	99	99	3	99	99	99	571190	583733	605190	605190	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Uzbekistan	Wed Sep 06 19:10:59 2023	uzb	hepb3	2008	91	91	2	91	91	91	568063	624360	635702	635702	91	gov		R:	Estimate informed by reported data.   Decline attributed to two months vaccine shortage.  GoC=R+ D+	
