Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	1997	98	98	2		98	98			2399	2399	98	gov		R: AP	Legacy estimate.   GoC=R+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	1998	99	99	2		100	100			2327	2327	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	1999	99	99	2		100	100			2286	2286	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2000	99	99	2	114	100	100	2426	2124	2245	2245	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2001	99	99	1	100	100	100	1	2114	2185	2185	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2002	91	91	2	91		91			2095	2095	91	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2003	87	87	2		87	87	1729	1948	2014	2014	87	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2004	99	99	2	100	100	100	1772	1743	1943	1943	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2005	95	95	2	95	95	95	1664	1755	1900	1900	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2006	99	99	2	100	100	100	1784	1784	1868	1868	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2007	93	93	2	103	103	103	1756	1700	1867	1867	93	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 103 percent greater than 100 percent.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2008	87	87	2	104	104	104	1805	1740	1895	1895	87	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2009	80	80	2	80	80	80	1492	1874	1894	1894	80	gov		R:	Estimate informed by reported data.  BCG vaccine supplied in 20 dose vials. Health centres vaccinating daily were reluctant to dispose of more than 10 doses per day leading to suboptimal levels of coverage.  GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2010	90	90	2	90	90	90	1718	1899	1856	1856	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Vincent and The Grenadines	Wed Sep 06 19:11:07 2023	vct	bcg	2011	99	99	2	100	100	100	1720	1714	1805	1805	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
