Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	1997	89	89	2	89	89	89	480214	539063	575771	575771	89	gov		R: AP	Legacy estimate.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	1998	82	82	2	82	82	82	461113	561624	578179	578179	82	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	1999	98	98	1	98	98	98	510582	523536	581742	581742	98	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2000	99	99	2	99	99	99	523952	527549	583868	583868	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2001	93	93	2	93	93	93	500127	535965	585491	585491	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2002	90	90	2	90	90	90	499067	555390	587961	587961	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2003	91	91	1	91	91	91	459922	506527	589684	589684	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2004	96	96	1	96	96	96	493643	511916	592327	592327	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2005	95	95	2	95	95	95	510881	538750	595864	595864	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2006	83	83	2	83	83	83	489298	587407	598207	598207	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2007	82	82	2	82	82	82	484502	588160	598922	598922	82	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2008	90	90	2	90	90	90	530095	588853	599178	599178	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2009	91	91	2	91	91	91	534441	589584	598737	598737	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2010	92	92	2	92	92	92	545012	590282	597976	597976	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2011	95	95	2	95	95	95	562163	588752	596017	596017	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2012	96	96	2	96	96	96	561454	587180	594156	594156	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2013	95	95	2	95	95	95	557765	585772	592164	592164	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2014	97	97	1	82	95	82	478234	584234	589574	589574	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 95 percent to 82 percent with increase to 99 percent.  Reported official estimates are inconsistent with other vaccines and unexplained adjustment from the administrative coverage.  Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2015	99	99	2	99	99	99	540247	543610	586927	586927	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2016	97	97	1	120	120	120	650826	541833	583617	583617	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 120 percent greater than 100 percent. Reported data excluded due to an increase from 99 percent to 120 percent with decrease 105 percent.   Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2017	94	94	2	105	105	105	569051	539961	573013	573013	94	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 105 percent greater than 100 percent.  Programme reports four months stockout of syringes. Programme reports six month vaccine stockout at national level.  GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2018	92	92	2	92	92	92	497322	538026	543836	543836	92	gov		R:	Estimate informed by reported data.  Decline of reported data likely reflects disruption of health services due to economic and humanitarian crisis. Programme reports stockout of vaccine delivery supplies (syringes).  GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2019	91	91	2	91	91	91	486678	536097	497361	497361	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2020	82	82	1	82	82	82	438856	534144	466065	466065	82	gov		R:	Estimate informed by reported data.  Reported data reflects stresses affecting the health system. Programme reports an eight month vaccine stockout of disposable syringes, five months for reconstitution syringes and of unknown duration for AD syringes at national and subnational levels.  Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2021	68	68	1	68	68	68	360149	532191	451855	451855	68	gov		R:	Estimate informed by reported data.  Intensification activities were carried out to address declines in routine immunization, however, due to the pandemic, the objective was not achieved..  Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	bcg	2022	68		1						438384	438384	68	extrapolated		R:	Estimate based on extrapolation from data reported by national government.   No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=No accepted empirical data	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	1997	82	82	1	86	86	86			575771	575771	86	gov		W: AP	Estimate of 82 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	1998	90	90	1	52	52	52			578179	578179	93	interpolated		C:	Reported data calibrated to 1997 and 2000 levels.  Reported data excluded due to decline in reported coverage from 86 percent to 52 percent with increase to 100 percent.   Estimate challenged by: R-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	1999	99	99	1	100	100	100			581742	581742	100	gov		C:	Reported data calibrated to 1997 and 2000 levels.  Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	2000	92	92	2	92	92	92	486096	527549	583868	583868	92	gov		R: AP	 Estimate is based on the reported data.   GoC=R+ D+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	2001	82	82	1	82	82	82	377250	535965	585491	585491	82	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	2002	79	79	2	79	79	79			587961	587961	79	gov		R:	Estimate informed by reported data.   GoC=R+	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	2003	88	88	1	88	88	88	442801	519864	589684	589684	88	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Venezuela (Bolivarian Republic of)	Wed Sep 06 19:11:21 2023	ven	dtp1	2004	93	93	2	110	110	110	555814	511916	592327	592327	93	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 110 percent greater than 100 percent. Reported data excluded due to an increase from 88 percent to 110 percent with decrease 98 percent.   GoC=R+ D+	
