Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	1997	96	96	2	96	96	96			1472486	1472486	96	gov	96	R: AP	Legacy estimate.   GoC=R+ S+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	1998	93	93	2	93	93	93			1427801	1427801	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	1999	95	95	1	95	95	95	1517423	1598118	1412622	1412622	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2000	98	98	2	98	98	98	1485603	1577046	1427103	1427103	98	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+ D+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2001	97	97	2	97	97	97	1437450	1486472	1435805	1435805	97	gov		R:	Estimate informed by reported data.  Viet Nam Demographic and Health Survey 2002, 2003 results ignored by working group. .  GoC=R+ D+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2002	97	97	2	97	97	97	1417032	1465191	1464671	1464671	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2003	97	97	3	97	97	97	1462178	1500113	1458029	1458029	97	gov		R:	Estimate informed by reported data.   HepB vaccine introduced in 2003 Vaccine presentation is HepB .  GoC=R+ S+ D+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2004	96	96	3	96	96	96	1456280	1523465	1471700	1471700	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2005	95	95	3	95		95	1465055	1545475	1453227	1453227	95	admin	95	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+ D+	
Viet Nam	Wed Sep 06 19:11:33 2023	vnm	bcg	2006	95	95	3	95		95	1482738	1568657	1427719	1427719	95	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
