Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	1997	78	78	2		78	78			6130	6130	78	gov		R: AP	Legacy estimate.   GoC=R+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	1998	78	78	1		99	99			6194	6194	99	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	1999	79	79	1	99	99	99			6257	6257	99	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2000	79	79	1	99	99	99			6370	6370	99	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2001	79	79	1	58	90	90	6640	4502	6521	6521	90	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2002	80	80	1				2783		6606	6606	77	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2003	80	80	1	64	63	63	3568	5578	6711	6711	63	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2004	80	80	2						6825	6825	64	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=S+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2005	81	81	1	65		65	4517	6960	6941	6941	65	admin		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2006	81	81	1		92	92		32672	7110	7110	92	gov	81	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 81 percent based on 1 survey(s).     Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2007	83	83	1	82	82	82	5662	6915	7345	7345	92	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2008	85	85	1	97	97	97	2724	2820	7607	7607	93	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2009	86	86	1	89	89	89	6060	6804	7871	7871	93	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2010	88	88	1	97	90	90	6812	7003	8131	8131	94	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2011	90	90	1	93		93	7174	7678	8381	8381	94	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2012	92	92	1	103	103	103	8171	7908	8573	8573	94	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Vanuatu Demographic and Health Survey 2013 results ignored by working group.  Not consistent with trends in reported data or 2016 survey.Reported data excluded.  Estimate follows survey result.Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2013	93	93	1	89	89	89	7190	8115	8735	8735	95	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2014	95	95	3	97	95	95	7818	8096	8883	8883	95	gov	95	R: AP	 Survey report does not provide percent cards seen.   GoC=R+ S+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2015	95	95	1	91	95	95	7518	8283	8976	8976	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2016	94	94	1	92	94	94	7602	8308	9079	9079	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2017	95	95	2	99	95	95	8867	8996	9145	9145	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2018	94	94	2	95	94	94	8520	8998	9190	9190	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2019	97	97	2	96	97	97	8520	8885	9261	9261	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2020	77	77	2	77		77	7312	9456	9336	9336	77	admin		R:	Estimate informed by reported administrative data.   Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2021	76	76	2		76	76			9398	9398	76	gov		R:	Estimate informed by reported data.   GoC=R+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	bcg	2022	81		2	81	81	81	7347	9042	9466	9466	81	gov		R:	Estimate informed by reported data.  Reported administrative coverage reflects incomplete reporting (reports received from 59 percent of expected subnational units). WHO and UNICEF are aware of an ongoing 2023 MICS survey and await the final results.  GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	1997	89	89	1						6130	6130	58	extrapolated		W: AP	Estimate of 89 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	1998	88	88	1						6194	6194	58	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=No accepted empirical data	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	1999	87	87	1						6257	6257	58	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=No accepted empirical data	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2000	85	85	1						6370	6370	58	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=No accepted empirical data	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2001	84	84	1	58	58	58		4502	6521	6521	58	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2002	83	83	1				3986		6606	6606	62	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2003	82	82	1					5578	6711	6711	67	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=No accepted empirical data	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2004	80	80	2						6825	6825	71	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=S+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2005	79	79	1	75		75	5201	6960	6941	6941	75	admin		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2006	78	78	1		90	90		32672	7110	7110	77	interpolated	78	W: AP	Estimate of 78 percent assigned by working group.  Estimate follows survey result. Reported data excluded due to an increase from 75 percent to 90 percent with decrease 79 percent.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2007	80	80	1	63	79	79	4349	6915	7345	7345	79	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2008	82	82	1				4030	2820	7607	7607	82	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.    Estimate challenged by: D-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2009	84	84	1	94	94	94	6417	6804	7871	7871	84	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2010	86	86	1	96	95	95	6747	6828	8131	8131	86	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2011	88	88	1	102		102	7597	7471	8381	8381	88	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.Reported data excluded because 102 percent greater than 100 percent.  Vaccine presentation changed to DTP-HepB-Hib.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2012	90	90	1	103	103	103	7937	7736	8573	8573	91	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Vanuatu Demographic and Health Survey 2013 results ignored by working group.  Not consistent with trends in reported data or 2016 survey.Reported data excluded.  Estimate follows survey result.Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2013	92	92	1	87	87	87	7044	7929	8735	8735	93	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2014	94	94	1	101	95	95	8147	7869	8883	8883	95	gov	94	W: AP	Estimate of 94 percent assigned by working group.  Survey report does not provide percent cards seen.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2015	90	90	3	91	90	90	7337	8051	8976	8976	90	gov		R: AP	 Estimate based on official reported coverage.   GoC=R+ S+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2016	94	94	3	94	94	94	7843	8281	9079	9079	94	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2017	92	92	2	104	92	92	9105	8774	9145	9145	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2018	94	94	2	97	94	94	8691	8744	9190	9190	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2019	96	96	2	100	96	96	8691	8691	9261	9261	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2020	84	84	2	84		84	7982	9456	9336	9336	84	admin		R:	Estimate informed by reported administrative data.   Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2021	71	71	2		71	71			9398	9398	71	gov		R:	Estimate informed by reported data.  Decline in reported coverage is unexplained.  GoC=R+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp1	2022	83		2	83	83	83	7280	8852	9466	9466	83	gov		R:	Estimate informed by reported data.  Reported administrative coverage reflects incomplete reporting (reports received from 59 percent of expected subnational units). WHO and UNICEF are aware of an ongoing 2023 MICS survey and await the final results. Estimate informed by reported coverage consistent with other antigens.  GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	1997	72	72	2		72	72			6130	6130	72	gov		R: AP	Legacy estimate.   GoC=R+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	1998	72	72	1		93	93			6194	6194	93	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	1999	71	71	1	90	90	90			6257	6257	90	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2000	71	71	1	90	90	90			6370	6370	90	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2001	70	70	1	58	93	93	3831	4502	6521	6521	93	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2002	70	70	1	54		54	3870		6606	6606	54	admin		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2003	69	69	1	49	49	49	2759	5578	6711	6711	49	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2004	69	69	2						6825	6825	58	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=S+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2005	68	68	1	66		66	4601	6960	6941	6941	66	admin		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2006	68	68	1		85	85		32672	7110	7110	85	gov	68	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 68 percent based on 1 survey(s).   Vanuatu Multiple Indicator Cluster Survey 2007 card or history results of 63 percent modifed for recall bias to 68 percent based on 1st dose card or history coverage of 78 percent, 1st dose card only coverage of 67 percent and 3rd dose card only coverage of 58 percent.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2007	70	70	1	60	76	76	4149	6915	7345	7345	85	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2008	73	73	1				3504	2820	7607	7607	85	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.    Estimate challenged by: D-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2009	75	75	1	82	82	82	5606	6804	7871	7871	85	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2010	77	77	1	93	93	93	6501	6828	8131	8131	86	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2011	79	79	1	92		92	7038	7471	8381	8381	86	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result. Vaccine presentation changed to DTP-HepB-Hib.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2012	82	82	1	95	95	95	7386	7736	8573	8573	86	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Vanuatu Demographic and Health Survey 2013 results ignored by working group.  Not consistent with trends in reported data or 2016 survey.Vanuatu Demographic and Health Survey 2013 card or history results of 55 percent modifed for recall bias to 64 percent based on 1st dose card or history coverage of 76 percent, 1st dose card only coverage of 56 percent and 3rd dose card only coverage of 47 percent. Reported data excluded.  Estimate follows survey result.  Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2013	84	84	1	75	75	75	6086	7929	8735	8735	86	interpolated		C:	Reported data calibrated to 2006 and 2014 levels.  Reported data excluded.  Estimate follows survey result.Reported data excluded due to decline in reported coverage from 95 percent to 75 percent with increase to 86 percent.   Estimate challenged by: D-R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2014	86	86	3	92	86	86	7416	7869	8883	8883	86	gov	84	R: AP	 Survey report does not provide percent cards seen. Vanuatu Vaccination Coverage Survey 2016 card or history results of 81 percent modifed for recall bias to 84 percent based on 1st dose card or history coverage of 94 percent, 1st dose card only coverage of 58 percent and 3rd dose card only coverage of 52 percent.   GoC=R+ S+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2015	80	80	3	81	80	80	6505	8051	8976	8976	80	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2016	81	81	3	80	81	81	6614	8281	9079	9079	81	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2017	85	85	2	93	85	85	8160	8774	9145	9145	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2018	85	85	2	87	85	85	7867	8744	9190	9190	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2019	90	90	2	91	90	90	7867	8691	9261	9261	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2020	78	78	2	78		78	7406	9456	9336	9336	78	admin		R:	Estimate informed by reported administrative data.   Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2021	62	62	2		62	62			9398	9398	62	gov		R:	Estimate informed by reported data.  Decline in reported coverage is unexplained.  GoC=R+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	dtp3	2022	68		2	68	68	68	5988	8852	9466	9466	68	gov		R:	Estimate informed by reported data.  Reported administrative coverage reflects incomplete reporting (reports received from 59 percent of expected subnational units). WHO and UNICEF are aware of an ongoing 2023 MICS survey and await the final results.  GoC=R+ D+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	hepb3	1997	75	75	2		75	75			6130	6130	75	gov		R: AP	Legacy estimate.   GoC=R+	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	hepb3	1998	73	73	1		75	75			6194	6194	75	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	hepb3	1999	71	71	1	75	75	75			6257	6257	75	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	hepb3	2000	70	70	1	75	75	75			6370	6370	75	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Vanuatu	Wed Sep 06 19:11:41 2023	vut	hepb3	2001	68	68	1	57	69	69	4533	4502	6521	6521	69	gov		W-I:	Estimate informed by interpolation between 1997 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
