Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	1997	99	99	2		99	99			5790	5790	99	gov		R: AP	Legacy estimate.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	1998	99	99	2		100	100			5787	5787	100	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	1999	99	99	1	99	99	99	6435	6436	5767	5767	99	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2000	97	97	2	97	97	97	5857	5871	5752	5752	97	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2001	98	98	2	98	98	98	5052	5158	5708	5708	98	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2002	98	98	2	98		98	5804	5929	5644	5644	98	admin		R:	Estimate informed by reported administrative data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2003	73	73	2	73		73	4481	6111	5611	5611	73	admin		R:	Estimate informed by reported administrative data.   Decline the result of two months vaccine stockout. Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2004	93	93	1	93	93	93	4271	5100	5578	5578	93	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2005	86	86	3	86	86	86	4395	5100	5551	5551	86	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ S+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2006	84	84	3	84	84	84	4285	5100	5526	5526	84	gov		R:	Estimate informed by reported data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ S+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2007	91	91	3	91	91	91	4630	5100	5547	5547	91	gov	84	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 84 percent based on 1 survey(s).   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ S+ D+	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2008	98	98	1	99		99	4966	5000	5667	5667	99	admin		C:	Reported data calibrated to 2007 and 2012 levels.   Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-R-S-	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2009	92	92	1	94	94	94	4996	5322	5803	5803	94	gov		C:	Reported data calibrated to 2007 and 2012 levels.   Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: R-	
Samoa	Wed Sep 06 19:11:58 2023	wsm	bcg	2010	87	87	1	96	91	91	5120	5322	5929	5929	91	gov		C:	Reported data calibrated to 2007 and 2012 levels.   Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: R-	
