Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	1997	54	54	1		46	46			728814	728814	46	gov		W: AP	Estimate of 54 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	1998	66	66	2		66	66			732046	732046	66	gov		R: AP	.   GoC=R+	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	1999	79	79	1	79	79	79	443596	571997	746461	746461	79	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2000	82	82	1	82	82	82	463272	567926	751467	751467	82	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2001	78	78	1	61	61	61	428210	587635	752994	752994	78	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 82 percent to 61 percent with increase to 73 percent.   GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2002	73	73	1	73	73	73	442792	599023	762017	762017	73	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2003	66	66	1	66	66	66	419980	626703	780433	780433	66	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2004	64	64	1	64	64	64	431314	679408	794443	794443	64	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2005	66	66	1	66	66	66	464870	707015	809578	809578	66	gov		R:	Estimate informed by reported data.  Yemen Multiple Indicator Cluster Survey 2006, Final Report results ignored by working group.  Survey results refer to immunizations of children less than one year of age vaccinated between October 2004 to September 2005. The survey results confirm reported coverage of 69 percent for this period.  GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2006	67	67	1	67	67	67	458686	742487	830506	830506	67	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2007	64	64	1	64	64	64	495996	779850	842404	842404	64	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2008	60	60	1	60	60	60	483367	804203	857388	857388	60	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2009	58	58	1	58	58	58	485132	829375	870526	870526	58	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2010	65	65	1	65	65	65	551397	847334	886256	886256	65	gov		R:	Estimate informed by reported data.    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2011	59	59	1	59	59	59	519805	873992	904728	904728	59	gov		R:	Estimate informed by reported data.   Decline in immunization coverage partially due to disruptions in immunization delivery due to the political disturbances and prevailing insecurity.  GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2012	64	64	1	64	64	64	577119	901553	921649	921649	64	gov	68	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 68 percent based on 1 survey(s).    GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2013	71	71	1	71	71	71	656392	929806	939483	939483	71	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2014	73	73	1	73	73	73	704641	959518	956184	956184	73	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2015	47	47	1	47	47	47	466245	989997	968416	968416	47	gov		R:	Estimate informed by reported data.  Programme reports six month vaccine stockout at national level.  GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2016	73	73	1	73	73	73	750674	1021523	976977	976977	73	gov		R:	Estimate informed by reported data.  Estimate reflects recovery from stockout in 2015.  GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2017	66	66	1	66	66	66	696096	1054135	983231	983231	66	gov		R:	Estimate informed by reported data.  Reports suggest larger declines in coverage [El Bcheraoui C, Jumaan AO, Collison ML, Daoud F, Mokdad AH. Health in Yemen: losing ground in war time. Global Health. 2018 Apr 25;14(1):42. doi: 10.1186/s12992-018-03].  GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2018	64	64	1	64	64	64	694669	1087881	995450	995450	64	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  Vaccine-to-vaccine consistency.	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2019	69	69	2	69	69	69	778672	1122781	1003190	1003190	69	gov		R:	Estimate informed by reported data. Disruptions to health services have been reported with about half of the health facilities non-functional but vaccination outreach rounds are being conducted.  GoC=R+ D+	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2020	71	71	2	71	71	71	811556	1145648	1010361	1010361	71	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2021	70	70	1	70	70	70	829428	1179929	1008936	1008936	70	gov		R:	Estimate informed by reported data.  Despite the ongoing humanitarian crisis, reported coverage levels have been sustained. Government indicates that official estimates are derived from the administrative coverage and that vaccination sites continue to send monthly reports to the district.  Estimate challenged by: D-	
Yemen	Wed Sep 06 19:12:06 2023	yem	bcg	2022	73		1	73	73	73	887452	1215240	1008643	1008643	73	gov		R:	Estimate informed by reported data.  Despite the ongoing humanitarian crisis, reported coverage levels have been sustained with an increase in the reported number of children vaccinated in the last four years. Large and disruptive measles and vaccine-derived poliovirus outbreaks are ongoing. WHO and UNICEF are aware of an ongoing MICS survey and await final results.  Estimate challenged by: D-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	1997	65	65	1						728814	728814	84	extrapolated		W: AP	Estimate of 65 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	1998	75	75	1						732046	732046	84	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=No accepted empirical data	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	1999	84	84	2	84	84	84			746461	746461	84	gov		R: AP	 Reported data calibrated to 1997 and 2005 levels.   GoC=R+	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2000	88	88	1	88	88	88			751467	751467	88	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2001	87	87	1	89	89	89			752994	752994	89	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2002	72	72	1	74	74	74	384016	599023	762017	762017	74	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: D-R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2003	77	77	1	81	81	81	506372	626703	780433	780433	81	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: D-R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2004	89	89	1	93	93	93	627619	679408	794443	794443	93	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2005	88	88	1	102	102	102	733550	707015	809578	809578	93	interpolated		C:	Reported data calibrated to 1999 and 2011 levels.  Yemen Multiple Indicator Cluster Survey 2006, Final Report results ignored by working group.  Survey results refer to immunizations of children less than one year of age vaccinated between October 2004 to September 2005.Reported data excluded because 102 percent greater than 100 percent.  DTP-HepB-Hib pentavalent vaccine introduced during April 2005.  Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2006	86	86	1	92	92	92	633500	686949	830506	830506	92	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2007	88	88	1	94	94	94	681180	721517	842404	842404	94	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2008	85	85	1	93	93	93	695583	744049	857388	857388	93	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2009	84	84	1	92	92	92	708534	767338	870526	870526	92	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2010	84	84	1	94	94	94	740011	789760	886256	886256	94	gov		C:	Reported data calibrated to 1999 and 2011 levels.    Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2011	79	79	1	89	89	89	721597	814084	904728	904728	89	gov	79	W: AP	Estimate of 79 percent assigned by working group.  Estimate is based on survey coverage level.  Decline in immunization coverage partially due to disruptions in immunization delivery due to the political disturbances and prevailing insecurity.  Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2012	77	77	1	89	89	89	745257	840296	921649	921649	89	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).     Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2013	82	82	1	94	94	94	818057	866859	939483	939483	94	gov		C:	Reported data calibrated to 2012 levels.   Estimate challenged by: R-	
Yemen	Wed Sep 06 19:12:06 2023	yem	dtp1	2014	82	82	1	94	94	94	837976	894328	956184	956184	94	gov		C:	Reported data calibrated to 2012 levels.   Estimate challenged by: R-	
