Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	1997	97	97	1		95	95			1054866	1054866	95	gov	97	W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	1998	94	94	2						1028046	1028046	96	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   GoC=S+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	1999	92	92	1		97	97			1013752	1013752	97	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2000	89	89	1	93	99	99		1132297	969828	969828	99	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2001	86	86	1	42	87	87	386668	930360	963390	963390	87	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2002	84	84	1	38	94	94	383401	930360	954574	954574	94	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2003	81	81	1	65	97	97	603112	958177	984308	984308	97	gov	81	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 81 percent based on 1 survey(s).     Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2004	78	78	1	68	68	68	860935	1269884	1031997	1031997	93	interpolated		C:	Reported data calibrated to 2003 and 2014 levels.  Reported data excluded due to decline in reported coverage from 97 percent to 68 percent with increase to 89 percent.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2005	76	76	1	89	89	89	912540	1030131	1074006	1074006	89	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2006	79	79	1	91	91	91	942831	1041717	1111171	1111171	91	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2007	79	79	1	90	90	90	951187	1051701	1131070	1131070	90	gov		C:	Reported data calibrated to 2003 and 2014 levels.  South African National HIV Prevalence, Incidence, Behaviour and Communication Survey, 2008 results ignored by working group.  Nonstandard analysis of survey results; awaiting clarification from national authorities.  Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2008	84	84	1	93	93	93	984571	1059045	1217792	1217792	93	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2009	82	82	1	89	89	89	955276	1071150	1158903	1158903	89	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2010	81	81	1	86	86	86	932957	1084562	1152671	1152671	86	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2011	84	84	1	88	88	88	956308	1092576	1167985	1167985	88	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2012	86	86	1	89	89	89	975264	1092604	1187329	1187329	89	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2013	88	88	1	89	89	89	962891	1085178	1194069	1194069	89	gov		C:	Reported data calibrated to 2003 and 2014 levels.   Decreases in coverage may reflect use of revised target population estimates.  Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2014	93	93	1	93	93	93	988196	1059660	1204040	1204040	93	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).   Unexplained decline in reported target population for 2014 compared to 2013 following substantial increase in target population between 2012 and 2013. WHO and UNICEF encourage a revision of the reported coverage time series using updated population estimates following the release of the recent census.  Estimate challenged by: D-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2015	83	83	1	83	83	83	851013	1022111	1183143	1183143	83	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).   Programme reports three months national level stockout.  Estimate challenged by: D-S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2016	79	79	1	90	90	90	888279	985944	1151026	1151026	79	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Data reported for 2016 inconsistent with previous and subsequent years. .  Estimate challenged by: S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2017	75	75	1	74	75	75	848366	1139236	1169583	1169583	75	gov	96	R: AP	 Estimate based on reported coverage for consistency with other vaccine-doses.  Reported denominator increased 16 percent between 2016 and 2017. Decline in reported coverage unexplained. Estimate follows trend in reported data consistent with other antigens.  Estimate challenged by: S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2018	70	70	1	71	70	70	810727	1148881	1212008	1212008	70	gov		R:	Estimate informed by reported data.  Programme reports three months vaccine stockout at national level.  Estimate challenged by: S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2019	84	84	1	84	84	84	967979	1157702	1235776	1235776	84	gov		R:	Estimate informed by reported data.  Reported data suggests increase in doses administered, in spite of one month national vaccine stockout, and recovery from prior year supply disruption.  Estimate challenged by: S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2020	86	86	2	86	86	86	995296	1158118	1194619	1194619	86	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2021	86	86	2	86	86	86	985341	1142769	1176955	1176955	86	gov		R:	Estimate informed by reported data.  Estimated coverage levels may not fully account for the contribution of the private sector, as data on administered doses in the private sector are only partially collected in all provinces.  GoC=R+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	bcg	2022	84		2	84	84	84	961978	1139382	1155858	1155858	84	gov		R:	Estimate informed by reported data.  Estimated coverage levels may not fully account for the contribution of the private sector, as data on administered doses in the private sector are only partially collected in all provinces.  GoC=R+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	1997	93	93	2						1054866	1054866	95	extrapolated	93	W: AP	Estimate of 93 percent assigned by working group. Legacy estimate.   GoC=S+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	1998	90	90	2						1028046	1028046	95	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   GoC=S+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	1999	88	88	2						1013752	1013752	95	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   GoC=S+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2000	85	85	1	94	95	95		1066468	969828	969828	95	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2001	82	82	1	87	87	87	809255	930360	963390	963390	87	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2002	80	80	1	82	88	88	631522	930360	954574	954574	88	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2003	77	77	1	99	100	100	920482	928177	984308	984308	88	interpolated	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).   Reported data excluded due to an increase from 88 percent to 100 percent with decrease 77 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2004	80	80	1	77	77	77	977663	1269884	1031997	1031997	88	interpolated		C:	Reported data calibrated to 2003 and 2005 levels.  Reported data excluded due to decline in reported coverage from 100 percent to 77 percent with increase to 101 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2005	83	83	1	101	101	101	1056676	1042511	1074006	1074006	88	interpolated		W: AP	Estimate of 83 percent assigned by working group.  Estimate based on the estimated DTP3 coverage and absolute difference in reported coverage for DTP1 and DTP3. Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2006	94	94	1	104	104	104	1105077	1064737	1111171	1111171	88	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 84.  Reported data excluded.  Reported data for DTP1 and DTP3 inconsistent with that reported in surrounding periods.Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2007	95	95	1	104	104	104	1097737	1057509	1131070	1131070	89	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 85.  South African National HIV Prevalence, Incidence, Behaviour and Communication Survey, 2008 results ignored by working group.  Nonstandard analysis of survey results; awaiting clarification from national authorities.Reported data excluded.  Reported data for DTP1 and DTP3 inconsistent with that reported in surrounding periods.Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2008	93	93	1	109	109	109	1137037	1045301	1217792	1217792	89	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 82.  Reported data excluded because 109 percent greater than 100 percent.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2009	81	81	1	14	14	14	145862	1071150	1158903	1158903	89	interpolated		C:	Reported data calibrated to 2005 and 2013 levels.  Reported data excluded due to decline in reported coverage from 109 percent to 14 percent with increase to 69 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2010	80	80	1	69	69	69	749597	1084562	1152671	1152671	89	interpolated		C:	Reported data calibrated to 2005 and 2013 levels.  Reported data excluded.  Reported data for DTP1 and DTP3 inconsistent with that reported in surrounding periods.  Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2011	80	80	1	89	89	89	972833	1092576	1167985	1167985	89	gov		C:	Reported data calibrated to 2005 and 2013 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2012	72	72	1	83	83	83	909953	1092604	1187329	1187329	83	gov		C:	Reported data calibrated to 2005 and 2013 levels.    Estimate challenged by: R-S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2013	81	81	1	92	92	92	1002883	1085178	1194069	1194069	92	gov		W: AP	Estimate of 81 percent assigned by working group.  Estimate is based on the year to year change in the reported data from 2012 to 2013.  Decreases in coverage may reflect use of revised target population estimates.  Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2014	88	88	1	96	96	96	1018641	1059660	1204040	1204040	96	gov	88	W: AP	Estimate of 88 percent assigned by working group.  Estimate based on survey results.  Unexplained decline in reported target population for 2014 compared to 2013 following substantial increase in target population between 2012 and 2013. WHO and UNICEF encourage a revision of the reported coverage time series using updated population estimates following the release of the recent census.  Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2015	91	91	1	94	94	94	958638	1022116	1183143	1183143	94	gov	91	W: AP	Estimate of 91 percent assigned by working group.  Estimate based on survey results.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2016	88	88	1	89	89	89	87499	985944	1151026	1151026	90	interpolated		C:	Reported data calibrated to 2015 and 2017 levels.  Reported data excluded.  Data reported for 2016 inconsistent with previous and subsequent years. Programme reports one month vaccine stockout at national and district levels.  Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2017	85	85	3	85	85	85	964838	1139236	1169583	1169583	85	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Reported denominator increased 16 percent between 2016 and 2017.  GoC=R+ S+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2018	84	84	1	86	84	84	988881	1148881	1212008	1212008	84	gov		R:	Estimate informed by reported data.   Estimate challenged by: S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2019	87	87	3	87	87	87	1003273	1157702	1235776	1235776	87	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2020	88	88	2	88	88	88	1017158	1158118	1194619	1194619	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2021	91	91	2	91	91	91	1037943	1142769	1176955	1176955	91	gov		R:	Estimate informed by reported data.  Estimated coverage levels may not fully account for the contribution of the private sector, as data on administered doses in the private sector are only partially collected in all provinces.  GoC=R+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp1	2022	87		2	87	87	87	991353	1139382	1155858	1155858	87	gov		R:	Estimate informed by reported data.  Estimated coverage levels may not fully account for the contribution of the private sector, as data on administered doses in the private sector are only partially collected in all provinces. Programme reports vaccine stockout of unspecified duration at subnational levels.  GoC=R+ D+	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	1997	76	76	1		73	73			1054866	1054866	73	gov	76	W: AP	Estimate of 76 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	1998	75	75	1		76	76			1028046	1028046	76	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	1999	74	74	1		76	76			1013752	1013752	76	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2000	73	73	1	78	96	96		1066468	969828	969828	79	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels. Reported data excluded due to an increase from 76 percent to 96 percent with decrease 81 percent.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2001	71	71	1	81	81	81	754402	930360	963390	963390	81	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2002	70	70	1	76	82	82	585979	930360	954574	954574	82	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2003	69	69	1	93	94	94	862442	928177	984308	984308	87	interpolated	69	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 69 percent based on 1 survey(s).   South Africa Demographic and Health Survey 2003 card or history results of 67 percent modifed for recall bias to 69 percent based on 1st dose card or history coverage of 77 percent, 1st dose card only coverage of 68 percent and 3rd dose card only coverage of 61 percent. Reported data excluded due to an increase from 82 percent to 94 percent with decrease 71 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2004	74	74	1	71	71	71	900187	1269884	1031997	1031997	92	interpolated		C:	Reported data calibrated to 2003 and 2014 levels.  Reported data excluded due to decline in reported coverage from 94 percent to 71 percent with increase to 97 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2005	81	81	1	97	97	97	1008992	1042511	1074006	1074006	97	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: D-R-S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2006	84	84	1	100	100	100	1060125	1064737	1111171	1111171	100	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2007	85	85	1	100	100	100	1062273	1057509	1131070	1131070	100	gov		C:	Reported data calibrated to 2003 and 2014 levels.  South African National HIV Prevalence, Incidence, Behaviour and Communication Survey, 2008 results ignored by working group.  Nonstandard analysis of survey results; awaiting clarification from national authorities.  Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2008	82	82	1	105	105	105	1098348	1045301	1217792	1217792	97	interpolated		C:	Reported data calibrated to 2003 and 2014 levels.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2009	81	81	1	12	12	12	124049	1071150	1158903	1158903	94	interpolated		C:	Reported data calibrated to 2003 and 2014 levels.  Reported data excluded due to decline in reported coverage from 105 percent to 12 percent with increase to 63 percent.   Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2010	77	77	1	63	63	63	681015	1084562	1152671	1152671	90	interpolated		C:	Reported data calibrated to 2003 and 2014 levels.  Reported data excluded.  Reported data for DTP1 and DTP3 inconsistent with that reported in surrounding periods.  Estimate challenged by: D-R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2011	75	75	1	87	87	87	950268	1092576	1167985	1167985	87	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2012	71	71	1	83	83	83	905251	1092604	1187329	1187329	83	gov		C:	Reported data calibrated to 2003 and 2014 levels.    Estimate challenged by: R-S-	
South Africa	Wed Sep 06 19:12:13 2023	zaf	dtp3	2013	81	81	1	91	91	91	983039	1085178	1194069	1194069	91	gov		C:	Reported data calibrated to 2003 and 2014 levels.   Decreases in coverage may reflect use of revised target population estimates.  Estimate challenged by: R-	
