Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	1997	95	95	1		81	81			425450	425450	81	gov		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	1998	95	95	1						434934	434934	84	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Unexplained temporal change in numerator and denominator levels.   GoC=No accepted empirical data	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	1999	95	95	1	87	87	87	373751	429586	444593	444593	87	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2000	94	94	1	91	100	100	388368	426838	453873	453873	100	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Unexplained temporal change in numerator and denominator levels. Survey results ignored. Sample size 221 less than 300.   Estimate challenged by: R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2001	94	94	2						460477	460477	93	interpolated	94	W: AP	Estimate of 94 percent assigned by working group.  DTP3 and Pol3 estimates are based on survey results. BCG estimates based on survey to maintain consistency   GoC=S+	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2002	94	94	1	85		85	423499	496768	470222	470222	85	admin		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2003	93	93	1	80	80	80	412496	568428	480837	480837	80	gov		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2004	93	93	1	94	94	94	552088	587460	496149	496149	94	gov		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2005	92	92	1	91	91	91	538409	590262	511013	511013	91	gov		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2006	92	92	1	99	100	100	583482	586449	526413	526413	100	gov	92	W: AP	Estimate of 92 percent assigned by working group.  DTP3 and Pol3 estimates are based on survey results. BCG estimates based on survey to maintain consistency   Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2007	91	91	1	97	97	97	582997	600871	538320	538320	97	gov		C:	Reported data calibrated to 2006 and 2010 levels.    Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2008	91	91	1	101	101	101	622392	615776	551728	551728	95	interpolated		C:	Reported data calibrated to 2006 and 2010 levels.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2009	92	92	1	109	109	109	689542	631181	563832	563832	94	interpolated		C:	Reported data calibrated to 2006 and 2010 levels.  Reported data excluded because 109 percent greater than 100 percent.   Estimate challenged by: D-R-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2010	92	92	1	92	92	92	598935	643363	576081	576081	92	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Zambia	Wed Sep 06 19:12:41 2023	zmb	bcg	2011	92	92	1	88	88	88	592365	670591	587043	587043	88	gov		C:	Reported data calibrated to 2010 and 2013 levels.    Estimate challenged by: R-	
