Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	1997	92	92	1		82	82			384750	384750	82	gov		W: AP	Estimate of 92 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	1998	88	88	1		73	73			399428	399428	73	gov	88	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 88 percent based on 1 survey(s).     Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	1999	86	86	1	82	88	88	332971	406839	414578	414578	88	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2000	84	84	1	81	82	82	360055	443287	424280	424280	82	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2001	82	82	1	52	80	80	236746	456977	430856	430856	80	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2002	80	80	1	76	80	80	309771	456977	433205	433205	80	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2003	78	78	1	89	92	92	323819	364642	435443	435443	92	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2004	76	76	1	98	95	95	359924	368653	433872	433872	95	gov	76	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 76 percent based on 1 survey(s).     Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2005	80	80	1	101	98	98	404094	398618	430078	430078	98	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Inconsistency between reported and survey trends.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2006	84	84	1	94	100	100	353607	375222	426605	426605	100	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Inconsistency between reported and survey trends.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2007	87	87	1	84	100	100	316749	378974	436008	436008	100	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Inconsistency between reported and survey trends.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2008	91	91	1	66	80	80	254098	382764	449271	449271	80	gov	91	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 91 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2009	90	90	1	90		90	328002	364881	468604	468604	90	admin	91	R: AP	 Estimate is based on reported data supported by surveys.   Estimate challenged by: D-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2010	99	99	1	103	100	100	403430	390458	478377	478377	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2011	98	98	3	107	98	98	445336	415486	487212	487212	98	gov		R:	Estimate informed by reported data.   Denominator series revised in 2011. WHO and UNICEF recommend reviewing and revising denominators from 1998 through 2010.  GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2012	98	98	3	99	98	98	454568	457034	489502	489502	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2013	95	95	3	93	95	95	450335	486620	492469	492469	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2014	99	99	3	93	99	99	434064	467077	487662	487662	99	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 2 survey(s).    GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2015	90	90	3	90	98	90	419003	467254	481660	481660	90	admin		R:	Estimate informed by reported administrative data.   Programme reports one month vaccine stockout at national level. Reported official coverage estimates are based on the 2015 coverage survey. Reported number of children vaccinated has declined across the most recent four year period.  GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2016	95	95	3	89	95	95	416585	469488	480406	480406	95	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).   Reported official coverage estimates are based on the 2015 coverage survey.  GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2017	95	95	3	90	95	95	426586	474183	480635	480635	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Reported official coverage estimates are based on the 2015 coverage survey.  GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2018	95	95	3	92	95	95	438746	478923	483783	483783	95	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2019	95	95	3	89	95	95	430182	483714	484906	484906	95	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2020	88	88	2	88	88	88	429962	488550	486393	486393	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2021	88	88	1	82		82	434249	529341	488807	488807	92	interpolated		W:	. Reported data excluded.  Decline in reported administrative coverage is largely due to an unexplained increase in target population of 14 percent between 2020 and 2021. The reported number of doses administered increased for some vaccine-doses in 2021 compared to 2020.  Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	bcg	2022	96		2	97	96	96	450959	465957	491195	491195	96	gov		R:	Estimate informed by reported data.  Programme reports a change in reported target population source as well as evidence of more doses administered in 2022 than in 2019.  GoC=R+ D+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	1997	95	95	2						384750	384750	90	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=S+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	1998	88	88	2						399428	399428	90	extrapolated	88	W: AP	Estimate of 88 percent assigned by working group.  Estimate is based on survey results.   GoC=S+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	1999	86	86	2						414578	414578	90	extrapolated		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   GoC=S+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2000	84	84	1	26	90	90	117485	443287	424280	424280	90	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2001	83	83	1	17	20	20	74400	427273	430856	430856	76	interpolated		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels. Reported data excluded due to decline in reported coverage from 90 percent to 20 percent with increase to 62 percent.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2002	81	81	1	62		62	266611	427273	433205	433205	62	admin		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2003	79	79	1	78	85	85	282857	364642	435443	435443	85	gov		W-I:	Estimate informed by interpolation between 1998 and 2004 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2004	77	77	1	103	90	90	377877	368653	433872	433872	90	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2005	80	80	1	104	95	95	389397	372708	430078	430078	95	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Inconsistency between reported and survey trends.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2006	83	83	1	96	95	95	338998	352709	426605	426605	95	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Inconsistency between reported and survey trends.   Estimate challenged by: R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2007	86	86	1	88	90	90	314575	356236	436008	436008	90	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Inconsistency between reported and survey trends.   Estimate challenged by: D-R-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2008	89	89	2						449271	449271	89	interpolated	85	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 85 percent based on 1 survey(s).    GoC=S+	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2009	87	87	1	87		87	318535	364881	468604	468604	87	admin	92	R: AP	 Estimate is based on reported data supported by surveys.   Estimate challenged by: D-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2010	95	95	1	101	95	95	371043	367031	478377	478377	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Zimbabwe	Wed Sep 06 19:12:50 2023	zwe	dtp1	2011	99	99	1	103	99	99	427845	415486	487212	487212	99	gov		R:	Estimate informed by reported data.   Denominator series revised in 2011. WHO and UNICEF recommend reviewing and revising denominators from 1998 through 2010.  Estimate challenged by: D-	
